,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,19333.395463081713,24011.453268917165,31372.73546648024,41272.68764440083,53702.78182337194,68484.80152524181,85606.06282984043,104966.17039932,126349.6131563207,149846.87377902595,175401.33676268774,203105.32350686472,232689.5815046703,278206.97199673083,331891.63727754285,393293.9352772112,462631.35755034554,539566.6438433965,623805.354841973,714546.5533052621,811041.8763811683,911187.1708835873,1015057.0054969832,1114507.2246750195,1210164.5369549002,1302284.158531423,1390933.572517509,1476125.7739682477,1557550.960189191,1634971.3642716506,1707865.9786933095,1775527.9791523947,1837149.5718745692
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,37249.77614187892,46263.01990337407,60446.049185531796,79520.3500835318,103469.49168534236,131950.10316773574,164937.7463409569,202238.98886831882,243438.60418483044,288710.9258426858,337946.87238839426,391324.32005033124,448324.4983090441,536023.1443968161,639457.7308242535,757761.9293522447,891354.7823439089,1039586.4883212671,1201889.7491824732,1376721.3940457774,1562639.5474389344,1755590.1240203246,1955716.795749112,2147328.166277203,2331631.7189337197,2509119.1803862415,2679920.5707781236,2844060.92776475,3000943.352522096,3150109.7380332397,3290556.255787476,3420921.0629019574,3539647.7779681347
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,181876.23523613214,225884.41494605734,295134.65581347945,388267.08227091335,505201.46853631834,644261.267819702,805327.1579020077,987454.6835726704,1188616.4542744167,1409663.6732474384,1650063.7379864366,1910685.1492478116,2188994.951432846,2617193.486774309,3122224.526450235,3699858.1250776467,4352140.304278747,5075898.335014425,5868362.320289131,6721997.554143032,7629763.91688326,8571866.879370864,9549007.93615825,10484572.073976094,11384454.966429925,12251057.524460074,13085014.586087812,13886448.400490772,14652444.541807253,15380766.250834841,16066512.221599126,16703033.102555765,17282729.685857166
ERCOT_LCRA,28832.822565157658,35809.435179468936,46787.6693887514,61551.94424645046,80089.54156684094,102134.67854407536,127668.43903792415,156541.09865217036,188431.255351346,223473.85030552457,261584.45008934362,302900.7380465036,347021.16496279073,414903.43873061764,494965.96222615696,586538.1626033778,689944.3954787294,804681.6884143158,930310.9298984396,1065637.6436998406,1209545.7603019145,1358897.2548512039,1513803.3352135068,1662118.2304993295,1804776.581294066,1942159.0037845832,2074366.1387830311,2201417.366440109,2322850.663096482,2438311.435524946,2547022.680147687,2647930.275886147,2739829.5210308307
ERCOT_North,207280.70758119115,257435.94978636576,336359.0642247688,442500.2279110899,575768.009126138,734251.681026071,917815.2544644007,1125382.3527277512,1354642.3993479577,1606565.4936328998,1880544.6391599032,2177569.648870101,2494753.763929432,2982763.0702336533,3558336.84499636,4216654.304067963,4960047.257368687,5784899.809070599,6688055.162968747,7660926.165382812,8695489.332708687,9769185.235998265,10882813.354562294,11949057.09015917,12974635.624077395,13962285.226494906,14912729.40960711,15826107.498356644,16699097.979880527,17529151.664453328,18310682.63168732,19036112.748621497,19696781.350064166
ERCOT_RAYBURN,6419.603345426758,7972.94019191022,10417.234672532908,13704.487873467204,17831.868101511904,22740.199041697517,28425.269031540225,34853.74206195959,41954.05824396263,49756.262113941244,58241.55464177278,67440.59090646771,77263.9663180628,92377.89665874757,110203.74920973463,130592.22149895402,153615.53102768437,179161.69141173878,207132.9348476655,237263.3122216413,269304.3316079681,302557.3144502277,337047.02108486317,370069.20598548604,401831.9660810461,432420.04524082696,461855.851055792,490143.69849996036,517180.71839975624,542887.9608756637,567092.4267439827,589559.4168458949,610020.7053735718
ERCOT_South,71936.27042333872,89342.52645421539,116732.60326910294,153568.6385330037,199818.9010879447,254820.27778390003,318525.57391505,390561.2355349886,470125.3826444272,557554.685872116,652638.4885712448,755720.3029395129,865798.2862750244,1035160.7408761389,1234912.2333959811,1463379.722304135,1721372.4566182948,2007635.5483986416,2321073.439123976,2658705.977787855,3017748.6337264394,3390372.2114475663,3776854.168320841,4146891.489189422,4502816.049739346,4845577.465946785,5175426.8309769,5492412.49721553,5795381.741621955,6083449.874040546,6354678.314251928,6606437.089460521,6835720.536666881
ERCOT_West,49923.49562281778,62003.37051281747,81011.97871462723,106576.04583177205,138673.55056238503,176844.29492500387,221055.52597489636,271047.99870674685,326265.2114782139,386940.8124136975,452928.6066086931,524466.9902101974,600860.6882276037,718397.5818028544,857024.3510776525,1015579.9116500826,1194625.8792329812,1393291.3664116692,1610816.059776572,1845131.7459653628,2094305.9713828007,2352905.3044013777,2621122.299370874,2877926.780058385,3124937.0592415906,3362812.1667638617,3591726.3603182663,3811713.196275028,4021972.689267389,4221890.867722286,4410122.3644066565,4584841.988292723,4743963.820792919
