,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,462777.90789654537,665586.9109809661,952025.842512976,1243806.3193092518,1540472.1024459335,1842417.7370651178,2149985.2205117163,2464136.5854066154,2785242.9056185107,3135659.3270250564,3514804.2521119234,3920316.934435814,4351124.4168409575,4804564.605119554,5154159.336541662,5498671.587102013,5835713.908460384,6164719.517271628,6483577.595771395,6792248.042545493,7092885.19916295,7388211.438733397,7676442.531529349,7958345.145009297,8191257.056112144,8421164.038591491,8648326.14737981,8872415.670973126,9092704.36006465,9308165.653247343,9518397.361607106,9723563.036143797,9924059.03819913,10120218.088020481
isoNE_ConnCentral,255389.35349331837,367311.85302614723,525386.4981011029,686408.9368550971,850127.3885487841,1016759.587492823,1186494.2688868053,1359862.3415854862,1537068.5870051943,1730449.9515634743,1939685.473929538,2163472.348810332,2401218.452360568,2651454.677029805,2844382.582444256,3034505.661873548,3220506.374273251,3402071.933683582,3578037.4608504097,3748380.825343413,3914290.9255329105,4077270.1345801367,4236333.804625265,4391905.029993299,4520440.168301472,4647317.001912393,4772679.045155385,4896345.446637791,5017914.313537012,5136819.126039566,5252837.931530597,5366060.987525437,5476707.030625562,5584959.676356737
isoNE_ConnNorwalk,96781.21992552424,139194.8753647064,199098.1437679788,260118.49502707028,322160.5154265134,385306.71659773274,449628.6207972731,515327.41889675736,582480.7139560594,655763.6606287071,735054.6288282557,819859.9132225816,909955.1251779768,1004783.5381943397,1077894.6439952918,1149942.8453454142,1220428.8527174122,1289234.1341272807,1355917.2520846196,1420469.8201394286,1483342.3779601508,1545104.258235635,1605382.3231675834,1664336.9067102405,1713046.0142693636,1761126.6980143653,1808633.343500785,1855497.4160846882,1901566.616239416,1946626.258121919,1990592.2315508698,2033498.7401151087,2075428.6752697567,2116451.6191424057
isoNE_ConnSW,173303.52135280875,249252.510699206,356519.6784701678,465787.17639511265,576884.1497060538,689958.3497569154,805137.8495242923,922782.9160780051,1043032.5111252355,1174258.3080644878,1316242.5071790442,1468101.0436406932,1629432.1107724458,1799238.793439607,1930156.879562648,2059171.6513409005,2185389.044478406,2308596.8069469626,2428004.468533421,2543597.011847858,2656181.2061282573,2766776.5400716467,2874714.845882203,2980283.2292492767,3067505.314984966,3153602.0991386655,3238670.968458474,3322589.199805154,3405084.074522228,3485771.1604583575,3564499.843779404,3641331.371929795,3716414.1764035067,3789872.856040524
isoNE_MaineBHE,29491.115074334662,42415.378627146296,60669.066513795384,79263.15121579643,98168.55832321034,117410.43073069362,137010.56265720486,157030.26086403002,177493.17250885756,199823.90790331207,223985.40400067208,249827.2192093389,277280.9779599289,306177.034888475,328455.40703595296,350409.89157903235,371888.3453135236,392854.6492446157,413174.28880597523,432844.70848360646,452003.19645405695,470823.2394315398,489191.1350907831,507155.74029780476,521998.35023080267,536649.4672374666,551125.6636515411,565406.0556375835,579444.2345755132,593174.7815244748,606572.0664806482,619646.5119410343,632423.3765399377,644923.8633013905
isoNE_MaineCentral,97785.52622247975,140639.3114850641,201164.20079487108,262817.7650167574,325503.60031965957,389305.074564662,454294.4522003657,520675.0118718212,588525.1619319308,662568.5714801184,742682.348265008,828367.6637355887,919397.8007597316,1015210.2556428524,1089080.0411131638,1161875.8922899354,1233093.3384793552,1302612.6176817385,1369987.7115752844,1435210.146683143,1498735.1379591746,1561137.9261021172,1622041.5012335242,1681607.8611056367,1730822.4268877327,1779402.047652584,1827401.6733188978,1874752.0580533731,1921299.3219052388,1966826.551219642,2011248.7629973183,2054600.5157604278,2096965.5611352113,2138414.2033084463
isoNE_MaineSouth,71000.43087056247,102115.84575471924,146061.95296911694,190827.57211095584,236342.70597505115,282667.8865673799,329855.5838923025,378053.395165306,427318.25137664017,481079.92945040687,539249.1993836047,601463.8701299666,667559.3261815666,737127.1430381275,790762.755580369,843618.6024403713,895328.3959065897,945805.1787992856,994725.1046940715,1042082.0211414947,1088206.4520862666,1133516.0701538003,1177737.1347932569,1220987.2698560748,1256721.140814507,1291993.9888430124,1326845.7121561351,1361226.0325154667,1395023.2202690921,1428079.7780495465,1460334.0011261036,1491810.9818622086,1522571.5309092824,1552666.6949584477
isoNE_MassCentral,132217.02970506155,190160.16728297126,271996.6250585664,355359.178260986,440117.4780677837,526384.2472037966,614257.1953313482,704011.1780419489,795752.2122475622,895867.229856847,1004190.0667238571,1120046.2505427762,1243129.2342513616,1372678.449587938,1472558.7079158763,1570986.8862901093,1667280.8835931628,1761278.7681314468,1852377.4729687723,1940565.5410114003,2026458.474076437,2110834.0622877455,2193182.5458861548,2273722.964053102,2340266.5923108105,2405951.703490898,2470852.5960638514,2534875.641874746,2597812.777922766,2659370.712549575,2719434.5391818583,2778050.984828483,2835333.29110794,2891376.5171880927
isoNE_MassSE,220334.15259600081,316893.9690240467,453271.00468781084,592191.2145810983,733437.3778406077,877197.3421748437,1023633.9366512601,1173205.1966226164,1326087.7948406031,1492925.2863217099,1673440.7654633038,1866510.2523644364,2071622.8991612531,2287511.2506416575,2453957.525594645,2617983.9700098033,2778453.890890484,2935097.4358389657,3086909.6190176425,3233871.347658768,3377008.3298091493,3517616.720194251,3654847.025486206,3789064.265323825,3899956.439921393,4009417.9316998958,4117572.555954311,4224264.285278633,4329146.391380196,4431730.115971604,4531823.972052162,4629505.828228697,4724964.396924297,4818358.090268203
isoNE_MassWest,161340.85822365267,232047.29873169604,331910.11036005896,433635.1748800828,537063.4311562324,642332.4316748035,749561.4088887648,859085.7616277586,971034.8594563607,1093202.5022947306,1225385.9245386738,1366762.0859118265,1516956.9153416604,1675042.3119901062,1796923.4844395039,1917032.7230732439,2034537.6783828395,2149240.7495110054,2260406.0302188257,2368019.5397253004,2472832.3582175407,2575793.6019053264,2676281.2247691997,2774562.5143862334,2855763.90059468,2935917.6616794043,3015114.462050427,3093240.0498076486,3170040.53130975,3245158.0106943646,3318452.2705840818,3389980.3306815047,3459880.3766647945,3528268.406660358
isoNE_NewHampshire,177222.367767687,254888.76263643283,364581.5219509017,476319.8441220208,589929.010908114,705560.1147081063,823344.1245639537,943649.4541272888,1066618.2073933647,1200811.3632175415,1346006.1968611951,1501298.6524754148,1666277.8374821108,1839924.2938849584,1973802.7807456255,2105734.9143403196,2234806.4132382344,2360800.2258370253,2482908.00732217,2601114.4007212347,2716244.4184372094,2829340.6024761028,2939719.6760186236,3047675.2369655473,3136869.642451669,3224913.3003404173,3311905.7995492746,3397721.641847473,3482081.941695596,3564593.573924724,3645102.518927544,3723671.409113579,3800452.0324015534,3875571.805137487
