,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,19333.395463081713,19563.550245231865,19815.94950894384,20093.619335095576,20374.215923881526,20659.50071612433,20942.82202273248,21204.581561508658,21449.942035157015,21716.358799608945,22005.55829272748,22279.804077547906,22530.78476722902,22777.135608861652,23042.18836123065,23345.203955795154,23657.468643659442,23976.9881916752,24286.426973678474,24608.25889491032,24935.70589654872,25238.826436974297,25528.774612821846,25814.10663366266,26099.94524188345,26379.219936580554,26644.63964078634,26901.88359006543,27152.612678874604,27388.842974277744,27621.031214928065,27856.603792864895,28087.30904761396
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,37249.77614187892,37693.216826131575,38179.51609464855,38714.50431672561,39255.13155100582,39804.791576737945,40350.66854219552,40855.00231227917,41327.73989916189,41841.04677560936,42398.24928044516,42926.64038028699,43410.2064731861,43884.85220837018,44395.53103405228,44979.35310951646,45580.99547193386,46196.61581959959,46792.81349120095,47412.88910306588,48043.78332610349,48627.80760142643,49186.452598043375,49736.20361941601,50286.93068591928,50825.01101844151,51336.39685256405,51832.03040761118,52315.111739508284,52770.258153830604,53217.616715523334,53671.49590141537,54115.997184729415
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,181876.23523613214,184041.3844143505,186415.7954663545,189027.93582812307,191667.60930327346,194351.38640193798,197016.69228193566,199479.15882283213,201787.35343397182,204293.6321792049,207014.2362831781,209594.16545122126,211955.23146486253,214272.74282539694,216766.18981622177,219616.76697751085,222554.35370067044,225560.18951406528,228471.19191994268,231498.7810635172,234579.19329690243,237430.7577218179,240158.40495468173,242842.62634982888,245531.61339546216,248158.85133538966,250655.75037470312,253075.73713396108,255434.43624731016,257656.73997345523,259841.01863036375,262057.13497070532,264227.46264351776
ERCOT_LCRA,28832.822565157658,29176.063461922517,29552.478623971023,29966.58099126699,30385.048180452814,30810.50711295031,31233.037804879747,31623.412395348507,31989.330271218536,32386.65040634401,32817.94752054948,33226.94345031615,33601.24302468087,33968.63788396126,34363.923802260266,34815.82553308854,35281.52088162408,35758.035752052805,36219.51669125544,36699.48011508345,37187.81757839979,37639.87582003843,38072.28948080834,38497.81884758569,38924.10371248897,39340.59949743873,39736.43266866182,40120.07294331963,40493.99729320235,40846.29889510565,41192.57238633851,41543.89310254894,41887.95494557756
ERCOT_North,207280.70758119115,209748.28479432876,212454.35357956067,215431.35770429313,218439.74076765543,221498.3878486176,224535.98365110904,227342.40751582859,229973.01074780637,232829.3665055179,235929.98458785116,238870.2782593528,241561.1379712776,244202.3593161957,247044.09098005682,250292.83675621418,253640.74558975187,257066.43654637656,260384.04776522235,263834.5305571632,267345.2147680435,270595.08570880955,273703.73070426943,276762.88414104644,279827.4688943644,282821.67942695704,285667.34532143595,288425.3558286628,291113.51803166507,293646.23313992325,296135.6118373142,298661.2753057264,301134.75434557744
ERCOT_RAYBURN,6419.603345426758,6496.025638255685,6579.834152947411,6672.033691734668,6765.205054391856,6859.933122732385,6954.0092208086635,7040.92579032868,7122.397093208522,7210.86008232077,7306.888016837738,7397.95061166565,7481.288092564495,7563.088244540565,7651.098317011889,7751.713851841108,7855.400523884835,7961.49615324741,8064.244490648684,8171.107937483478,8279.83585706604,8380.486238893665,8476.762771550624,8571.50652202347,8666.418483509506,8759.150914695434,8847.28283256342,8932.700012413507,9015.953949901557,9094.393600999421,9171.491098399392,9249.712356134582,9326.317431948748
ERCOT_South,71936.27042333872,72792.63715310399,73731.77180866449,74764.93392137229,75808.98601916943,76870.48212323626,77924.67243180242,78898.63507603883,79811.57959306748,80802.87098052818,81878.9330195525,82899.35485786722,83833.21124116072,84749.84074871632,85736.05687962181,86863.5262780886,88025.40997682944,89214.28777408424,90365.65675860445,91563.13850260568,92781.51300408173,93909.37288821649,94988.22064811217,96049.8924817452,97113.44924070493,98152.58279582665,99140.16429199422,100097.32519709469,101030.24541641238,101909.2180958238,102773.15097820008,103649.67640298366,104508.09134749795
ERCOT_West,49923.49562281778,50517.81084702063,51169.56669410857,51886.57723563221,52611.145385018215,53347.81960781509,54079.42363657002,54755.34997414882,55388.92996559869,56076.88238447716,56823.665310238655,57531.834150223505,58179.92689661321,58816.06425734787,59500.494467653,60282.95390359501,61089.29673186447,61914.37336091443,62713.419017864355,63544.46675293923,64390.013981526965,65172.74441302409,65921.46061838028,66658.25679682175,67396.36110620663,68117.5158058505,68802.89357440801,69467.15956950208,70114.60262168504,70724.60628819339,71324.17239327363,71932.47767446145,72528.21435184022
