,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,19333.395463081713,19339.596374210538,19402.037273197748,19512.74406256209,19671.59811870732,19875.646683609597,20124.386623287413,20415.97324921755,20747.002093838928,21118.819184603897,21530.3625772028,21982.451490350868,22469.944118745687,22989.89248959916,23537.48586938364,24105.92335224339,24697.324457851326,25312.836589506398,25955.699031695218,26620.7688528019,27294.738512297474,27956.85254574135,28609.32055099282,29267.440767678814,29937.37952235646,30622.099900488796,31323.07839216729,32041.610747288658,32777.56326741569,33530.75939615368,34298.90508759106,35076.68881264595,35856.134569526715
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,37249.77614187892,37261.723476834406,37382.028754498264,37595.32823047923,37901.39335193907,38294.53502119192,38773.78384679197,39335.58565561567,39973.38103833557,40689.763394614754,41482.68666959001,42353.72925717625,43292.98440835747,44294.77224519197,45349.82389676023,46445.036014446036,47584.49229029898,48770.403433561114,50009.01059427856,51290.404853359956,52588.946487733934,53864.64581190477,55121.76007213733,56389.7644841306,57680.53974852555,58999.79486095093,60350.374584267345,61734.775448051354,63152.739854672654,64603.927631801365,66083.91882657261,67582.47968208378,69084.24278489665
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,181876.23523613214,181934.56944717636,182521.97354048415,183563.4323004374,185057.82979201377,186977.38835381056,189317.3748227085,192060.43554738298,195174.54347163616,198672.3611619595,202543.8985246087,206796.86224597762,211382.88150612902,216274.22366010142,221425.63239974115,226773.12914686222,232336.65298869606,238126.99796257098,244174.63718783157,250431.1892489029,256771.46530473104,263000.2112034914,269138.21343045513,275329.3880522232,281631.7439302801,288073.1558799801,294667.51377698994,301427.0072086727,308350.3784255315,315435.96649778105,322662.1905068159,329979.08297979325,337311.6107865593
ERCOT_LCRA,28832.822565157658,28842.070282179797,28935.191398165087,29100.29375799607,29337.20045259802,29641.507891906178,30012.46572801384,30447.32288819922,30941.002126238043,31495.510837612157,32109.26529369442,32783.487234758235,33510.508439241974,34285.93245353311,35102.584799331875,35950.32295862093,36832.30787303459,37750.2507203012,38708.982401181,39700.83301438691,40705.95638465279,41693.398889547636,42666.455808637795,43647.94214250426,44647.054030533895,45668.21046459829,46713.61340538809,47785.19526704815,48882.75665866834,50006.03427320509,51151.606889649884,52311.55316920529,53473.97811676418
ERCOT_North,207280.70758119115,207347.1899147722,208016.64261121082,209203.57232965075,210906.70726126697,213094.38976094147,215761.22553733553,218887.43698112588,222436.5234969389,226422.91635854018,230835.23005590175,235682.2477453649,240908.8421709147,246483.40699177084,252354.3644987048,258448.79958579736,264789.4364319632,271388.57678565325,278280.95025148994,285411.41749782197,292637.30330640974,299736.08042570873,306731.43879723066,313787.3966836068,320970.0656240325,328311.213988041,335826.67178911745,343530.331256175,351420.7589572684,359496.0619639415,367731.64493490115,376070.56094075076,384427.296223796
ERCOT_RAYBURN,6419.603345426758,6421.662341732053,6442.395678759952,6479.155578319341,6531.902651755658,6599.6564434979055,6682.249889224819,6779.070464941962,6888.987726109154,7012.44861761782,7149.100523640284,7299.2154636060895,7461.086114526681,7633.733609756063,7815.560557821691,8004.3087357400855,8200.681924469378,8405.061116270888,8618.521907077407,8839.356599910936,9063.146460780223,9282.999692059067,9499.649984931555,9718.177079812434,9940.628489290515,10167.988098135942,10400.746171017889,10639.332958297064,10883.704065757445,11133.800868310418,11388.861634017247,11647.122683552774,11905.9356064046
ERCOT_South,71936.27042333872,71959.3429571151,72191.67490333725,72603.5960039334,73194.6648807134,73953.89482417233,74879.41375849076,75964.35791197863,77196.0598409068,78579.52788408438,80110.81072767307,81792.95654493083,83606.83355440694,85541.47285164335,87578.97451685407,89694.03353811319,91894.53628699206,94184.75205566736,96576.73366979255,99051.34515709648,101559.07142665841,104022.68493168696,106450.40720933724,108899.16040269089,111391.88836222563,113939.61622408808,116547.83775633879,119221.37422356886,121959.72815667343,124762.24261939013,127620.38185774996,130514.38257703707,133414.56743356516
ERCOT_West,49923.49562281778,49939.50787271917,50100.745351837904,50386.617014929936,50796.81654722508,51323.71921448771,51966.02580328316,52718.972882397786,53573.76929449412,54533.890807486496,55596.59522473405,56763.997966780604,58022.821650716425,59365.4538989401,60779.47223580997,62247.31508015589,63774.45554358492,65363.8564984845,67023.8825596062,68741.25343562692,70481.60584345875,72191.34416198442,73876.17410643994,75575.59942568876,77305.54306391682,79073.6564233016,80883.75215779513,82739.17620652229,84639.58332783336,86584.51761048319,88568.05527397274,90576.48066760959,92589.19782876044
