,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,73217.95787390905,73071.4661532899,73041.07895587414,73120.7222169123,73307.50620659858,73617.26731921591,74070.95854709935,74700.60679783857,75523.52947219403,76525.60490547642,77679.89200510352,78950.80921991715,80321.26511950624,81766.34367957595,83265.48912307744,84787.07996651907,86282.7585551347,87722.36731021873,89086.53320770136,90402.04228482916,91719.18081111602,93075.20265511906,94454.8179926133,95879.34328388225,97408.28283814086,99087.84291737397,100950.76619196305,103008.0125658866,105246.19437905133,107626.69966057834,110099.58349071455,112610.97576949093,115108.92976716734,117544.4566625528
isoNE_ConnCentral,40406.17887424924,40325.33571993555,40308.56619276049,40352.51824967498,40455.597159784804,40626.54242086757,40876.91718465306,41224.395871385095,41678.53528943531,42231.54223443135,42868.54895210151,43569.91935093944,44326.22132693049,45123.70468321413,45951.02547592122,46790.733022796565,47616.14059144338,48410.6053724338,49163.436137841905,49889.41507285486,50616.29323827659,51364.62961335734,52125.98633134243,52912.1271279627,53755.890146096586,54682.774847093206,55710.85065319093,56846.16591445932,58081.33249547172,59395.041932466964,60759.73154246398,62145.67248627453,63524.19735886902,64868.27111134196
isoNE_ConnNorwalk,15312.146847503953,15281.510883278801,15275.155977424749,15291.811854532529,15330.874182435262,15395.654842559803,15490.535755746963,15622.214742126185,15794.313407532447,16003.87847370269,16245.275722231636,16511.06394672378,16797.66879875577,17099.87956453639,17413.397393266234,17731.609251574537,18044.40205337584,18345.468913213164,18630.758330634275,18905.872097162624,19181.32663206978,19464.912875209142,19753.433249912305,20051.34568944602,20371.0943912069,20722.34251829496,21111.937579048572,21542.171629460914,22010.24489440516,22508.082412692314,23025.23915187743,23550.449202539257,24072.848891651054,24582.193136643673
isoNE_ConnSW,27419.048552867993,27364.189557658556,27352.809999070432,27382.635229174153,27452.58308665096,27568.584068285432,27738.484761593063,27974.278772510148,28282.451212968896,28657.7137272024,29089.977272207707,29565.917080303174,30079.132662129556,30620.29333297885,31181.701256619202,31751.514652477275,32311.624289943018,32850.736599258715,33361.59666779078,33854.235472599066,34347.484482156346,34855.2947224187,35371.940379050924,35905.40415297039,36477.96953296655,37106.9400846891,37804.57745671458,38574.9859719174,39413.152148458335,40304.61637103271,41230.675001633615,42171.15447998308,43106.601519670694,44018.670527541595
isoNE_MaineBHE,4665.908169605083,4656.572797028953,4654.636333942699,4659.711702788302,4671.614751831675,4691.354675587485,4720.266730336472,4760.391871796455,4812.833673517296,4876.692214324523,4950.250638577422,5031.2414663426935,5118.575524320494,5210.665006941166,5306.199970976983,5403.165296880186,5498.479331146797,5590.220243437049,5677.153462972103,5760.985964292759,5844.922304348665,5931.336533641877,6019.254288534912,6110.03398776918,6207.467619684087,6314.499737522338,6433.216909902669,6564.317570747525,6706.948574265696,6858.64932314472,7016.237013385786,7176.278703852018,7335.464022638536,7490.67109435231
isoNE_MaineCentral,15471.042194252934,15440.088318228278,15433.667467018604,15450.496183467254,15489.963864205141,15555.416758312002,15651.282258164301,15784.327687695399,15958.212234427585,16169.951973698031,16413.85422037591,16682.40055008433,16971.979523106478,17277.32635366614,17594.097581452577,17915.61154912994,18231.650226326623,18535.84128054145,18824.091168584768,19102.059812209278,19380.37276039274,19666.901800181426,19958.41617340349,20259.420073648238,20582.486832723014,20937.379889127933,21331.017808331548,21765.71643117154,22238.646929035378,22741.65054622954,23264.173861389583,23794.834057870095,24322.65472945872,24837.284479562328
isoNE_MaineSouth,11233.26431060397,11210.789220273484,11206.127147878378,11218.346196698898,11247.00301786767,11294.527266729807,11364.133598649003,11460.735654055188,11586.990307649101,11740.730981769095,11917.824313199639,12112.8113000736,12323.069736571137,12544.776950022859,12774.779226730592,13008.225127344347,13237.69551135266,13458.563534981071,13667.85694516228,13869.685316172356,14071.763680949203,14279.807612068824,14491.471310197701,14710.025194772326,14944.598551181714,15202.280448402282,15488.094340806569,15803.721721593569,16147.108625743016,16512.331117556194,16891.726534745747,17277.03000501855,17660.27174388202,18033.93577584758
isoNE_MassCentral,20918.58912444607,20876.736002578862,20868.05428956962,20890.808606987994,20944.17335040246,21032.6730249322,21162.293963033244,21342.186347806153,21577.29781234164,21863.593754883972,22193.377024861686,22556.481866895872,22948.025208299183,23360.8884665548,23789.198794799668,24223.921840808267,24651.24167826348,25062.542196907005,25452.288465932477,25828.13333613913,26204.443744834527,26591.863233470413,26986.023453624683,27393.01458163121,27829.83717625655,28309.692504478146,28841.935244962762,29429.696674993007,30069.151900117293,30749.26936499652,31455.779656968753,32173.291927667444,32886.96484134181,33582.80214554313
isoNE_MassSE,34859.95426247499,34790.20778457665,34775.74007279066,34813.65919151131,34902.589305468326,35050.07031329334,35266.078187762316,35565.861326483784,35957.66475316481,36434.76497264829,36984.33500529058,37589.43404473788,38241.92465449632,38929.94401439797,39643.70527066326,40368.1530529945,41080.26369776685,41765.678817436165,42415.17468120456,43041.504444997205,43668.61000921926,44314.22839074076,44971.07991953758,45649.31361986686,46377.26021219509,47176.91905605379,48063.8793323635,49043.359183810884,50108.984583694226,51242.37190622132,52419.74177173188,53615.44597484617,54804.75204998592,55964.335827566516
isoNE_MassWest,25526.387407846094,25475.315177465047,25464.721118357174,25492.487595253257,25557.60714543965,25665.600899897712,25823.773817891928,26043.291619886913,26330.19176846076,26679.550948430006,27081.97653554762,27525.06353402008,28002.8532625799,28506.659107897754,29029.314594102772,29559.795346008075,30081.242163145107,30583.14103966509,31058.737849503486,31517.37115909581,31976.5725526897,32449.330055475206,32930.31309025654,33426.953334168116,33959.996108351974,34545.55056114195,35195.03195340023,35912.2612979361,36692.57117970621,37522.500090689064,38384.635453319126,39260.19623243181,40131.07194821558,40980.1833531103
isoNE_NewHampshire,28039.06503771502,27982.965536975044,27971.32865676975,28001.828313423797,28073.35787511735,28191.981942696366,28365.724535566434,28606.850466499447,28921.99149278974,29305.739675098906,29747.777830743413,30234.47988415331,30759.300614145173,31312.698344797267,31886.801171643678,32469.499540444467,33042.274723466275,33593.577773766854,34115.989726140884,34619.76838430576,35124.17104554685,35643.46420504799,36171.79257281875,36717.31935954702,37302.83194205335,37946.025164916355,38659.43794469411,39447.26741374846,40304.38672228793,41216.00928524314,42163.00852637619,43124.75470838653,44081.35465511938,45014.047931520516
