,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,2915.2961329894492,12628.901370932708,30573.19052319963,56368.336464830034,89423.73779832582,129213.63039469985,175342.51507988825,227425.6012378458,285132.1683027842,348144.3630633546,416203.2579658166,489247.9722865625,567761.5317988293,651729.3258352458,742937.6365375987,842324.4022982891,948419.7245797152,1057216.078529968,1164339.3141538452,1267427.0139377224,1366208.1773297698,1461275.1519391222,1553315.3576317271,1636025.840914662,1710292.0007795922,1776905.8897754184,1836698.552565015,1890580.035748147,1939425.628053937,1984017.117337177,2024898.6280833306,2062281.737731658,2096017.0507745852
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,5616.919622241697,24332.184684444786,58905.5608523031,108605.23278565054,172293.28501134145,248956.72443431403,337833.5402776042,438182.3540111679,549365.9642150758,670771.9610831286,801901.4672488432,942637.1834343938,1093909.758472687,1255691.041897867,1431422.674886459,1622911.7893113166,1827326.3223006332,2036944.9502047852,2243339.9703761213,2441959.697948722,2632281.994433812,2815448.1397416163,2992782.5901049217,3152141.4048955874,3295230.4879885316,3423575.892073023,3538778.7961926037,3642592.5929256557,3736703.706639881,3822618.412973049,3901385.0800359547,3973411.3554280135,4038409.397873525
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,27425.243862572846,118804.637338523,287613.0476994961,530277.3039699002,841241.4054509825,1215559.2990510864,1649510.3811672346,2139474.787470156,2682341.310125945,3275119.7891521896,3915374.3995142686,4602532.4142522765,5341137.831306263,6131053.202850216,6989082.730279495,7924049.93887806,8922126.962107487,9945613.565982893,10953360.541354507,11923143.773257406,12852413.861602616,13746743.234332569,14612598.69845402,15390686.093541287,16089334.687755954,16715995.60555147,17278486.784283195,17785369.361065958,18244877.493169308,18664365.741361137,19048952.88123909,19400629.29820581,19717989.57475301
ERCOT_LCRA,4347.72134506251,18834.08804812902,45595.26955776981,84064.81141334327,133361.92134360486,192702.50201442832,261496.72648453858,339170.73800030164,425231.31707473006,519204.43392541516,620703.9374373868,729639.0332592456,846730.0809595286,971955.290947231,1107978.6316982368,1256198.8958507448,1414423.9530154301,1576677.1886239317,1736435.2223975034,1890174.8674688814,2037491.9676803492,2179269.9195125564,2316533.905275587,2439884.0272616176,2550640.7235734533,2649985.2202739627,2739156.894241053,2819512.941741006,2892358.722955807,2958860.1557162814,3019828.719039278,3075579.948536564,3125891.0435019652
ERCOT_North,31256.00189623605,135399.26895607734,327786.8378973945,604346.4372265112,958746.00407296,1385348.6206544829,1879913.9894607814,2438316.623516908,3057010.7414820124,3732588.5178305088,4462273.891489522,5245414.136997993,6087187.957923421,6987438.7077276055,7965317.798639001,9030881.225943884,10168369.646720389,11334816.858340582,12483325.930164251,13588568.482871722,14647639.016172295,15666888.3147375,16653686.469169937,17540457.110778496,18336692.93989275,19050885.85402191,19691945.800002843,20269629.734573502,20793321.96208214,21271404.32833689,21709710.59950547,22110509.178021457,22472198.337660477
ERCOT_RAYBURN,968.0164482222623,4193.393635624797,10151.747867460073,18716.95854133652,29692.91800950895,42905.04766948634,58222.0230560043,75516.07545245174,94677.38996084087,115600.42425453661,138199.20211723543,162453.50826405943,188523.73013836905,216405.0163063168,246690.49707629517,279691.61243582,314920.2864239228,351045.8309059033,386615.82082811656,420845.8216403712,453645.84831895726,485212.58833662205,515774.2976600721,543238.0970841779,567897.9810259979,590016.9484606674,609870.945592679,627762.1510128289,643981.2020519691,658787.6893204304,672362.2879290017,684775.2516124438,695976.9739836095
ERCOT_South,10847.320192012166,46989.990242731976,113757.63276455409,209736.97574183944,332730.49200332875,480781.90280668036,652419.6231118018,846211.9125984242,1060928.2163906319,1295385.8568459908,1548621.4086540586,1820408.3450153721,2112543.922532445,2424973.777401407,2764344.3611185476,3134145.5826326096,3528908.1999318777,3933720.895859174,4332308.2035660595,4715879.970001695,5083427.848286788,5437155.862948574,5779621.786183123,6087373.401963594,6363705.129080449,6611564.060115328,6834042.370662353,7034526.189062172,7216272.31554095,7382189.649502484,7534302.785447265,7673398.966977435,7798922.31886387
ERCOT_West,7527.998587337501,32610.872907280776,78947.36060073526,145556.65631219122,230913.68461766903,333660.795577082,452776.71481972234,587267.8200575382,736280.1109288222,898992.8136881771,1074737.3148672413,1263356.4057364692,1466097.3754811448,1682922.4958300001,1918444.3786161141,2175085.0072576054,2449048.74878622,2729987.2063161326,3006605.268310622,3272802.6022840715,3527879.419371723,3773365.304137669,4011035.3406706913,4224613.781044587,4416386.939257808,4588400.086252728,4742799.180025635,4881934.180650882,5008065.294987658,5123211.288059476,5228777.220680422,5325309.436889386,5412422.161410487
