,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,12783.41355490944,11311.085615766766,23055.091657101235,45218.970393667565,76884.11518758225,117556.19685970541,166942.5140326959,224833.82477568713,290865.8475557732,405786.463301928,565251.6574656771,765584.9396633653,1004309.3200627562,1281821.6114902312,1570730.365649612,1873746.2763353956,2195006.175208837,2530045.1985049886,2865703.794647382,3188599.0815272615,3489775.1860928354,3767052.978899454,4021494.372374522,4253910.285401169,4460829.560307971,4641901.883767533,4797480.93472012,4929558.937084677,5042520.566163187,5142382.9608748425,5235468.02368117,5327093.680586396,5420492.044099421,5516351.429937432
isoNE_ConnCentral,7054.674969393491,6242.153727364244,12723.219610458498,24954.613038818472,42429.390289849296,64874.75007524564,92129.16174661179,124077.15271864082,160517.69000425428,223937.96408748833,311940.6801792657,422496.92443952465,554239.741313408,707388.1165594367,866825.7618841544,1034048.6050833407,1211339.6046678727,1396234.7738075482,1581471.8614051791,1759665.3688202454,1925872.893682977,2078891.8581465255,2219308.2908947873,2347569.706914465,2461760.5076031787,2561687.368489996,2647545.4713983303,2720434.2481938587,2782773.432773867,2837883.6530080745,2889253.7240601857,2939818.4050467666,2991361.374725989,3044262.4881060794
isoNE_ConnNorwalk,2673.4084266900545,2365.49897023321,4821.5350343989285,9456.68979395976,16078.854097789319,24584.64837615102,34912.859688907534,47019.72905581517,60829.073905170815,84862.54049189399,118211.66058489193,160107.56596832458,210032.24121056387,268068.6721861816,328488.4571361558,391858.48624214716,459043.89936492057,529110.9549524281,599307.582446608,666835.0059454474,729820.2745049603,787807.6645427761,841019.2548971979,889624.6338684257,932897.8746819479,970765.7159512488,1003302.1229169259,1030923.7314164949,1054547.5131062572,1075431.8384380506,1094898.8133768248,1114060.5812582502,1133593.0770961002,1153640.2490643617
isoNE_ConnSW,4787.200396070529,4235.835233460843,8633.792800196961,16933.839466949834,28791.970555953223,44023.067058735505,62517.516613659565,84196.96119452079,108924.98272401011,151961.06341197147,211678.43368878495,286700.30196860497,376099.07198342297,480023.34430158156,588215.4243277236,701690.4270271048,821997.5350247081,947464.7224964338,1073163.930888251,1194083.467645866,1306869.490007599,1410705.9460405519,1505990.506333353,1593026.8480831638,1670515.0737854484,1738323.9962504592,1796586.063040473,1846047.3327174587,1888349.801705309,1925746.8000471632,1960605.787251216,1994918.2484058863,2029894.5621175067,2065792.4925004728
isoNE_MaineBHE,814.6394064146253,720.8134222016508,1469.2152531639488,2881.6368211783806,4899.538741361589,7491.419253456958,10638.625587195444,14327.823532459686,18535.798781861482,25859.262252250162,36021.38605113635,48787.8811186406,64000.898104277556,81685.72441379001,100096.80491161204,119406.88203263674,139879.58067443053,161230.37167335683,182620.64574568326,203197.56158338484,222390.39470230884,240060.2772867765,256274.8810667062,271085.8828868443,284272.0787774626,295811.14457296475,305725.61891693936,314142.45883098326,321341.08336619637,327704.9424091358,333636.90729354596,339475.86966717243,345427.80004050594,351536.5622144682
isoNE_MaineCentral,2701.150595256692,2390.045938261461,4871.568480968052,9554.822604392788,16245.705625706258,24839.765197282282,35275.15316751088,47507.65646578414,61460.30196788739,85743.16571915643,119438.35224253307,161769.01471650053,212211.7622227372,270850.4417867328,331897.20757588896,395924.8324356678,463807.4338509083,534601.5807603667,605526.6441543183,673754.8050140758,737393.6766370594,795982.8063616018,849746.5775554995,898856.3383500217,942578.6289716796,980839.4277948131,1013713.4676031128,1041621.7076968022,1065490.6352188569,1086591.678829822,1106260.6640917636,1125621.275138825,1145356.4612153424,1165611.6642567741
isoNE_MaineSouth,1961.2601528897103,1735.3722782134064,3537.1641849861894,6937.596472715226,11795.734438214842,18035.73698338605,25612.697202447453,34494.51272621887,44625.29465993422,62256.67484178894,86722.18475764939,117457.7689569919,154083.40207051966,196659.96401744944,240984.99699240093,287474.38175390527,336762.80035003833,388165.2433071837,439662.74252844224,489202.0660427151,535409.183597803,577949.7682371837,616986.7409616351,652644.5147760155,684390.5368378368,712171.0612859415,736040.3503414085,756304.0554932607,773634.8835201852,788955.9974526133,803237.3178313297,817294.732863604,831624.1205436933,846331.0838220868
isoNE_MassCentral,3652.259411871906,3231.6109246741617,6586.90850722571,12919.194822732105,21966.02121265569,33586.1563549148,47695.97459227241,64235.69488048056,83101.24089818647,115934.40386159669,161494.08584707553,218729.90257747468,286934.1706637653,366220.2607149539,448762.3541877532,535334.9043908301,627119.8164784884,722841.4655452044,818740.1284235525,910992.2757463787,997039.1878489831,1076258.2809442012,1148952.9465824123,1215354.8667091676,1274472.3212161325,1326205.2245399647,1370654.6238096505,1408389.703345737,1440663.1779705118,1469194.1622346984,1495788.8425428022,1521966.5662285495,1548650.757483778,1576038.0701635494
isoNE_MassSE,6086.337625120302,5385.344506652473,10976.80765786713,21529.29807785833,36605.45604898723,55969.9254772598,79483.3477009083,107046.10010887375,138484.74386259104,193199.83733222182,269123.14271282573,364504.2385184421,478163.7999663575,610290.7544369592,747843.7024906159,892113.2381897639,1045068.957063839,1204585.0835360042,1364396.1961250922,1518130.542985542,1661524.12476485,1793539.4316091721,1914682.0528537615,2025338.076775284,2123854.843272619,2210065.5639385898,2284138.6295893197,2347022.5620999285,2400804.9583513103,2448350.6508736913,2492669.5738015394,2536293.655949337,2580761.745128512,2626401.556767301
isoNE_MassWest,4456.7531828637675,3943.4472336501226,8037.825943958496,15764.943327707906,26804.540399330697,40984.27640390636,58202.10521819165,78385.07765397696,101406.19219681835,141471.61117144275,197066.85641580363,266910.1724622598,350137.99244963436,446888.65945971676,547612.5392064161,653254.6760743568,765257.3168933131,882063.8511609335,999086.3905857557,1111659.1858999573,1216659.9008388584,1313328.81327921,1402036.1437079275,1483064.6073245094,1555204.0349566997,1618332.2949039042,1672572.6922392135,1718619.7871639067,1758002.2336266343,1792817.8205250683,1825270.588180375,1857214.554969083,1889776.5504073894,1923196.5458652417
isoNE_NewHampshire,4895.451532360212,4331.61855966845,8829.025463086564,17316.757918734107,29443.0324023007,45018.54387979709,63931.201367068425,86100.87495775631,111388.06180461156,155397.3009673571,216465.03735669077,293183.34652386775,384603.6568203392,490877.9290624102,601516.5153200413,717557.4849659425,840585.0517007976,968889.3808184075,1097430.9774566614,1221084.8215694434,1336421.231228159,1442605.7014288683,1540044.8951335119,1629049.3564758613,1708289.7938650073,1777632.0536253282,1837211.5783052982,1887791.2968045345,1931050.3353856595,1969292.9777844562,2004940.2179678166,2040028.573716734,2075795.7934672192,2112505.4700552523
