,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,2915.2961329894492,3868.3209175590328,5208.970892875894,7034.908987341792,9732.284509770014,12870.732621314814,16887.71204564771,21731.867781866753,28845.216165483645,38558.490215381506,49042.766255382645,59804.516016116686,70766.21859989289,82424.99237982514,95115.79908391238,108171.69397013215,120853.73756414813,133245.41545761988,145470.49404787537,157142.88936919032,168201.21639490247,178662.34523155776,188577.63608251605,198387.9173780093,207690.44223115835,216552.32279958567,225078.9986081926,233404.75078438595,242108.89295521216,250825.43217688953,259590.90347239096,268410.80199163465,277276.3630631987
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,5616.919622241697,7453.118542946996,10036.157386823641,13554.203939880705,18751.254534169802,24798.122494388506,32537.662328902552,41870.92803047713,55576.26165461484,74290.88861470207,94491.01001838727,115225.74180659038,136345.72397212527,158808.75764981427,183260.21573382296,208415.09154300313,232849.66568703944,256724.7903869671,280278.92714858626,302768.2055367909,324074.35462984873,344229.87816946034,363333.7321864693,382235.2636243276,400158.4974916409,417232.7392098293,433661.1397828942,449702.41951402987,466472.7456571793,483266.95727714035,500155.4466353075,517148.801272018,534230.1342390352
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,27425.243862572846,36390.69228756528,49002.67091003005,66179.93017780066,91555.11613383969,121079.63127147868,158868.8078345808,204439.53077786448,271357.36869235587,362733.6465627225,461363.01867550117,562602.6863155309,665723.3823941085,775401.6790292206,894788.6821997924,1017610.2017863897,1136914.7672148813,1253487.757604858,1368493.4881661204,1478299.9275617492,1582329.6046708268,1680741.2226798926,1774017.9455756291,1866306.8056488065,1953819.0174437864,2037185.9292713315,2117399.448831813,2195722.8071992886,2277605.8169382093,2359605.4502128744,2442065.4051825255,2525037.376707547,2608438.912357667
ERCOT_LCRA,4347.72134506251,5769.0130455382005,7768.388837240572,10491.498142754437,14514.223999590316,19194.742623591053,25185.45725056108,32409.779697546866,43018.25828479884,57504.13107120353,73139.83620963771,89189.35125392431,105537.06556068326,122924.3556704836,141850.76611951162,161321.65013481848,180234.99173630308,198715.29700235522,216947.1447143121,234354.74928395476,250846.56426848224,266447.74886921654,281234.8990277868,295865.44338546967,309738.74613826314,322954.89487483667,335671.136630179,348087.7313083387,361068.63718555885,374068.03138099523,387140.40033169434,400293.9392190386,413515.57686696725
ERCOT_North,31256.00189623605,41473.744147731246,55847.3639308177,75423.94275490876,104343.53465839867,137992.0340391776,181059.60274457082,232995.64422028363,309260.56566376216,413400.2819302354,525806.204635215,641187.0289439262,758711.6237414882,883709.784734373,1019772.7643813026,1159749.9936936088,1295719.0206947317,1428574.9262588548,1559644.6571430494,1684788.859877104,1803349.4021745431,1915507.154882834,2021812.7703338068,2126992.538284213,2226728.4557299833,2321740.0577132604,2413157.8016009526,2502421.3665822027,2595741.795034689,2689195.1369982683,2783173.0983907026,2877734.594810418,2972785.656871771
ERCOT_RAYBURN,968.0164482222623,1284.4658327589975,1729.6251470152506,2335.9231106688126,3231.579590707125,4273.6930691591815,5607.520569879401,7216.009799274345,9577.978506108735,12803.245723387901,16284.52213286764,19857.93296484374,23497.737608200787,27369.00291719151,31582.95205661167,35918.127771046515,40129.16714271081,44243.79134373576,48303.09668231282,52178.88498845617,55850.77352477896,59324.363965991,62616.71033314822,65874.18855234601,68963.0675742554,71905.63181510399,74736.89219307678,77501.4364049586,80391.62402386947,83285.92805105787,86196.47984524714,89125.10405658039,92068.89039885935
ERCOT_South,10847.320192012166,14393.363035539343,19381.693168836242,26175.69770831808,36212.17243854436,47889.80312130889,62836.29913157246,80860.57726103226,107328.13459809808,143469.57235453,182479.77714999096,222522.41438330934,263309.0420024727,306689.3527729871,353909.6822127295,402488.44257312425,449676.16597338236,495783.4880754878,541270.9225561254,584701.9167612367,625848.0674656171,664772.1454613334,701665.253314148,738167.6385029904,772780.7484832738,805754.2961586961,837480.6040362425,868459.3093116829,900845.9392856779,933278.6965736351,965893.5217710654,998710.861394531,1031698.1035950275
ERCOT_West,7527.998587337501,9988.938713025726,13450.820683126052,18165.833761955106,25131.108710382407,33235.339592036995,43608.15046690783,56116.93032170271,74485.31354601552,99567.33265845184,126640.26508725862,154429.70166604294,182735.46471758667,212841.23392306973,245611.96134916332,279325.43462129525,312073.5335811104,344071.8381859806,375639.94316033256,405780.88647493126,434336.15716796805,461349.31792825833,486952.9932030969,512285.50844851264,536306.873949165,559190.3895019626,581208.3254212396,602707.4280035337,625183.6249238009,647691.8340229472,670326.3975525936,693101.5053167718,715994.524817419
ERCOT_WZ_Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_FarWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_NorthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_SouthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC,57767.06717063046,76651.40832641313,103216.60570038209,139397.8661077982,192846.80092621152,255035.66085696456,334632.761680656,430620.4956993644,571572.6512058183,764042.7567768126,971790.3922175824,1185036.2145774371,1402244.1346566027,1633264.6338955285,1884735.0334301158,2143439.7146905973,2394736.4717734344,2640279.5852598026,2882521.506448562,3113811.918746102,3332934.467862255,3540223.4377028607,3736696.539053391,3931088.8589781635,4115419.9023899604,4291019.507610682,4459976.9759804215,4624953.109885212,4797427.103094689,4970146.745883682,5143835.985676357,5318603.709762361,5494276.244751527
