,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,2915.2961329894492,3824.0338463502517,5097.66201629469,6830.027147972753,9321.746233876998,12292.10637084691,15920.390400879367,20338.252950999948,26356.386347805746,34037.002903797395,43543.954748193966,53203.47960432943,63086.472705999986,73251.07164889637,83919.49608721552,94794.53388208758,105289.0372868931,115182.42559182589,124584.06548728803,133209.6573707739,141033.00286688653,148083.80403294676,154409.92137729775,160254.41242462737,165402.58270128592,169907.18067193133,173858.01873644209,177381.35602898672,180917.25514493923,184277.32634463446,187536.76701179118,190737.42144333612,193903.54141377998
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,5616.919622241697,7367.790360856235,9821.69786556824,13159.456795406963,17960.26782395174,23683.27961327627,30673.9175566187,39185.841462164804,50781.017397558855,65579.31022142549,83896.41487444061,102507.48292066403,121549.10865846813,141133.30616365466,161688.2274589228,182641.23202384808,202861.05855642344,221922.71279854313,240036.91224898462,256655.89505335546,271729.1846349633,285314.0081367724,297502.57870495395,308763.1968199646,318682.2092723814,327361.24686493044,334973.35172032774,341761.7881163162,348574.4274574505,355048.298032768,361328.28312029026,367495.0043933448,373595.1879003017
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,27425.243862572846,35974.06781016974,47955.548098126135,64252.53270207784,87693.03426713732,115636.28510681451,149768.86368101276,191329.2926258905,247944.0475172387,320198.38205270993,409633.71240282105,500504.3521907748,593477.2384915233,689099.2926697129,789461.0152883714,891766.424390405,990492.0090184947,1083562.6867515584,1172007.3095545059,1253151.368364426,1326748.4055998973,1393077.839243891,1452589.9103878161,1507571.1489700095,1556001.8465192935,1598378.2268978863,1635545.187795829,1668690.4944988731,1701953.9748126257,1733563.3784009859,1764226.1142173626,1794335.8266790372,1824120.6609896927
ERCOT_LCRA,4347.72134506251,5702.965606094278,7602.388555783477,10185.948001154578,13901.968522396337,18331.809465101564,23742.843954810683,30331.414869222503,39306.546668233066,50761.01956580551,64939.19412331758,79344.90815179842,94083.89112337638,109242.84643084751,125153.18093299071,141371.6478715938,157022.6055710836,171777.09140928223,185798.20919198127,198661.96924752448,210329.30067857495,220844.49959184523,230278.94266545546,238995.11327672206,246672.82723056746,253390.75084946837,259282.8256852226,264537.3480575152,269810.60448126326,274821.6402764037,279682.60091817233,284455.890819232,289177.67781738925
ERCOT_North,31256.00189623605,40998.925563774574,54653.97900565663,73227.32640181931,99941.99720064772,131788.36128800115,170688.57840127507,218054.1680171341,282576.8718117144,364923.69171853643,466851.3489171815,570414.7995744263,676374.1385351453,785352.6811396191,899732.929067304,1016328.3576043025,1128843.9317886299,1234914.721688826,1335713.2893111696,1428191.5501696756,1512068.621488211,1587662.950353312,1655487.6675315592,1718148.685460653,1773344.1827923018,1821639.6959372724,1863998.137894056,1901773.1810022593,1939682.9042109894,1975707.5092590768,2010653.2159817934,2044968.6530482091,2078913.8329838158
ERCOT_RAYBURN,968.0164482222623,1269.760426715142,1692.6653259718714,2267.8926323215273,3095.261431055285,4081.5617376324117,5286.323950345259,6753.263643403654,8751.569081324946,11301.897699592642,14458.656168721433,17666.07610693625,20947.69809100344,24322.82655735809,27865.24896036776,31476.276787472216,34960.94916665828,38246.0228507523,41367.812762961854,44231.91796461924,46829.639353765684,49170.83942076955,51271.41012211932,53212.05807252199,54921.49453410853,56417.23449646425,57729.099931824756,58899.01485512303,60073.10089899492,61188.8037436207,62271.092483384775,63333.86140752625,64385.16325427615
ERCOT_South,10847.320192012166,14228.578389365002,18967.531804291993,25413.3672925447,34684.62946296279,45736.83343177941,59237.060107197154,75675.17392458023,98067.62290246613,126645.88845570784,162019.63643940314,197961.08260382983,234734.01603455376,272554.7568194436,312250.14642916666,352714.30913508206,391762.56821240427,428574.1804232941,463556.0805884403,495650.43832692766,524759.7739476796,550994.6037452413,574533.008516509,596279.3638978141,615434.8283331374,632195.6698719945,646896.0651517671,660005.8028982027,673162.2810492092,685664.5334820272,697792.3568490685,709701.4466496127,721482.0396045081
ERCOT_West,7527.998587337501,9874.578800931598,13163.394285450913,17636.7793788041,24070.99974718029,31741.186889391287,41110.292395848046,52518.28030486893,68058.55396588663,87891.76059251354,112441.00594863259,137384.2316636726,162904.5063507421,189151.95532070688,216700.40338125735,244782.37702044615,271881.71897483367,297428.8365869108,321706.1410606485,343979.5021710501,364181.2693865806,382388.1405915551,398723.70317564544,413815.5903599801,427109.40917018696,438741.3688794632,448943.3867917696,458041.49447998975,467172.0398296188,475848.5550413757,484265.21791833185,492530.08053951553,500705.76684291754
