,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,2915.2961329894492,5685.51359172626,11159.500972253032,17896.676807914915,25850.22951476031,34959.17291768884,45189.96868494361,56509.42440834519,67878.0192059745,79287.7071495593,90720.37254201913,102183.59523775244,113759.53478824557,125663.75425067052,138102.68691029586,151112.8311949225,164365.9123204823,177223.57501917507,188712.0476010555,198617.9577322178,207057.38899741427,214262.1813055982,220464.2899022795,225972.21058729643,230956.5955917082,235568.8043985162,239937.94374650158,244170.42462271874,248358.06283433744,252578.0527880524,256890.90378484043,261327.60298406283,265883.5440190506
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,5616.919622241697,10954.315239029156,21501.08158007158,34481.6411608292,49805.80180443512,67356.06105900103,87067.8004071795,108877.06782478237,130781.01180958714,152764.13022036027,174791.51942818714,196877.78358680106,219181.22002719235,242117.15546418706,266083.3262229521,291150.05405673117,316684.8498488084,341457.79044005973,363592.7037150891,382678.48383953643,398938.7897952929,412820.3090111526,424769.9511355876,435382.09699045756,444985.5433159527,453871.91539173573,462289.96399348864,470444.7118475287,478513.06105415634,486643.7425682769,494953.3400453682,503501.55664267903,512279.5172442176
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,27425.243862572846,53485.68022733676,104981.45697288784,168360.50383787707,243182.44734156664,328873.56850376556,425118.3601220433,531604.5692220256,638553.04734457,745888.1035358593,853439.316889231,961277.9938332047,1070177.0389484358,1182164.331785068,1299181.8648308543,1421572.9919810358,1546249.513753877,1667206.1915417907,1775282.403286175,1868470.8783620414,1947863.6569859043,2015641.7409325647,2073987.216989477,2125802.216588643,2172692.1269151005,2216080.841303476,2257182.9134847983,2296999.3900548485,2336394.01547978,2376092.985429554,2416665.5327572115,2458403.164864857,2501262.547997204
ERCOT_LCRA,4347.72134506251,8479.079885117364,16642.70055733852,26690.174930417084,38551.690637629996,52136.296062694724,67393.97387831227,84275.2226496532,101229.75488591519,118245.57130726724,135295.6551033119,152391.31047549463,169655.06591471419,187408.40097643257,205959.17954814207,225361.83349074892,245126.79082918406,264302.04164852266,281435.35339040315,296208.51363034133,308794.6434017471,319539.4967120392,328788.9995755909,337003.2266169458,344436.679716432,351315.0885512428,357830.9962107881,364143.0985182914,370388.32480320544,376681.79879718414,383113.7609311926,389730.4238464282,396524.9178467173
ERCOT_North,31256.00189623605,60956.559984815416,119645.26677161794,191877.09883554967,277150.17132855003,374810.6282038829,484498.8922134165,605859.094887647,727746.1363210212,850073.7530473728,972647.7197679776,1095549.3029932152,1219659.3666147473,1347289.0443961336,1480651.586333759,1620138.3059945866,1762229.6441965457,1900081.550609704,2023253.8474960222,2129458.888671739,2219941.250529655,2297186.5771701643,2363681.7492608805,2422734.2679491527,2476173.760900323,2525623.0108684907,2572466.2204485466,2617844.2624237095,2662741.5290862517,2707985.651116543,2754225.371811935,2801792.9163281503,2850638.898051007
ERCOT_RAYBURN,968.0164482222623,1887.8599024993698,3705.4830803812406,5942.544677550337,8583.501030116151,11608.101838308692,15005.210786877098,18763.806423588703,22538.71856124324,26327.27557042351,30123.462181343904,33929.79526481208,37773.55568479152,41726.320590035764,45856.63561244107,50176.6199593997,54577.27084834057,58846.624083912364,62661.34132596724,65950.57284967651,68752.8639054308,71145.19632800206,73204.59024936392,75033.48089215864,76688.53288291309,78220.00474167327,79670.76602302823,81076.15021662749,82466.64452085248,83867.88113633821,85299.95201805048,86773.14637112561,88285.93466357142
ERCOT_South,10847.320192012166,21154.827356166592,41522.601721071136,66590.48510085404,96184.29956756067,130077.1259546906,168144.17384416034,210261.9399405784,252562.5441597022,295016.0489733256,337555.048959231,380207.74746415153,423279.84618052264,467573.41851565737,513856.56755118,562265.097718202,611577.5544778667,659418.7266440003,702165.3756731062,739023.5794658815,770425.2652624426,797233.0698622714,820310.0592125251,840804.0936217566,859350.1409653849,876511.384090474,892768.2071743499,908516.5473691475,924098.035649432,939799.899249848,955847.2829695338,972355.4847487676,989307.3650820232
ERCOT_West,7527.998587337501,14681.369004840764,28816.526254012744,46213.54112313326,66751.53479859882,90273.02624964631,116691.41140500136,145920.97945159845,175277.4364537234,204740.00588168448,234261.90863112686,263862.71771645476,293754.588939107,324494.15816585184,356614.48598778865,390209.82015896763,424432.4759166785,457634.06581244204,487300.07620102534,512879.52819213865,534672.1776329291,553276.6911519215,569292.0332044812,583514.8144399012,596385.7001270718,608295.5370006768,619577.7098363356,630506.9974982458,641320.4905717676,652217.5236555279,663354.3463761494,674810.9750617365,686575.5149612258
