,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,16129.811195067508,14339.611837165676,24367.798565083256,43870.23432625707,67398.57037312792,95007.41309048644,126699.75253806151,162505.52716488595,202345.9207477189,242516.43854116133,282885.126858464,323298.4505903882,363778.03243150545,404730.7435110033,447140.1766661614,492048.1580457672,539799.8670494489,589186.2790798213,637546.1381399847,680783.4247291699,717676.4925176522,748547.8192077704,774418.6993416536,796375.4635977666,815711.157639515,833123.5799579707,849186.1573353437,864378.2567949569,879109.5714731058,893758.3996770113,908664.402432512,924101.5164570492,940206.9684588948,956942.2353959653
isoNE_ConnCentral,8901.423302165222,7913.481032585428,13447.652135942597,24210.2974040149,37194.682417327116,52430.94234238206,69920.72727830513,89680.55910527385,111666.9421767701,133835.50812104708,156113.43676632273,178415.9979826192,200755.1245046093,223355.35288182413,246759.49022438543,271542.4803704739,297894.8145734662,325149.2785929782,351837.22745497123,375698.2253124702,396058.0924757747,413094.79200342984,427371.93712845736,439489.03202968475,450159.6589468423,459768.90606686065,468633.2256072843,477017.16181727324,485146.8086036971,493230.9342730375,501456.98470012046,509976.1350382359,518864.1154372236,528099.6665097091
isoNE_ConnNorwalk,3373.244007525072,2998.857774277392,5096.062780411307,9174.627232773882,14095.132353219036,19868.998031170144,26496.84958089411,33984.948061034025,42316.81055374742,50717.71226221542,59160.057576190964,67611.73754034156,76077.27413102565,84641.7567260275,93510.88510720279,102902.53744874582,112888.90147357759,123217.13262395594,133330.67969568717,142372.937917111,150088.4231346175,156544.57544182087,161954.9792168947,166546.81991210527,170590.5134971617,174231.9912883083,177591.17461837732,180768.3140060681,183849.0889984145,186912.61350955066,190029.9211992105,193258.30073490372,196626.45047929263,200126.31406895872
isoNE_ConnSW,6040.3771034940155,5369.973768861887,9125.382233866081,16428.757642883953,25239.773507985457,35578.87911728716,47447.19420418868,60855.93027760755,75775.57182093356,90818.8400266525,105936.32017945727,121070.51563867353,136229.52378545635,151565.7118746418,167447.42096004717,184264.7996143279,202147.11244677773,220641.59752439638,238751.653610145,254943.38163299928,268759.2930068006,280320.1508890365,290008.41506758647,298230.90040703036,305471.8334940623,311992.5296024539,318007.7286298954,323696.9464775236,329213.60720033897,334699.3779515147,340281.45679050806,346062.42898975837,352093.683933593,358360.7953092334
isoNE_MaineBHE,1027.8928833123286,913.8101356940365,1552.869182665757,2795.686887332791,4295.060245537698,6054.469119110906,8074.104053439391,10355.872914543777,12894.75303762167,15454.670748963357,18027.217130826648,20602.60796167191,23182.2211754129,25791.985156025046,28494.58061720611,31356.399265035994,34399.43809898685,37546.65047763352,40628.44445307262,43383.795934951704,45734.85394578179,47702.16879029071,49350.82377161974,50750.04670402002,51982.23857899345,53091.867499376756,54115.475821519074,55083.6118231286,56022.38372419924,56955.899069020124,57905.80319162378,58889.55306028654,59915.89362280271,60982.36994896128
isoNE_MaineCentral,3408.248424709851,3029.977156206018,5148.945022895811,9269.833057924514,14241.398645270869,20075.18017944495,26771.809463648766,34337.612528021185,42755.9354101907,51244.01393346235,59773.966125780855,68313.34983467018,76866.73396139145,85520.09086286458,94481.25488368749,103970.3651369275,114060.35844315853,124495.76645686555,134714.26259843193,143850.35304141138,151645.902453128,158169.05075832785,163635.5987170001,168275.0893026374,172360.7446126396,176040.01030394583,179434.05214244875,182644.16095432968,185756.90538999054,188852.220334847,192001.87657048178,195263.75725339298,198666.85855139923,202203.04049956807
isoNE_MaineSouth,2474.6720298641208,2200.0156048567956,3738.5626408829285,6730.670341880518,10340.440749003463,14576.251697023607,19438.56192765152,24931.964665292806,31044.367747131986,37207.419230275824,43400.87448235469,49601.177800462945,55811.646587192554,62094.70392927297,68601.25485924017,75491.13869568294,82817.31364097667,90394.28841327164,97813.76711249868,104447.3291843347,110107.54689227395,114843.89549306818,118813.06429988386,122181.72061667567,125148.24642683253,127819.69954941097,130284.05641525381,132614.862594753,134874.9741333363,137122.43041091348,139409.34298850122,141777.73985541728,144248.67464289168,146816.23705888217
isoNE_MassCentral,4608.3352068569975,4096.8699064550565,6961.9527893427785,12533.856902217183,19255.972744262148,27143.9015226156,36198.49750626759,46428.314199474786,57810.83357198628,69287.6704169089,80821.12517204895,92367.3323983857,103932.46976430321,115632.7815659444,127749.283213002,140579.62754609634,154222.43335008182,168332.2786884766,182148.83477896222,194501.8566233121,205042.31621843838,213862.346406514,221253.734086849,227526.84717704108,233051.1126829419,238025.8937164198,242615.02002086467,246955.44818577816,251164.22876315797,255349.44270861943,259608.1321911527,264018.5617486478,268619.93746128766,273401.2531809556
isoNE_MassSE,7679.597968175215,6827.262427150678,11601.803275077522,20887.14854258927,32089.273571513815,45234.177121329245,60323.28279559428,77370.84465156861,96339.33733321802,115465.00613964545,134685.02632650654,153926.2979734927,173199.1159067051,192697.19638600745,212888.83984364505,234270.07229496684,257005.23782211883,280518.7052085127,303543.41832438845,324129.2128029535,341694.4480683743,356392.65965046664,368710.09821861493,379163.9789323899,388369.936452939,396660.2010717035,404307.78820704785,411540.93028982927,418554.6871715873,425529.17124646984,432626.09923219617,439975.89570926706,447643.89597127493,455611.7587325017
isoNE_MassWest,5623.426565512375,4999.299320311461,8495.482317601301,15294.725906089221,23497.541696563963,33122.96741929803,44172.045515589016,56655.213594878536,70544.99351509749,84549.86649086491,98623.82876810647,112713.35254035315,126825.9762489172,141103.54965812268,155888.98825680674,171545.5097398875,188193.4559379209,205411.31782286736,222271.28678682636,237345.34457249028,250207.5817664658,260970.42557922596,269989.9356564768,277644.84555698925,284385.9570444094,290456.54752134363,296056.53398381005,301353.0408464087,306488.90172563324,311596.0048825914,316792.7682462268,322174.69591113174,327789.62999445555,333624.1399919217
isoNE_NewHampshire,6176.965846594918,5491.402937108581,9331.731021083038,16800.254872064037,25810.510877613087,36383.410737797756,48520.09950612186,62232.042213077,77489.05591893573,92872.49180974181,108331.81777408208,123808.23702168104,139310.03003668468,154993.00949653625,171233.84561078472,188431.50923292144,206718.18798353695,225630.88179676404,244150.45367198353,260708.3190636445,274836.64437071653,286658.9235218976,296566.2647223461,304974.6819859791,312379.35153056815,319047.4976524818,325198.7160807955,331016.5820412353,336657.98890842765,342267.80730083573,347976.11155911087,353887.8066773226,360055.4440883417,366464.27126268245
