,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,417861.93476383114,423560.5730892446,431833.0865228586,442555.08062286774,455432.3576581124,470107.37367007154,486202.17727130983,503363.3656945836,521327.7878765583,539872.961160375,558760.1280690389,577780.2127827721,596753.9170706945,618045.1360171641,641467.8363793651,666920.8251302585,694360.0892866442,723745.4049607585,755071.1050070357,788214.5714889066,822978.1654439156,859055.6521572735,896058.3558470608,931281.8757369585,964427.6296727585,995348.1234104547,1023965.740589114,1050210.8249497567,1074033.9814841445,1095427.0301590897,1114344.3863391748,1130745.2826726737,1144642.0349888639
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,805097.2503970104,816076.8531440049,832015.5574508215,852673.6917543664,877484.4234127443,905758.8702044531,936768.8307847591,969833.4017917629,1004445.568396154,1040176.6718463297,1076566.696591103,1113212.8149172422,1149769.5717816497,1190791.4988951867,1235920.1648243745,1284960.6003196826,1337828.0052861318,1394444.8801030468,1454800.3058449803,1518658.0337527904,1585637.2715790698,1655147.99494892,1726441.339758469,1794306.7198120232,1858168.8549718838,1917743.5671389706,1972881.312376461,2023447.88352665,2069348.1109126485,2110566.2340124287,2147014.424618676,2178614.1360152382,2205389.097188805
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,3930978.1713438197,3984587.320682212,4062409.8429659517,4163275.514743963,4284416.711681425,4422469.888599146,4573879.520262035,4735321.019173235,4904318.828217648,5078779.972671198,5256458.374697569,5435387.182532273,5613879.672946624,5814173.860947208,6034519.6646150565,6273965.124589224,6532096.19483723,6808534.47471615,7103226.651340413,7415019.213485457,7742052.900035145,8081446.850401336,8429544.651095882,8760905.027061542,9072719.108112033,9363599.362612253,9632815.625416292,9879712.614932872,10103825.654475737,10305077.79151769,10483040.194926077,10637329.351496166,10768061.120683016
ERCOT_LCRA,623177.6019264528,631676.2553582006,644013.4525388377,660003.67805409,679208.1806769525,701093.7379046853,725096.6926542383,750689.9983806096,777481.2052458259,805138.5141625889,833305.8546215325,861671.4217963491,889967.819611316,921720.4385060018,956651.8381574391,994611.1045371526,1035532.5989663291,1079356.3336264296,1126073.8568306898,1175502.3025525417,1227346.9223010996,1281151.013516708,1336334.9253109936,1388865.4547280872,1438297.3118400075,1484410.5313863868,1527089.3603549208,1566229.9170162173,1601758.5362186555,1633663.018685294,1661875.3818567728,1686334.8274206063,1707059.7225653722
ERCOT_North,4480057.19815169,4541154.473412862,4629847.24552673,4744801.834231813,4882864.033429133,5040200.477952434,5212759.006805554,5396750.654113602,5589354.076946261,5788183.953872216,5990680.474905354,6194602.05842881,6398026.3797151,6626297.6596833635,6877421.36497405,7150312.566543683,7444499.384410403,7759550.5629298845,8095405.342472755,8450749.089367831,8823462.840908239,9210263.337901944,9606983.439028645,9984628.231958065,10339996.503519278,10671506.911659857,10978327.301767094,11259710.862517726,11515128.011186458,11744491.046517177,11947311.23824507,12123151.504041376,12272143.886609716
ERCOT_RAYBURN,138749.9614053206,140642.17934127804,143389.04576807437,146949.25583699383,151225.12196166403,156097.9226067685,161442.16000364974,167140.48768871263,173105.5270403507,179263.40327485112,185534.837597085,191850.406928491,198150.57576093823,205220.2692681119,212997.7155988014,221449.3138733188,230560.4496958261,240317.76682970408,250719.38351410517,261724.58478422617,273267.7451400357,285247.1801462623,297533.83102713805,309229.7085854637,320235.66939867294,330502.7383892082,340005.1432476345,348719.7547955293,356630.17154973163,363733.67735163827,370015.13594240695,375461.0106296329,380075.390852183
ERCOT_South,1554793.0624080377,1575996.724662014,1606777.3376473289,1646672.0508408053,1694586.204611286,1749189.4388087646,1809075.4607173367,1872929.3188541478,1939771.8729491732,2008775.3029436516,2079051.2329460583,2149821.727454105,2220419.648300177,2299640.6463240604,2386792.5235262625,2481498.757894812,2583595.584618314,2692933.3374638935,2809490.9299484873,2932812.121622218,3062161.531580237,3196399.7126262086,3334080.468399614,3465141.184397487,3588470.887297543,3703520.7761484445,3810002.0536957188,3907655.5408679917,3996297.447255711,4075897.33634913,4146285.595486736,4207310.536298848,4259017.983887792
ERCOT_West,1079020.418889164,1093735.6791256838,1115097.3064187977,1142784.084281581,1176036.323130699,1213930.758127222,1255491.4275228737,1299805.7600345975,1346194.2360723866,1394082.3516921687,1442853.577434313,1491968.0290455113,1540962.7151975392,1595941.7838204443,1656424.8521588456,1722150.615381314,1793005.4213371798,1868885.4022351615,1949775.9241369327,2035360.3579210718,2125128.3520615934,2218289.1345767975,2313839.0507421736,2404794.6847073226,2490385.0252498705,2570229.2066155784,2644126.804618084,2711897.9499764363,2773415.0928516914,2828657.1104228836,2877506.2921538004,2919857.3668979774,2955742.137100579
ERCOT_WZ_Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_FarWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
