,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,1922296.93645855,1924558.4951437814,1943993.1466408188,1982654.1261788693,2039308.2675008394,2113469.461412578,2203822.2932382957,2308722.0148738017,2426572.5865683593,2555948.5900943857,2695524.2863709633,2843961.643621379,2999873.3977196435,3161892.6606350434,3325687.959287506,3490907.329466359,3657527.3509752504,3825830.8721090103,3996267.1474607238,4169203.2477351553,4344623.318524242,4521877.1443990655,4699591.73772564,4875811.937370679,5044172.705846433,5202748.502149163,5350167.136723818,5485722.551418411,5609334.04221099,5721425.115388029,5822781.6940004695,5914419.550112245,5997471.654818748,6073097.945162404
isoNE_ConnCentral,1060841.8497239167,1062089.917102789,1072815.1548388696,1094150.664596713,1125415.909281149,1166342.623897884,1216204.8816083774,1274095.0091036384,1339132.2133442077,1410529.860756209,1487556.3268584404,1569473.2033030158,1655514.912299346,1744927.1208412414,1835319.4552943567,1926497.680128683,2018448.8706373519,2111329.119930948,2205386.3543649088,2300823.1461631386,2397630.7458867454,2495450.324613283,2593524.183199782,2690773.3433085033,2783685.1852114513,2871197.0767827663,2952551.7593085915,3027359.5864123646,3095576.0206439644,3157434.778857323,3213369.5817993693,3263940.995059511,3309774.261871364,3351509.5069390303
isoNE_ConnNorwalk,402011.93573645357,402484.8978307002,406549.28649017616,414634.49691047287,426482.6357637196,441992.04253409617,460887.62319732347,482825.4098904639,507471.62117864296,534528.1578816372,563717.7668217022,594760.6240369772,627366.6095537527,661249.8646720847,695504.5439710688,730057.0408132706,764902.4573089355,800099.9458129198,835743.4594004111,871909.7639454931,908595.5437994979,945664.8187409174,982830.4544535002,1019683.5660782215,1054893.0267777257,1088056.1461811494,1118885.9568753098,1147234.8001925794,1173085.7984178297,1196527.5198563996,1217724.3254043907,1236888.644518431,1254257.4166091564,1270073.2205034448
isoNE_ConnSW,719871.9353052117,720718.8557765844,727996.8469754517,742474.8153023036,763690.958127583,791463.2347063213,825299.0415856235,864582.44478651,908715.7508921123,957165.1617369923,1009434.2075303546,1065021.815047593,1123408.4742732598,1184082.3057399562,1245421.2364735566,1307293.461052802,1369690.208958553,1432717.402717936,1496543.2815697675,1561305.3080952025,1626997.5450515607,1693376.4963221385,1759927.9982278056,1825919.8716748147,1888968.5037219513,1948352.8075784189,2003558.9184339137,2054322.4278931099,2100613.1134865396,2142589.572090823,2180546.12033153,2214863.149909664,2245964.941840097,2274285.875488328
isoNE_MaineBHE,122500.83505026207,122644.95577490225,123883.45384049456,126347.17429254783,129957.53203144264,134683.54912599685,140441.3990907362,147126.26824553165,154636.4469124815,162881.09848884094,171775.73855319145,181235.09931632614,191170.77559450574,201495.6606967676,211933.72595176383,222462.54198924612,233080.61632719683,243805.97383557865,254667.24383890387,265687.81838811096,276866.6871407338,288162.41428553325,299487.5044265134,310717.3624155768,321446.36808417033,331551.8138649001,340946.25522037275,349584.6976902779,357461.9983074218,364605.1455524902,371064.22337879933,376903.96316249244,382196.5649381432,387015.94717984775
isoNE_MaineCentral,406183.64507037273,406661.51512930344,410768.0802681328,418937.19155001774,430908.2794678317,446578.62856662204,465670.29014988017,487835.726973223,512737.6939256917,540074.998428529,569567.5102260569,600932.5016012524,633876.841982723,668111.7062924134,702721.8490805604,737632.8998878895,772839.9099988608,808402.6455969485,844416.0347157577,880957.6398348578,918024.1108988354,955478.0566087768,993029.3630331489,1030264.9022827297,1065839.7343127471,1099346.9900028303,1130496.7240564807,1159139.745540515,1185259.0015984331,1208943.9796158143,1230360.7460746474,1249723.9348286642,1267272.9440273175,1283252.8697569647
isoNE_MaineSouth,294923.13358275185,295270.1070193628,298251.81510560395,304183.26982338884,312875.27602296055,324253.25373486517,338115.3890713591,354209.3410669847,372290.2417017796,392139.4000948651,413553.4183649661,436327.0126576807,460247.3457804897,485104.7066873891,510234.5510046272,535582.8795888083,561146.0992605613,586967.6052435157,613116.3231910688,639648.5699190269,666561.9130083303,693756.5949406872,721021.9688551963,748058.0695190408,773888.3585183802,798217.4150075102,820834.7145685998,841631.9321667773,860596.6860088897,877793.9513850334,893344.3063830902,907403.5930451605,920145.6343532064,931748.3904656311
isoNE_MassCentral,549205.9729145645,549852.1069818195,555404.6449280903,566450.2021873877,582636.4594789874,603824.5339550558,629638.6077161307,659608.7713191758,693279.031443134,730242.1418454283,770119.334913232,812528.3309738359,857072.7845253801,903362.1715772497,950158.9773407682,997362.6445903127,1044966.482105875,1093051.3004896073,1141745.453119804,1191153.8131925445,1241271.8510561185,1291913.7982215534,1342687.388023371,1393034.0250895224,1441135.1992097483,1486440.7775714297,1528558.7215226223,1567287.308141678,1602603.4800486201,1634628.2342536848,1663586.1113185515,1689767.3203540253,1713495.5545840452,1735102.2114841107
isoNE_MassSE,915228.7939967256,916305.5494078072,925558.6217682874,943965.5811751569,970939.302275994,1006248.3426109605,1049266.4173618818,1099210.4420867667,1155320.522979132,1216918.0012008813,1283371.6763598332,1354044.4953628348,1428275.965000484,1505415.293368496,1583400.2138065458,1662063.1519019844,1741392.9570163977,1821524.2966399395,1902671.066311653,1985008.032828521,2068527.6477153325,2152920.3355513713,2237532.4003375475,2321432.9662387352,2401591.5620133835,2477091.4143278743,2547279.207158139,2611818.7776883934,2670671.701758831,2724039.615828662,2772296.7073568827,2815926.5976942927,2855468.7080664085,2891475.2985118916
isoNE_MassWest,670181.1650833042,670969.6249751276,677745.2365553386,691223.8307405877,710975.4818605762,736830.7149398645,768330.9295805286,804902.7080239335,845989.6139779633,891094.6958893101,939755.7539047699,991506.3024996412,1045862.6919990997,1102348.3765607271,1159453.2504249644,1217054.606334518,1275144.2791749456,1333820.8799340597,1393241.0347609739,1453532.7175747654,1514690.4009642068,1576487.3966765932,1638445.0323305984,1699881.6691318306,1758578.228352942,1813863.3978314758,1865258.783424841,1912518.2281185102,1955613.5956165593,1994692.5352915202,2030029.0479056872,2061977.267772213,2090932.1889600747,2117298.206827644
isoNE_NewHampshire,736150.1247546877,737016.1963155882,744458.7619529583,759264.1150543926,780960.0104236443,809360.2908978258,843961.2139700849,884132.9177813474,929264.1935015231,978809.1723908971,1032260.1581766928,1089104.7470566307,1148811.6815334698,1210857.5072046933,1273583.4717788151,1336854.7893688674,1400662.491131307,1465114.894778959,1530384.0438803644,1596610.5094055864,1663788.2198553407,1731668.173028127,1799724.5786576883,1867208.701163748,1931683.0278749757,1992410.166340062,2048864.6319197805,2100776.037252632,2148113.476459976,2191039.1327090994,2229853.9778951495,2264947.0053715473,2296752.0902578966,2325713.434374577
