,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,417861.93476383114,424976.0208559344,431537.19871477986,437850.1028095169,443779.09765072475,449528.277570851,455163.8340232561,460890.1393649645,466930.99602062826,473673.03869550844,481007.1219858305,489403.6846089028,498804.9996109406,509699.5029942377,521881.7807702819,535259.418229616,549930.6412407965,565440.9744729993,581879.4020575095,598771.4045714854,615922.2818318761,633088.0199793723,650056.2775564536,663110.2023374838,675503.6878391871,687222.5043484339,698046.9627934861,707849.0385448991,716372.9443102638,723562.2761693401,729289.2427135647,733580.9503569348,736485.0890769233
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,805097.2503970104,818804.0053687862,831445.4685269648,843608.5810429814,855032.0131557254,866108.9947150706,876967.0572156735,887999.9661791299,899638.9231620535,912628.8597129219,926759.4846873124,942937.1953573271,961050.7688335393,982041.277871628,1005512.9500319768,1031287.729305435,1059554.8680983922,1089438.7258971303,1121110.7489939923,1153656.6777955417,1186701.3822193637,1219774.7192089967,1252467.5691261769,1277618.6491211436,1301497.256551361,1324075.9749379356,1344931.5279475045,1363817.2497113356,1380240.3132244481,1394092.0446945692,1405126.2276011235,1413395.0880445573,1418990.5106081262
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,3930978.1713438197,3997902.9491485376,4059626.3194670207,4119014.0887985905,4174790.285096469,4228874.89747428,4281890.612845198,4335760.035800479,4392588.556596596,4456013.387576237,4525007.758497742,4603997.256319011,4692438.82273215,4794927.351656367,4909530.439496713,5035378.707696867,5173396.202486057,5319307.510249751,5473949.736856123,5632858.906676182,5794203.404753275,5955687.704563807,6115314.233309347,6238117.219404733,6354707.2146183355,6464950.354898316,6566779.945784997,6658991.613340792,6739179.074103827,6806811.716020703,6860687.359146911,6901061.003311012,6928381.285358912
ERCOT_LCRA,623177.6019264528,633787.1806938535,643572.180818833,652986.9183377537,661829.1135213531,670403.1420642806,678807.7184646551,687347.6330485507,696356.6531364553,706411.3856609486,717349.0568316306,729871.254535111,743891.8877886194,760139.38469551,778307.4014945703,798258.11568456,820138.0162277935,843269.3222037426,867784.7399274139,892976.5957597584,918554.5239529689,944154.6149019088,969460.1935776317,988928.1394803097,1007411.1405194615,1024887.9752394652,1041031.0107608814,1055649.3177960014,1068361.4284526212,1079083.2248515317,1087624.1255185425,1094024.5555526314,1098355.6373110285
ERCOT_North,4480057.19815169,4556330.028849254,4626674.919468419,4694357.972357293,4757924.987694955,4819564.138672389,4879985.089110139,4941378.993006732,5006145.321527432,5078429.332831102,5157060.837409813,5247083.588203056,5347878.672519065,5464682.799054816,5595293.646083263,5738720.40025226,5896016.1785673555,6062308.377644868,6238551.030299754,6419656.63279189,6603537.730189424,6787578.156826375,6969501.318937945,7109457.426001007,7242332.711622504,7367974.613619972,7484027.761653802,7589119.554836078,7680507.6000335235,7757587.169301683,7818988.16220267,7865001.196940832,7896137.575956234
ERCOT_RAYBURN,138749.9614053206,141112.17506632645,143290.79699608605,145386.980272496,147355.68748641078,149264.68762656613,151135.95939175013,153037.3640880314,155043.21472456318,157281.8923429525,159717.1554976371,162505.21213301143,165626.89416521008,169244.38548998686,173289.47893026477,177731.4884237259,182603.02961285258,187753.1951539376,193211.5319947988,198820.47720345334,204515.38109387725,210215.21950295623,215849.48500566639,220184.00655183106,224299.23096443672,228190.43330449433,231784.66639091636,235039.4199806858,237869.7605730525,240256.95939397562,242158.58364082122,243583.63392738797,244547.94558583526
ERCOT_South,1554793.0624080377,1581263.3646326882,1605676.3895279174,1629165.6300486934,1651226.4096489532,1672618.1285653936,1693587.0739180269,1714893.680425629,1737370.6787780535,1762456.6708373374,1789745.5451526307,1820987.724035964,1855968.4153280351,1896505.006171862,1941833.1861153787,1991609.0957706529,2046198.2168584995,2103909.524108095,2165074.1123105083,2227926.375543704,2291741.867600281,2355612.6544857253,2418748.6498161196,2467320.079750777,2513434.1276551257,2557037.847191119,2597313.8127542497,2633785.66651166,2665501.6675302726,2692251.9464331795,2713561.0131626865,2729529.726066787,2740335.5314260633
ERCOT_West,1079020.418889164,1097390.7070549272,1114333.2526487464,1130634.6954316602,1145944.791817366,1160790.56265598,1175342.9302636792,1190129.6334171733,1205728.5840196677,1223138.166242871,1242076.5402983208,1263758.492553429,1288034.9580738915,1316167.196562852,1347624.7794995718,1382169.0697883638,1420053.7103409604,1460105.1361086147,1502553.1256057734,1546172.3550979462,1590460.0616972155,1634786.1426955275,1678602.281174352,1712310.6671591527,1744313.6394449696,1774574.4534763778,1802525.8190206687,1827837.1455698335,1849847.9285685623,1868412.5194746421,1883200.930012697,1894283.1554891965,1901782.3429419263
ERCOT_WZ_Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_FarWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_NorthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_SouthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
