,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,417861.93476383114,424930.90844912844,431381.96022572485,437483.124519444,443047.46813074045,448208.5727271265,452936.1118178716,457305.33158552746,461374.18960420176,465325.68570034055,468835.41383292584,472147.5028449009,475071.77669657464,477943.698465274,480579.9559401933,483002.33858636266,485556.7519562365,488168.58499020076,491353.89609791414,495018.28255982546,499303.17310576764,504268.1565740247,510062.0914791372,514086.6793150094,518932.3495852253,524725.1575385642,531385.4138108038,538898.4662980528,547020.2304312586,555769.5794272207,564966.7683688721,574510.3793324487,584278.1005792896
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,805097.2503970104,818717.0870073452,831146.3695416393,842901.521634806,853622.3779010052,863566.3109895987,872674.8906577957,881093.0942046397,888932.5888572023,896545.9615463272,903308.1770871673,909689.6000758833,915323.8171258786,920857.1670842613,925936.4611472529,930603.6812158688,935525.2857205363,940557.5210576201,946694.6802509514,953754.8769796728,962010.6028780846,971576.6681403335,982739.8794142241,990494.0784236966,999830.2621875664,1010991.3021562991,1023823.6603244346,1038299.1063901101,1053947.3610599511,1070804.7874809392,1088525.0699768558,1106912.805988218,1125732.3367093415
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,3930978.1713438197,3997478.5604410293,4058165.9349211715,4115561.791454376,4167907.58190362,4216459.957271053,4260933.625303048,4302036.454021262,4340313.671262276,4377486.822501455,4410504.102920505,4441662.1207356015,4469171.821241003,4496189.026789877,4520989.253194339,4543777.48182329,4567807.771165721,4592378.228030883,4622343.600302557,4656815.807495305,4697125.320761251,4743832.713828371,4798338.3525175145,4836199.104156477,4881784.074868187,4936279.111914892,4998934.54865987,5069612.547468804,5146016.916625997,5228325.203299763,5314846.482123091,5404626.6780502945,5496515.160371145
ERCOT_LCRA,623177.6019264528,633719.9023917359,643340.6661933367,652439.6259625917,660737.9992277765,668435.0027547553,675485.4091892376,682001.4367825055,688069.5204525095,693962.576642481,699196.8030199434,704136.2806706562,708497.3909194092,712780.4259887557,716712.0035616432,720324.6193153162,724134.138837755,728029.2910670626,732779.6987312984,738244.5745141483,744634.8378829492,752039.3565383793,760680.130343073,766682.1917601263,773908.7729045087,782547.8660318176,792480.6265602341,803685.203102478,815797.5806005718,828845.9055905063,842562.1158319637,856794.9618971647,871362.0344072096
ERCOT_North,4480057.19815169,4555846.361527531,4625010.548410753,4690423.458123696,4750080.908527423,4805415.079634731,4856100.829570308,4902944.901360327,4946568.680265007,4988934.177229884,5026563.311342881,5062073.481053372,5093425.7364962185,5124216.70528753,5152481.027289889,5178452.315669584,5205839.1558019025,5233841.614055956,5267992.549494784,5307279.834551686,5353219.780587906,5406451.262269148,5468570.248512634,5511719.389900408,5563671.669272828,5625778.573036469,5697185.721119594,5777736.022727265,5864812.554087374,5958617.662156515,6057224.233114203,6159544.926713383,6264268.392147442
ERCOT_RAYBURN,138749.9614053206,141097.19560975843,143239.25046223588,145265.12609208832,147112.75181982943,148826.48308841724,150396.25006600464,151847.03805050062,153198.091702645,154510.17563568475,155675.5716730496,156775.34215786838,157746.3396340746,158699.9537381957,159575.31613057604,160379.6619460303,161227.84821761196,162095.1005383205,163152.77475195512,164369.52468265107,165792.31136986514,167440.92113133593,169364.7820470799,170701.13590093167,172310.12802737494,174233.61474173306,176445.1353992562,178939.8248072089,181636.6353234918,184541.8337503299,187595.7362586137,190764.66729228644,194008.01355875863
ERCOT_South,1554793.0624080377,1581095.5090533802,1605098.7735602467,1627800.1663584383,1648504.1408628114,1667707.7316980436,1685298.0991592666,1701555.221471034,1716694.748891577,1731397.5925949197,1744456.6929759248,1756780.4118636171,1767661.136617197,1778347.0681899688,1788156.1330789316,1797169.406170893,1806673.94308988,1816392.1287955747,1828244.1287023935,1841878.6863755677,1857822.0340216602,1876295.8915549617,1897854.1361450173,1912828.9417582697,1930858.85521068,1952412.9066052006,1977194.5853953266,2005149.3735989574,2035369.0741226713,2067923.9109904924,2102145.083991612,2137655.2343116608,2173999.2608110053
ERCOT_West,1079020.418889164,1097274.2159270227,1113932.389383748,1129687.0688705053,1144055.5477263213,1157382.766073383,1169590.4135895264,1180872.7940881937,1191379.5680210525,1201583.285129921,1210646.2506808501,1219198.8642974012,1226750.0455222789,1234166.0410271825,1240973.4944184439,1247228.6713563884,1253824.7835050938,1260569.1670919105,1268794.4095459278,1278256.7402493407,1289321.3623341203,1302142.1485699485,1317103.4875870196,1327495.9452177284,1340008.6359650255,1354967.0649204866,1372165.4549026773,1391565.97064123,1412538.3268384596,1435131.2586975587,1458880.6214387054,1483524.5294928183,1508747.144415414
ERCOT_WZ_Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_FarWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_NorthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_SouthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC,8280002.220151539,8420075.083791379,8547903.724279344,8668799.28737019,8779057.661302386,8881325.788550356,8975002.7447664,9061579.545299731,9142204.628910532,9220504.166932441,9290050.000884412,9355679.58350718,9413624.545634145,9470532.142719703,9522770.013483308,9570769.919719502,9621386.036226248,9673139.932718668,9736257.390542736,9808867.80445198,9893773.607737362,9992155.562924113,10106963.325695945,10186711.188432116,10282728.933188375,10397514.365227466,10529488.426832506,10678360.784181103,10839294.861826865,11012664.635631198,11194908.430819357,11384016.634732064,11577565.62036861
isoNE_Boston,714783.4236775389,746389.6598402561,777417.0909751233,808120.7668981113,837483.1638949371,865678.7502542767,892304.0647356482,917252.0381297235,940830.5059530868,963959.983100139,986234.9665157163,1009125.0693408744,1033388.9254364206,1059691.6796618449,1088135.1983542226,1118898.1012229475,1151905.713729031,1188896.5835654193,1230027.3821904839,1276848.709954326,1330865.8323095527,1392081.4085053685,1462420.2560081168,1529124.0960086337,1605309.583953896,1691806.737240001,1787724.481920226,1892695.3995133801,2005838.423295485,2125548.1838997514,2250655.004713941,2380303.4014910916,2513084.115352804
