,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,417861.93476383114,421238.8576878053,424468.36491944717,427557.1287225363,430507.99684183055,433339.5464060674,436057.0049355281,438650.0696723969,441128.6948482828,443500.63583315455,445751.3940022125,447879.84578861005,449896.92334243463,451838.17288324784,453688.5680752505,455436.32846763375,457059.5041617538,458514.91360823,459773.0954596583,460781.9388242187,461507.55387664726,461930.9965191903,462051.48490159854,461913.067937094,461541.3371909558,460989.95539511746,460309.3433814986,459530.1879524954,458675.3385087952,457772.81417242566,456830.7237222363,455851.2124123453,454844.3100524664
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,805097.2503970104,811603.5892967976,817825.9014435158,823777.0423302738,829462.4987250294,834918.0633000089,840153.8079518237,845149.8822913887,849925.4652001271,854495.4989987394,858832.0490945056,862932.9507040285,866819.2668704902,870559.4847214569,874124.6529200658,877492.0739967328,880619.4569419773,883423.6035896543,885847.7505741286,887791.4955083206,889189.5426501046,890005.3922857144,890237.5380192961,889970.8491724313,889254.6331768944,888192.2823599927,886880.942859635,885379.7391333925,883732.6952670603,881993.7958814579,880178.6642124258,878291.433534734,876351.4283466211
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,3930978.1713438197,3962746.105190093,3993127.246365242,4022184.363264973,4049944.2456529583,4076581.655290149,4102145.769348252,4126539.666062663,4149856.9884860544,4172170.694185322,4193344.389359402,4213367.504209084,4232342.881419438,4250604.917118816,4268012.253138146,4284454.066521032,4299723.866641609,4313415.429065688,4325251.60025544,4334742.154226654,4341568.277150503,4345551.755055935,4346685.232795215,4345383.094407524,4341886.088992296,4336699.041254287,4330296.278173696,4322966.481586155,4314924.604058186,4306434.231592503,4297571.646401011,4288357.029664165,4278884.735425171
ERCOT_LCRA,623177.6019264528,628213.7695085566,633030.0889781826,637636.5110032333,642037.282562438,646260.1086214193,650312.7852326091,654179.9473977278,657876.4403411592,661413.830019161,664770.4939352046,667944.7564600095,670952.9212348232,673848.0000466048,676607.5833980297,679214.1025361823,681634.8225214538,683805.3446322767,685681.7317442151,687186.2683778319,688268.4130066546,688899.913386517,689079.6035065362,688873.1756296955,688318.7956882163,687496.4934953385,686481.46406288,685319.4720952493,684044.5940027178,682698.6160496484,681293.6312479611,679832.8389183064,678331.1969983309
ERCOT_North,4480057.19815169,4516262.476963948,4550887.255906249,4584003.070863744,4615640.453594268,4645998.576581355,4675133.486064005,4702934.722245635,4729509.008240419,4754939.492328116,4779070.729221674,4801890.672732343,4823516.530611332,4844329.407437847,4864168.200133912,4882906.605992696,4900309.291777936,4915913.291626902,4929402.739195896,4940218.933735753,4947998.529502372,4952538.419597414,4953830.221506115,4952346.200429811,4948360.73330189,4942449.158741332,4935152.057720429,4926798.435153306,4917633.268180752,4907956.960498061,4897856.449416413,4887354.735023527,4876559.350735268
ERCOT_RAYBURN,138749.9614053206,139871.25982087257,140943.6092417447,141969.22517565597,142949.05320879727,143889.26182812787,144791.58681807062,145652.60717486715,146475.62817506137,147263.22496894657,148010.58332611783,148717.33016914543,149387.09548984372,150031.6823173521,150646.1011962099,151226.44045856936,151765.4116980542,152248.6765942493,152666.45258388377,153001.43638176404,153242.37496014038,153382.97798095254,153422.98583287228,153377.02484220752,153253.5926212061,153070.5077395085,152844.51230234338,152585.79578210317,152301.9452624625,152002.26441953194,151689.4457520982,151364.20158617466,151029.86229381707
ERCOT_South,1554793.0624080377,1567358.0172356395,1579374.4633892984,1590867.227225694,1601846.9047178607,1612382.6181965917,1622493.8183741698,1632142.1704441835,1641364.7124064115,1650190.30067112,1658564.988325757,1666484.5947695249,1673989.7966702385,1681212.855454392,1688097.8606867178,1694600.9793169538,1700640.5395121495,1706055.870084491,1710737.3503800198,1714491.0846491186,1717190.974626253,1718766.532551446,1719214.8492931346,1718699.8233522032,1717316.67658267,1715265.078866807,1712732.637529301,1709833.5329333383,1706652.7838057117,1703294.6445254856,1699789.2864771548,1696144.691785778,1692398.1796643839
ERCOT_West,1079020.418889164,1087740.4493222842,1096079.8168405562,1104055.7508402457,1111675.6048859775,1118987.3496100693,1126004.4837322044,1132700.4030438408,1139100.8117746941,1145225.7361627535,1151037.737257727,1156533.913738703,1161742.495057051,1166755.2701352132,1171533.4373456666,1176046.5767197357,1180238.0083187637,1183996.226954973,1187245.1563151795,1189850.2334932114,1191723.9467766823,1192817.3779306603,1193128.5080290046,1192771.0820023783,1191811.1834520623,1190387.3825101324,1188629.87793999,1186617.910475526,1184410.4827868806,1182079.947013055,1179647.241979108,1177117.9072491985,1174517.842213959
