,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,2409756.187839029,2416052.6315825875,2422267.7123190183,2428446.931948641,2432873.437987855,2435709.837879189,2437074.7352730194,2437035.1072336473,2435629.5762209888,2432886.1776078544,2428830.7053053663,2423489.505039222,2416888.9362164726,2409052.927523762,2400513.765686382,2391275.735248093,2381334.5607860372,2370678.1593851675,2359289.370068193,2347149.855261454,2334243.9703376344,2320561.467963232,2306098.5105186915,2290857.1433663056,2275842.967396039,2261054.7022612616,2246493.0566560654,2232160.260641012,2218060.040332629,2204197.8190193023,2190580.841205542,2177218.054496302,2164119.298976807,2151293.126632882
isoNE_ConnCentral,1329851.8887515964,1333326.6542266456,1336756.5185829636,1340166.592571749,1342609.4112463214,1344174.7114089604,1344927.9458591084,1344906.0766661698,1344130.418082403,1342616.4417533095,1340378.3823477726,1337430.779059947,1333788.1786342,1329463.786393664,1324751.3509385327,1319653.2367439505,1314167.0843682499,1308286.2257146817,1302001.1902989808,1295301.858318534,1288179.5961043872,1280628.7485467494,1272647.1978107784,1264236.0726533688,1255950.3255836568,1247789.2500275117,1239753.2370859834,1231843.5174438467,1224062.1474017052,1216412.119864126,1208897.4327949097,1201523.0240335807,1194294.3239452462,1187216.0520424284
isoNE_ConnNorwalk,503954.79041380354,505271.57217087527,506571.3383985705,507863.6049561096,508789.3247175176,509382.50394452,509667.9463405248,509659.6588878867,509365.7187413777,508791.988967353,507943.86387297884,506826.8531669718,505446.4694192435,503807.71686064673,502021.91316159075,500089.9543531191,498010.9463116522,495782.36212473625,493400.6128995377,490861.86368041387,488162.8426903606,485301.40689398174,482276.75372595165,479089.31093499094,475949.3808696524,472856.6957697279,469811.4038451421,466813.9714707542,463865.1778931468,460966.15729019855,458118.42471259006,455323.8513821494,452584.4951660217,449902.1445498
isoNE_ConnSW,902418.2568533145,904776.1824459996,907103.6387889591,909417.6656747573,911075.327094621,912137.5171446324,912648.6511477901,912633.811029776,912107.4603338852,911080.0978949745,909561.3831534594,907561.1821961997,905089.3662335202,902154.8962066978,898957.105667072,895497.5991132762,891774.7754623212,887784.1098402002,883519.1757132708,878973.1059298518,874140.0418070672,869016.145869208,863599.9809841827,857892.3131100931,852269.7249928585,846731.7371614928,841278.6150115124,835911.1936678047,830630.8685062169,825439.6704684997,820340.3125150615,815336.1453923831,810430.8540676823,805627.641133894
isoNE_MaineBHE,153564.8003589182,153966.04930324302,154362.11328569945,154755.89197318067,155037.9767416024,155218.72995856637,155305.70979364336,155303.1844460644,155213.61518156936,155038.7885902084,154780.34842201395,154439.97359210928,154019.34388747936,153519.98419433716,152975.81516619757,152387.10984110087,151753.5957622481,151074.5029303975,150348.73774028532,149575.13160653668,148752.68755523255,147880.752561917,146959.08206936726,145987.80642091585,145031.00882161382,144088.60767973177,143160.64815770867,142247.2723690109,141348.71776518796,140465.3299522403,139597.5705954993,138746.0098925539,137911.27491544178,137093.91065041622
isoNE_MaineCentral,509184.3687326443,510514.8148371107,511828.06884071993,513133.7453495087,514069.0713773629,514668.4060716489,514956.8105257466,514948.4370735634,514651.44668713916,514071.76327432744,513214.83711944247,512086.2351058794,510691.52700791945,509035.7689857108,507231.43386184453,505279.4269655487,503178.84489485295,500927.13451533555,498520.6696919406,495955.57567339053,493228.54673119524,490337.4175915122,487281.3773607328,484060.85822635953,480888.34486088227,477763.56672552443,474686.67356819654,471658.1366033663,468678.7431639191,465749.63919718616,462872.35547564767,460048.7826389472,457280.99990887824,454570.814330289
isoNE_MaineSouth,369710.23186314973,370676.24646997673,371629.7781806576,372577.80799941276,373256.9325441946,373692.09941575356,373901.505053755,373895.42523053533,373679.78549104504,373258.88708544144,372636.6873737718,371817.2283767209,370804.55421399756,369602.3360787007,368292.23860131006,366874.9191261969,365349.72170833923,363714.7925596458,361967.49880425754,360105.02705024567,358124.9770635857,356025.77667524904,353806.83710898395,351468.4721688889,349164.9634126031,346896.1144064572,344662.0338798982,342463.0639738495,340299.77635751665,338173.0030840411,336083.85562165186,334033.70673209085,332024.06610343704,330056.24580065295
isoNE_MassCentral,688474.5361282342,690273.4489010203,692049.1160197967,693814.5375133106,695079.2035020925,695889.5714178655,696279.526677581,696268.2048284404,695866.6404225319,695082.8432495549,693924.1827069129,692398.1858470814,690512.3836313393,688273.6125568893,685833.9485300544,683194.615657776,680354.3924389819,677309.8267487743,674056.0156447148,670587.7200272706,666900.4701797168,662991.3384082834,658859.2282936075,654504.7242018017,650215.1293089067,645990.0778160677,641829.7721993024,637734.8495935706,633706.3745614864,629745.8965527306,625855.4853438671,622037.6972923405,618295.3437398722,614630.8680143411
isoNE_MassSE,1147314.0323914874,1150311.8453227726,1153270.9203434482,1156212.9214579477,1158320.434458178,1159670.878711926,1160320.7228499425,1160301.855461666,1159632.665166846,1158326.4999451623,1156395.6405893068,1153852.630617557,1150710.020062048,1146979.2016595644,1142913.6035503743,1138515.2656575216,1133782.1524005344,1128708.5109575887,1123286.1707800818,1117506.401127665,1111361.753404276,1104847.34873064,1097961.3599697258,1090704.760943231,1083556.3303831546,1076515.4587009987,1069582.4833145817,1062758.465982678,1056045.1807543803,1049445.2097228053,1042962.0020840686,1036599.8179009819,1030363.342156994,1024256.6465558704
isoNE_MassWest,840126.8185486106,842321.9830541075,844488.7815179813,846643.0775230074,848186.3151562494,849175.1851626275,849651.0369981412,849637.2212524608,849147.2030904596,848190.7566414394,846776.874581339,844914.7419683086,842613.5486303052,839881.6369595939,836904.5810633529,833683.8746861093,830218.0272632077,826502.8262601891,822532.2887492675,818300.0215992639,813800.57053599,809030.3629740793,803988.0609826973,798674.3776479745,793439.9012496215,788284.1854132094,783207.4772147351,778210.5541327236,773294.7152240832,768461.8512402684,763714.4878735287,759055.7445775752,754489.051956523,750017.391537167
isoNE_NewHampshire,922824.2966324537,925235.5410970423,927615.6273223852,929981.980415375,931677.1259005455,932763.3348489436,933286.0269303224,933270.851238381,932732.5983750012,931682.0045811874,930128.9477225961,928083.5169841455,925555.8067900739,922554.9807120044,919284.8797548296,915747.1446990982,911940.1382571423,907859.2332357053,903497.8577803911,898848.9894552375,893906.6370972076,888666.8764552182,883128.2378998577,877291.5047095467,871541.7751521752,865878.5589146633,860302.1273938142,854813.3345988761,849413.6074587977,844105.0228402411,838890.3550507533,833773.0306059669,828756.8177998579,823844.991644373
