,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,544641.8719818086,542982.5157481254,538381.5590248329,531230.7924146972,521825.0089579705,510400.5047673973,497098.02875207644,481970.0625384425,465020.57593537087,446257.583484294,425738.22026428906,403591.60982273537,380014.3367368484,360086.61932406033,344164.5645460232,332507.9094927024,325238.388689367,322325.307696789,323595.48610428825,328759.8044946859,337446.7219602385,349235.8900247866,363689.07536100084,378600.2714559091,393552.36734794104,408176.2230843376,422167.29645430465,435294.86880183587,447404.76563052053,458416.73800987215,468317.5490841842,477150.6841462703,485003.7932837004
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,1049364.9626914735,1046167.8704702775,1037303.17785545,1023525.7502960224,1005403.5674197086,983391.9024515223,957761.9372108262,928614.7883814427,895958.1046194091,859807.3275927351,820272.5398220796,777602.5244683577,732176.0422882201,693781.1822615656,663104.0579388794,640645.1064252434,626638.8744056241,621026.2227085178,623473.4835339607,633423.6086599398,650160.7478537622,672875.0130298913,700722.0572461612,729451.5537075374,758259.8520684562,786435.7280314814,813392.4181799385,838685.3954102253,862017.6107384193,883234.4480391765,902310.403778323,919329.2613464099,934459.8967252607
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,5123642.839519158,5108032.675992828,5064749.814018854,4997479.969330311,4908996.3665497005,4801521.928570679,4676380.731226142,4534066.488134744,4374616.544722654,4198106.296676351,4005073.2343245405,3796732.069522806,3574932.14440444,3387464.907890896,3237680.3868127107,3128022.0218042135,3059635.0135207428,3032230.6082842313,3044179.6354106525,3092762.244099324,3174483.2148133777,3285388.1775883064,3421354.5132038156,3561629.521480988,3702289.2889245963,3839861.182648647,3971480.2640614943,4094976.0794198555,4208898.253541051,4312491.855746378,4405632.36215244,4488728.854617628,4562605.8891789755
ERCOT_LCRA,812250.6202489729,809775.9424848141,802914.3144233605,792250.0322351332,778222.7349602204,761184.8223570925,741346.200043727,718785.1363939235,693507.5517746006,665525.3986568855,634923.8853323285,601895.5799578103,566733.6585687941,537014.4950939299,513269.16897340957,495885.03862251283,485043.65259404527,480699.2347944237,482593.5129474493,490295.309360017,503250.5272057768,520832.28058401955,542387.0110552483,564624.7950006367,586923.5747807022,608732.8342287462,629598.3948977288,649176.1749586816,667236.2465695157,683658.9306403276,698424.4864115273,711597.7655918726,723309.4849728121
ERCOT_North,5839313.26591396,5821522.674762813,5772194.062674181,5695527.966150823,5594684.973827578,5472198.506465532,5329577.586808514,5167384.890392912,4985662.979053982,4784497.779747609,4564501.859451043,4327059.60097057,4074278.6625467,3860626.002635592,3689919.579811924,3564944.1344952392,3487004.828967199,3455772.57643629,3469390.643659068,3524759.2710778937,3617895.0268946905,3744291.1947525023,3899249.3079827093,4059117.9292673953,4219425.052878478,4376212.988572127,4526216.6231372515,4666962.333854008,4796797.157135735,4914860.71358733,5021011.0858294945,5115714.496274168,5199910.674944759
ERCOT_RAYBURN,180846.9076272954,180295.92273437534,178768.18710048663,176393.79376950389,173270.62799862496,169477.15129342364,165060.09896066177,160036.8973869912,154408.8647370554,148178.66221835357,141365.26138430403,134011.53737074684,126182.76557185489,119565.81917906321,114278.94257664036,110408.38078527377,107994.55543535757,107027.27451870931,107449.03393337816,109163.83233385331,112048.30053447523,115962.86292427845,120762.00527429194,125713.22889758035,130678.0331914211,135533.84620097125,140179.54548247944,144538.521510279,148559.58104649177,152216.07764385483,155503.61603908718,158436.63540981573,161044.23973813542
ERCOT_South,2026519.6075656987,2020345.4257473613,2003226.049707862,1976619.2655253743,1941621.9478747575,1899113.3143305369,1849617.0676021536,1793328.4828795588,1730262.3311451876,1660448.4331421629,1584099.3787648464,1501695.6147324936,1413968.598762123,1339820.9576266787,1280577.7046556605,1237205.2773058708,1210156.6290042617,1199317.5509722966,1204043.6684089485,1223259.2172241202,1255581.7570046005,1299447.2426911143,1353225.0827404698,1408707.1027853738,1464341.3040067172,1518754.1795357028,1570812.5796949833,1619658.039676249,1664716.9024471724,1705690.57541052,1742529.8064815516,1775396.3970256425,1804616.4780844986
ERCOT_West,1406396.8310072003,1402111.9725183141,1390231.191241446,1371766.185120685,1347478.1809711943,1317977.352415752,1283627.147125033,1244563.0853315075,1200795.4180403023,1152344.84073271,1099358.8899796165,1042170.9939605008,981288.7815240502,929830.6031130296,888716.0128934544,858615.714751702,839844.0566278967,832321.7780680032,835601.6854328568,848937.2025721082,871368.9211440184,901811.3998793765,939133.014504501,977637.3235068512,1016247.2456616643,1054009.5724727428,1090137.9024123994,1124036.4641979726,1155307.1420504001,1183742.7138530328,1209308.9988480625,1232118.2865621576,1252396.9106867537
