,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,1668311.3618898017,1651509.901601943,1628910.6099252894,1601898.151300711,1572157.6748682226,1541027.7427849933,1509567.6712136434,1478515.5262878763,1448337.4957835334,1419077.320126719,1390970.9559144878,1364248.3554540458,1339169.0574348108,1316022.0291368067,1296312.7700799787,1279919.0647367206,1266678.8223636074,1256403.0528527591,1248881.0651899881,1243872.5787865806,1241096.3802694045,1240228.5791083863,1240915.066312726,1242793.4052799891,1245680.819744869,1249263.9029701815,1253293.0943053765,1257591.2500982361,1262053.0093361326,1266636.4334271718,1271349.0566925278,1276230.8948099117,1281336.927893078,1286721.176764902
isoNE_ConnCentral,920676.9659234517,911404.8852829491,898933.2041758256,884026.065726299,867613.4390233525,850434.0251114763,833072.4198957479,815935.9337285098,799281.837738412,783134.270586686,767623.4476568798,752876.2707955802,739035.969437395,726262.0135258256,715385.2304243278,706338.1740771381,699031.3928283665,693360.5902960023,689209.4942013088,686445.5029158123,684913.4255794212,684434.5194482264,684813.3653704415,685849.9485052566,687443.4016517231,689420.7676685768,691644.3236176358,694016.3107207826,696478.584281741,699008.0000023762,701608.7157851743,704302.8147457851,707120.6382973727,710091.9984573085
isoNE_ConnNorwalk,348895.6712587988,345381.964585591,340655.75146997225,335006.60821082845,328786.9517812782,322276.7170621932,315697.4399323518,309203.4729215243,302892.31035882724,296773.09972456616,290895.18686460546,285306.6619414967,280061.8025483384,275221.04070965474,271099.2230887185,267670.7906265216,264901.8451191531,262752.86287094315,261179.78185336254,260132.3519397234,259551.76268802598,259370.27853853867,259513.84431375307,259906.66327417328,260510.51123141882,261259.84511214923,262102.47404079878,263001.3517831561,263934.44408226846,264892.98027727194,265878.53602850396,266899.4798558073,267967.30980692804,269093.32331212383
isoNE_ConnSW,624758.0724900048,618466.172677868,610003.0702678049,599887.3017314145,588749.9306414947,577092.228842334,565310.894659577,553682.3230070248,542381.0943514333,531423.5888391753,520898.16874610307,510890.94782981405,501499.11951297574,492830.8977926901,485450.0701007886,479310.8685193637,474352.5924485489,470504.4678720448,467687.594103252,465811.98959502584,464772.3440743745,464447.36530059914,464704.44466382224,465407.8549860661,466489.14924370084,467830.96122230036,469339.83412802615,470949.4302680217,472620.2934923932,474336.7184151835,476101.5265288802,477929.7031163549,479841.83742172556,481858.1594487822
isoNE_MaineBHE,106315.2789141156,105244.58433187363,103804.41551641747,102083.01198322153,100187.76202018281,98203.96721568241,96199.13384933922,94220.29613110606,92297.16247426065,90432.52029349504,88641.40622525528,86938.47427492427,85340.26387799639,83865.18984460515,82609.19206044833,81564.48218445132,80720.73077632477,80065.89419931706,79586.54589861966,79267.37368587835,79090.45687861032,79035.15513783025,79078.90241442838,79198.60197157436,79382.6061575955,79610.94272663983,79867.70810652332,80141.61359105863,80425.9449147315,80718.0294870433,81018.34744226356,81329.448830721,81654.83733060307,81997.95548805693
isoNE_MaineCentral,352516.18895732926,348966.02027485694,344190.7628756838,338482.9980146225,332198.79972331534,325621.0077888112,318973.4569850484,312412.1015700841,306035.4475793217,299852.73741718614,293913.828995248,288267.3115114412,282968.0258016974,278077.0309983911,273912.44095327175,270448.4313789748,267650.7523072731,265479.4699020122,263890.0648995429,262831.76572367805,262245.1516518567,262061.78422714034,262206.8397956451,262603.73506917455,263213.84920395265,263970.9589810348,264822.3319360532,265730.5374031234,266673.31247408304,267641.7954742337,268637.5784146634,269669.1166560006,270748.0275621332,271885.7257976372
isoNE_MaineSouth,255956.09362344636,253378.37567421506,249911.14135072482,245766.82899593745,241203.97799339014,236427.9535696514,231601.27840069775,226837.18825818063,222207.206722605,217718.04454884242,213405.90273044026,209306.0610692488,205458.33857663794,201907.06926475285,198883.23026704692,196368.07100150012,194336.72314050441,192760.19139525975,191606.15107495306,190837.73778947964,190411.80714858614,190278.66713630178,190383.98955222438,190672.16855498363,191115.16219752847,191664.88691104946,192283.05453741492,192942.48729778352,193627.0204678548,194330.2197342274,195053.2410294568,195802.2236491113,196585.60276630375,197411.6663775756
isoNE_MassCentral,476641.5360985347,471841.3087409556,465384.6236487333,457667.0835859284,449170.1406921114,440276.2261712718,431287.9898131905,422416.299315437,413794.3459171669,405434.6263886859,397404.55423411663,389769.827514049,382604.59720678773,375991.4221268199,370360.4279809975,365676.6974282631,361893.9206593697,358958.1026363496,356809.0483075245,355378.1087914472,354584.9405879756,354337.0072058357,354533.13864931994,355069.7856992182,355894.72863093484,356918.42620411876,358069.5781959549,359297.5741362203,360572.3120690987,361881.81001369655,363228.2205480638,364622.9762707716,366081.7851644385,367620.0811394152
isoNE_MassSE,794303.1936400124,786303.8154248183,775544.0196439911,762683.061765441,748523.2616523842,733701.9249185168,718723.4047860637,703939.1034575815,689570.9785649881,675639.8554535634,662258.0759096685,649535.1230047315,637594.5662441741,626573.986440921,617190.1701037936,609384.9289436586,603081.0895994137,598188.6715975787,594607.3624010198,592222.7615187103,590900.9798664689,590487.8092501276,590814.6541013086,591708.9539751315,593083.6868836328,594789.6360930896,596707.9827629263,598754.3866603158,600878.6841343194,603060.9077146918,605304.6445827632,607628.9466861063,610059.9907210736,612623.4966540417
isoNE_MassWest,581632.7493570503,575775.1620003526,567896.244160625,558478.739169884,548110.1500265347,537257.1471647926,526289.0459212177,515463.1624325691,504942.0263584619,494740.8871690332,484942.0077364357,475625.5576235679,466882.021259739,458812.14292889606,451940.79337456124,446225.3639117136,441609.3439351402,438026.8447632927,435404.41200591373,433658.2752933809,432690.3936298064,432387.8472426581,432627.1811279146,433282.0369795921,434288.6924829384,435537.8828889504,436942.6024679866,438441.0926347945,439996.6207884644,441594.5656424278,443237.55392934335,444939.53653942014,446719.68149815616,448596.8223880882
isoNE_NewHampshire,638885.48844458,632451.3123022851,623796.8369860078,613452.3244347634,602063.1082211774,590141.795258523,578094.0542603466,566202.530153193,554645.7511253128,543440.4677210792,532677.0403187796,522443.5299335601,512839.32778587705,503975.09487466596,496427.3673418758,490149.3423371311,485078.9466610572,481143.8059115237,478263.23525080486,476345.2184133577,475282.06378516165,474949.7363903509,475212.6289911415,475931.9452626587,477037.6904148389,478409.8442758233,479952.83674894704,481598.8300724123,483307.4758894598,485062.713674231,486867.42872054694,488736.94516776403,490692.31783672294,492754.2341845718
