,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,544641.8719818086,541993.6511561836,538895.8689456381,535882.3157968919,532987.4474590488,530455.8849194288,528458.7376249039,527051.5921289179,526308.29556673,526233.9869985104,526804.2795852704,527869.2186553137,529411.043171908,531420.960919604,533725.620046485,536132.181135374,538570.2564357463,540935.5681108275,543147.958331157,545086.1547454207,546693.4812024613,547989.5925651119,548988.978467386,548572.1902057091,548060.0670243019,547529.3028658013,547033.3773096872,546661.6853713403,546449.8188738696,546440.9508846145,546670.3748403556,547143.9810673344,547869.2668747377
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,1049364.9626914735,1044262.6187645023,1038294.1020546741,1032487.8700145339,1026910.3087552722,1022032.7310907549,1018184.8146817894,1015473.658494837,1014041.5442756145,1013898.3734840747,1014997.1598422574,1017048.9847293859,1020019.6278428974,1023892.1491653022,1028332.5505797141,1032969.2871531757,1037666.7423585657,1042224.003423793,1046486.6297484409,1050220.965121044,1053317.8112402896,1055815.0372555477,1057740.5604369335,1056937.5318393095,1055950.820844807,1054928.1941610444,1053972.6912343309,1053256.5500100127,1052848.3454803003,1052831.2594689366,1053273.2920652935,1054185.7921984466,1055583.2049817438
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,5123642.839519158,5098730.069552892,5069588.113236353,5041238.530131589,5014005.457917418,4990190.134589962,4971402.248528569,4958164.722521918,4951172.263248386,4950473.215703459,4955838.164083119,4965856.430620167,4980360.930825961,4999268.953153611,5020949.714109446,5043589.103633583,5066524.958729533,5088776.300116787,5109589.054136905,5127822.3679719,5142943.068593796,5155136.056397506,5164537.640604521,5160616.762863766,5155799.035093734,5150805.944918203,5146140.594060633,5142643.953724319,5140650.849046651,5140567.424668203,5142725.698698383,5147181.083564005,5154004.109160962
ERCOT_LCRA,812250.6202489729,808301.2011557564,803681.3295458923,799187.0727871979,794869.8163955873,791094.3754154013,788115.9335949006,786017.3898348766,784908.8759200923,784798.0559781613,785648.5607431249,787236.7556004584,789536.1526618004,792533.6396733574,795970.688680368,799559.7089846724,803195.7279483546,806723.2310178045,810022.6749664613,812913.200503768,815310.2837594554,817243.2369758396,818733.6692410571,818112.0928594475,817348.3389265588,816556.7848079244,815817.18717272,815262.8651071668,814946.8984089869,814933.6731500721,815275.8241302614,815982.1358763956,817063.7894862759
ERCOT_North,5839313.26591396,5810920.680265205,5777708.175521253,5745398.722678454,5714361.734966267,5687219.887301666,5665807.709335127,5650721.165709894,5642751.999732444,5641955.3092271825,5648069.633590829,5659487.251587157,5676017.740366325,5697566.835232667,5722275.964855838,5748077.624284716,5774217.159596165,5799576.568324812,5823296.447804406,5844076.590896553,5861309.350965293,5875205.455292504,5885920.252771593,5881451.706832164,5875961.03885232,5870270.513846362,5864953.50678595,5860968.455731164,5858696.954194232,5858601.87709869,5861061.61884312,5866139.331862049,5873915.397667159
ERCOT_RAYBURN,180846.9076272954,179967.5728356353,178938.96236313984,177938.31993008906,176977.0864777617,176136.48776453853,175473.34023425993,175006.10125646196,174759.29157906323,174734.61761353828,174923.98177384978,175277.59200386755,175789.5507978461,176456.938723665,177222.19475275956,178021.28706154242,178830.8435817388,179616.23913066465,180350.85751091441,180994.4305557456,181528.13909755426,181958.50948208425,182290.35295437355,182151.95950330567,181981.91034174428,181805.6714925442,181641.00071005322,181517.58137507737,181447.2316592944,181444.28706668018,181520.4666905134,181677.72639820073,181918.55565162844
ERCOT_South,2026519.6075656987,2016666.0290871197,2005139.709293168,1993926.7914869161,1983155.4796400806,1973735.96676706,1966304.9219654098,1961069.1733294537,1958303.4934671454,1958027.0039457665,1960148.965492559,1964111.4223239676,1969848.2886485017,1977326.8501305254,1985902.0940653794,1994856.4978384352,2003928.1606229143,2012729.0823554173,2020961.0094101084,2028172.7080305733,2034153.2959150483,2038975.905459266,2042694.4501225944,2041143.6520148062,2039238.128914215,2037263.245913977,2035417.9914172904,2034034.989044937,2033246.6699064388,2033213.673629381,2034067.3210785997,2035829.5291544227,2038528.1940669154
ERCOT_West,1406396.8310072003,1399558.4853555632,1391559.2636500983,1383777.5417214367,1376302.2926339745,1369765.1868468951,1364608.0702707237,1360974.480809231,1359055.1095979142,1358863.2269310888,1360335.8601016668,1363085.7899369816,1367067.1531513396,1372257.2461213479,1378208.4325051694,1384422.7543617005,1390718.4535221853,1396826.2594315507,1402539.1852179964,1407544.0763861528,1411694.5814278428,1415041.4539450647,1417622.1096717298,1416545.8617360168,1415223.4360165333,1413852.8747928592,1412572.2752532084,1411612.4769139811,1411065.386456989,1411042.4871673323,1411634.9152212706,1412857.8808635275,1414730.7439568383
ERCOT_WZ_Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_FarWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_NorthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_SouthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC,10792167.30221105,10739692.37570687,10678309.317220433,10618595.271296954,10561232.984210586,10511069.66062297,10471495.862062013,10443613.045127694,10428884.502819512,10427412.06645083,10438712.506839538,10459814.447769543,10490365.95140842,10530192.798576614,10575859.99412543,10623546.393630072,10671857.25236237,10718726.28802146,10762565.160175547,10800970.837453289,10832820.272698753,10858502.93021666,10878305.924462343,10870047.197249087,10859899.393091144,10849382.214939356,10839555.369361818,10832190.233132161,10827992.064015787,10827816.343365947,10832362.416374406,10841747.00081395,10856118.657085866
isoNE_Boston,1438045.4039219643,1451613.950633172,1461297.4712597379,1468190.0449438072,1471903.7527004965,1473052.1103517425,1472253.203896702,1470290.9028550377,1468390.0263150726,1467448.0983429004,1468328.194855353,1471611.3570782812,1477809.6428398888,1487296.1586259892,1499613.1289819477,1514074.7303554178,1530313.0055132087,1547652.6377921249,1565455.6127351841,1583306.8905334834,1600732.3576609557,1617592.4236519532,1633667.8314749084,1635704.5969164064,1637007.78321819,1637726.7855912757,1637894.979349645,1637641.5185219883,1636949.687210984,1636035.127685937,1634985.2538757604,1633774.5481153857,1632483.7087832144
isoNE_ConnCentral,793602.0275275763,801089.9873313833,806433.9504509685,810237.6971446697,812287.1498235043,812920.8843063447,812479.9985173453,811397.079938393,810348.0591828023,809828.2453115141,810313.9367749391,812125.7879096193,815546.3837643757,820781.6274788574,827578.8903613972,835559.6927338265,844520.9731312518,854090.0502240898,863914.8283377029,873766.262941959,883382.7089910627,892687.1318682631,901558.5320388257,902682.5446600979,903401.7231286784,903798.5129237163,903891.3325991561,903751.4573030224,903369.6621735902,902864.9518971324,902285.5668637169,901617.4248540474,900905.0602037869
isoNE_ConnNorwalk,300739.91460062074,303577.5187319327,305602.6433617422,307044.09438649577,307820.745909843,308060.9031267325,307893.8269979764,307483.44896256714,307085.9166963839,306888.9303306278,307072.9858196084,307759.59691258956,309055.8507899235,311039.775594793,313615.636275469,316640.005846961,320035.93303458433,323662.18816988496,327385.3426331658,331118.59872225084,334762.804587726,338288.76753191726,341650.6341062692,342076.58495821524,342349.1216500598,342499.4873559614,342534.66188966564,342481.65536604944,342336.971972311,342145.70919805527,341926.14800815616,341672.9518670688,341402.9973096803
isoNE_ConnSW,538526.8572946046,543608.0785123168,547234.4145906839,549815.5820799927,551206.3110247576,551636.3540785367,551337.1753590527,550602.3224746087,549890.4721628032,549537.7339882863,549867.3171903705,551096.813163919,553417.9800357777,556970.5406983489,561583.0649754648,566998.7220318151,573079.7172943852,579573.1546033476,586240.1069265725,592925.1479587905,599450.7291563349,605764.5759424996,611784.5797831398,612547.3184903215,613035.34259697,613304.5984127523,613367.5845019706,613272.6671491575,613013.5864965738,612671.0974030519,612277.9350995471,611824.543595729,611341.1432476381
isoNE_MaineBHE,91641.28573454167,92505.95875722443,93123.05351531428,93562.29160383742,93798.95238849497,93872.13295105321,93821.22161367687,93696.17146577062,93575.03567292992,93515.0101061406,93571.09538394315,93780.31910286304,94175.31280403177,94779.85317626779,95564.7678922398,96486.35196742324,97521.15685572005,98626.14713757786,99760.66452432534,100898.26007240679,102008.72028995721,103083.14959571512,104107.57555444005,104237.37104162667,104320.41825830106,104366.23760568468,104376.9559684203,104360.8038524534,104316.71601581144,104258.43453837858,104191.52998476628,104114.3762090758,104032.11581885844
isoNE_MaineCentral,303860.7162418037,306727.7664133654,308773.90592002193,310230.31499492226,311015.0258919376,311257.6752390706,311088.86534824467,310674.22878783016,310272.5712981947,310073.5407894974,310259.5062366985,310953.24234675185,312262.94755206513,314267.45969997236,316870.0502886167,319925.8039799546,323356.9709698987,327020.85603866726,330782.6459673296,334554.6423471581,338236.66442223376,341799.2165599732,345195.969486995,345626.34046428284,345901.70529071783,346053.63135332294,346089.17089591746,346035.61431945546,345889.4295348117,345696.182011772,345474.34241821413,345218.5188409459,344945.76294397836
isoNE_MaineSouth,220628.17076548203,222709.88781883466,224195.55540386523,225253.02961131037,225822.79503518456,225998.97865726487,225876.40862622997,225575.34797255878,225283.7112045404,225139.19848962442,225274.2248824698,225777.93503904447,226728.89002679076,228184.33268466304,230074.03006945804,232292.7615842395,234784.07440000947,237444.35991047384,240175.73249798638,242914.5158185434,245587.97030515637,248174.6796736047,250641.00501536025,250953.49016528,251153.42794829092,251263.7389147717,251289.5435807037,251250.65704859974,251144.51472777393,251004.20094177173,250843.12693281335,250657.37772314434,250459.33424007188
isoNE_MassCentral,410853.86454982276,414730.43884811725,417497.04959700047,419466.27847327304,420527.29586499324,420855.38507386873,420627.1351148813,420066.49984969484,419523.41374799964,419254.30211464013,419505.74831538723,420443.75756290834,422214.6263072438,424924.952185135,428443.9473827065,432575.67006382963,437214.99374860787,442168.978450507,447255.3415346565,452355.50488873484,457334.0128630884,462150.9840449957,466743.77604604297,467325.68601254246,467698.01022904913,467903.43135330355,467951.4848121379,467879.070297081,467681.41202637035,467420.1196400509,467120.167558549,466774.2653087827,466405.46865835076
isoNE_MassSE,684670.7892947908,691130.938300524,695741.3794538154,699023.0170514002,700791.1581782714,701337.905128908,700957.5361143737,700023.260882614,699118.2305981596,698669.7673115296,699088.7918932243,700651.9450902127,703603.0238204814,708119.6685892853,713983.9269724598,720869.2700915547,728600.509062695,736856.1174642857,745332.328905744,753831.5379201106,762128.0133300375,770155.2944284894,777808.9902939752,778778.7189260724,779399.1816676569,779741.5073834809,779821.5864637265,779700.9107017138,779371.52145679,778936.0886184642,778436.231014307,777859.7993757103,777245.2151755173
isoNE_MassWest,501353.83663391386,506084.31519367115,509460.3353144628,511863.33194542147,513158.06271461374,513558.4210848779,513279.8938455753,512595.7658248702,511933.0525727853,511604.6629396115,511911.49592410744,513056.1231884952,515217.06632607646,518524.40354413533,522818.53801779274,527860.3672345099,533521.6081998316,539566.8214769276,545773.5725063857,551997.1636312462,558072.3019931295,563950.3213848915,569554.7809975804,570264.8699597463,570719.2071110394,570969.8769419864,571028.5152755373,570940.1498052707,570698.9527741274,570380.1047562122,570014.0813599564,569591.9862186327,569141.9536606222
