,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,544641.8719818086,541990.1185566097,538886.5573211625,535863.4568350419,532955.3569433697,530407.6640022382,528393.3946153533,526971.6735872995,526221.3514958712,526156.3754491322,526770.5445106575,527942.9511521667,529698.3711734376,532019.1466776488,534762.6611830562,537781.645463574,541055.3657317113,544508.5606240163,548068.2159848067,551598.0393335948,555023.4310328743,558320.568238865,561463.7087486268,563256.2105942618,564927.8598765982,566480.2136158892,567900.6537458771,569207.1679146369,570386.709555609,571431.8754068622,572353.4902075042,573141.0567906479,573800.6781132204
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,1049364.9626914735,1044255.8124824098,1038276.1612885066,1032451.5343326553,1026848.4797543806,1021939.8235425623,1018058.9178892241,1015319.6789318288,1013874.0285806847,1013748.8388177049,1014932.1622591963,1017191.045600556,1020573.2245329722,1025044.6774742055,1030330.6243407854,1036147.3205770921,1042454.8182627476,1049108.1108495705,1055966.5214988992,1062767.4546207513,1069367.1786185384,1075719.7938674602,1081775.7027012021,1085229.3274207353,1088450.1047370462,1091441.034570971,1094177.805613907,1096695.0747819345,1098967.7051721902,1100981.4328727727,1102757.1139774453,1104274.523527927,1105545.42013019
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,5123642.839519158,5098696.837112563,5069500.515421124,5041061.117064737,5013703.57084385,4989736.503002327,4970787.543232814,4957412.899930648,4950354.348965605,4949743.095821583,4955520.806049569,4966550.058853646,4983063.929132487,5004896.302671847,5030705.5347083025,5059106.21043162,5089903.279612872,5122388.731418189,5155875.695308983,5189082.0186861735,5221305.915810902,5252323.276585819,5281891.934808597,5298754.647204898,5314480.455880727,5329084.008288068,5342446.60171941,5354737.452478164,5365833.82679968,5375666.079524573,5384336.042884022,5391744.96623706,5397950.26230417
ERCOT_LCRA,812250.6202489729,808295.9328200984,803667.4426724352,799158.9475102995,794821.9582660432,791022.4612422317,788018.4844218444,785898.2034697838,784779.2120453243,784682.3101415595,785598.2500037416,787346.7164194522,789964.6587305829,793425.7428662828,797517.2780076606,802019.6344743965,806901.8909719377,812051.8066089951,817360.4918633141,822624.6872032534,827733.1386012546,832650.3179045406,837337.8345277004,840011.078747093,842504.0897259879,844819.1895235792,846937.5602107449,848886.027632241,850645.1348158346,852203.8409209206,853578.2894015859,854752.8253279516,855736.5503332278
ERCOT_North,5839313.26591396,5810882.805917646,5777608.342043285,5745196.528554614,5714017.680306582,5686702.892454351,5665107.142004313,5649864.328539872,5641819.839183511,5641123.206200981,5647707.946987488,5660277.765811552,5679098.293473443,5703980.212925646,5733394.4784656055,5765762.160543861,5800860.964315716,5837883.983994777,5876048.406966354,5913892.989557683,5950617.920598647,5985967.7862937385,6019666.594665741,6038884.69071169,6056807.080326693,6073450.456918817,6088679.53738649,6102687.174166202,6115333.49004119,6126539.111816277,6136420.095648587,6144863.897407725,6151935.949222915
ERCOT_RAYBURN,180846.9076272954,179966.39984519576,178935.8704626122,177932.0578611827,176966.43090604883,176120.47613523586,175451.64325901767,174979.56451395783,174730.4220279688,174708.84690176733,174912.78013064864,175302.07468640353,175884.95730848084,176655.56473847255,177566.5415470095,178568.98737314547,179656.01761702876,180802.6419399721,181984.61618274453,183156.6847840369,184294.0771295295,185388.88290631754,186432.55448331204,187027.75002808304,187582.81679562313,188098.27179043085,188569.92521664154,189003.7498257038,189395.41353934965,189742.4581238379,190048.4779054481,190309.9873273988,190529.01286055916
ERCOT_South,2026519.6075656987,2016652.8848860029,2005105.0623250436,1993856.6205031308,1983036.0762989384,1973556.54495025,1966061.7917602535,1960771.810052906,1957979.9893933292,1957738.2245942703,1960023.4430278298,1964385.7683819449,1970917.3871861952,1979552.5974151276,1989760.7474396906,2000993.8735618894,2013174.8288911683,2026023.5787174318,2039268.4498078038,2052402.3210644028,2065147.6199466279,2077415.705711796,2089110.7960088179,2095780.3899633905,2102000.3121212325,2107776.3558894135,2113061.5715933023,2117922.888206584,2122311.7616780126,2126200.6457313374,2129629.817376418,2132560.2184438137,2135014.556996407
ERCOT_West,1406396.8310072003,1399549.3633304278,1391535.2187871756,1383728.8433279668,1376219.4271734247,1369640.668794549,1364439.3388413424,1360768.1118364201,1358830.5990121125,1358662.815169323,1360248.7479928294,1363276.1850484319,1367809.1034338993,1373801.9061956943,1380886.3231395981,1388682.0695619786,1397135.6058168374,1406052.5888899826,1415244.478600329,1424359.3348519923,1433204.5233669614,1441718.5278099696,1449834.8755969186,1454463.5482072385,1458780.150316215,1462788.7025261226,1466456.6219429339,1469830.3570175502,1472876.2183646918,1475575.0889743473,1477954.9209367998,1479988.6080323402,1481691.9095694679
ERCOT_WZ_Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_FarWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_NorthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_SouthCen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC,10792167.30221105,10739622.376671588,10678124.805866526,10618221.57789969,10560597.105421532,10510114.155303676,10470201.07969698,10442029.446223415,10427161.69191034,10425874.18097312,10438044.040847654,10461275.469190376,10496059.402504703,10542045.946692325,10596409.132964917,10656230.797648057,10721100.097369391,10789525.7159677,10860060.866069317,10930004.889999678,10997879.583804825,11063212.893959478,11125494.734524315,11161013.450221336,11194137.452714847,11224897.594614478,11253043.846884476,11278932.637697894,11302305.447215777,11323015.578598516,11341277.52581262,11356883.285788415,11369953.78961032
isoNE_Boston,1438045.4039219643,1451598.247226003,1461243.697212113,1468062.9230298235,1471651.3421158558,1472599.332543747,1471493.4058399335,1469076.8498723728,1466522.7096916703,1464670.6134171577,1464321.5947439044,1466002.32631687,1470198.5001974863,1477223.8688319689,1486653.2169745583,1497881.0193304205,1510665.8032406862,1524496.604521095,1538915.4274424387,1553663.2564527509,1568429.8961983493,1583194.3219020637,1597835.219348123,1599382.8355172449,1600866.6969115292,1602407.2090026492,1603992.0334417233,1605669.05393804,1607310.899468174,1609048.5463052785,1610856.7467023896,1612597.6937936568,1614250.7917576602
isoNE_ConnCentral,793602.0275275763,801081.3212240862,806404.2746193798,810167.5434427034,812147.8541161545,812671.0136239138,812060.6951513193,810727.0907252977,809317.5588562294,808295.4580556423,808102.8480546065,809030.3792580006,811346.0864605919,815223.1175871812,820426.8126748423,826623.0055697188,833678.4367856022,841311.1248137607,849268.31940145,857407.0798135301,865556.2211479523,873704.140637693,881783.8896263742,882637.9595509397,883456.8456638972,884306.9951206594,885181.5988603565,886107.0820630792,887013.1535529277,887972.09410466,888969.9704564147,889930.7322916669,890843.0135675968
isoNE_ConnNorwalk,300739.91460062074,303574.23466223775,305591.3975398465,307017.5092498575,307767.9590246291,307966.21323798614,307734.92964878073,307229.55281343893,306695.4028500737,306308.07205098355,306235.08141681994,306586.57453959744,307464.12469974125,308933.3472690773,310905.3165458526,313253.3984022707,315927.093412786,318819.5431119292,321834.966381723,324919.19503334246,328007.3575933826,331095.0571285658,334156.9230721555,334480.57763359486,334790.8990933897,335113.06797168864,335444.5039368983,335795.22095839866,336138.5818030376,336501.9776735516,336880.1284826463,337244.21453870815,337589.92861641746
isoNE_ConnSW,538526.8572946046,543602.1978172509,547214.2770005963,549767.9767925349,551111.7869725102,551466.7954475452,551052.6421596322,550147.6774852637,549191.1895462513,548497.6067265434,548366.9043657335,548996.3136246322,550567.7190381379,553198.6162836252,556729.7685043523,560934.4153816601,565722.1289556605,570901.5606530821,576301.1978081686,581824.0429055357,587353.9323466554,592882.9926616469,598365.7934606313,598945.3529582538,599501.0372302146,600077.9363550909,600671.4298026626,601299.4493179276,601914.2963256054,602565.0195139843,603242.1639730948,603894.1230581274,604513.1839368222
isoNE_MaineBHE,91641.28573454167,92504.95803748397,93119.6266952361,93554.19059700501,93782.86720060979,93843.2791051568,93772.80250908466,93618.80438405134,93456.03852876787,93338.01132083856,93315.76965873591,93422.87643151314,93690.28298803537,94137.98360490549,94738.88089581773,95454.38698558258,96269.11371964792,97150.49925074371,98069.35721425923,99009.18151230451,99950.20454855551,100891.08649215088,101824.09643926745,101922.72026239228,102017.2812308104,102115.45233746308,102216.44730526047,102323.31758492376,102427.9462948022,102538.68006570438,102653.90995260853,102764.85403643538,102870.19982207837
isoNE_MaineCentral,303860.7162418037,306724.4482646221,308762.5433993518,310203.4539822395,310961.69123308273,311162.00274593465,310928.31910881505,310417.69793848286,309878.0050591248,309486.6548980052,309412.90683431586,309768.0474287497,310654.7039956159,312139.17280259135,314131.6053589531,316504.0534446457,319205.4935976305,322127.9584737751,325174.67302694154,328290.9069607682,331411.11562549113,334530.85646051203,337624.4956267368,337951.5087769017,338265.0504667824,338590.5625167567,338925.43781892816,339279.7942584211,339626.71818542946,339993.885043345,340375.95995299413,340743.824158567,341093.1257383294
isoNE_MaineSouth,220628.17076548203,222707.47856667265,224187.30526813946,225233.52628042112,225784.0696337339,225929.512464286,225759.83869390463,225389.0852244931,224997.22327464772,224713.07048502594,224659.52325262775,224917.38488306024,225561.17134833412,226639.01925671851,228085.69112572668,229808.28589827995,231769.75629418055,233891.7090353077,236103.8773834359,238366.52258812368,240632.0537782648,242897.2452851041,245143.48480791712,245380.9235727219,245608.58093611087,245844.9297772385,246088.07711877843,246345.3693874575,246597.26503345382,246863.8587321376,247141.27691719908,247408.3769483234,247661.9989681147
isoNE_MassCentral,410853.86454982276,414725.9523378135,417481.68619107537,419429.9593629816,420455.18140750105,420726.0251025562,420410.05854202114,419719.6412885286,418989.9158146446,418460.76638040115,418361.0507036116,418841.24073108955,420040.10013460513,422047.26892461145,424741.26183610293,427949.07848481694,431601.7294113047,435553.2306228652,439672.73137251957,443886.2301438947,448105.1031984922,452323.34369471425,456506.29179898545,456948.45035822794,457372.3939879877,457812.52289093897,458265.3119639757,458744.4417257774,459213.5218947412,459709.972783079,460226.5810341172,460723.97481492074,461196.2698378303
isoNE_MassSE,684670.7892947908,691123.461718664,695715.7769801171,698962.4927724403,700670.9824496463,701122.3321446823,700595.7870807108,699445.2355910481,698229.1785954054,697347.3731846291,697181.2011779294,697981.4177841066,699979.2668610719,703324.1297387943,707813.556301902,713159.2486424001,719246.2387102601,725831.2502845894,732696.2260658365,739717.8456206409,746748.4211937607,753777.9426347922,760748.6507800557,761485.4895343455,762191.9738701377,762925.4302870691,763679.9843481823,764478.4340659347,765260.136557352,766087.4512083576,766948.3572616135,767777.243203495,768564.3031146141
isoNE_MassWest,501353.83663391386,506078.84042673337,509441.5877665658,511819.01271939266,513070.0633964618,513400.5666175835,513015.0011865613,512172.50372266135,511282.03950268344,510636.33278820163,510514.65245014324,511100.6153273654,512563.5509679872,515012.844647491,518300.25118928094,522214.6629128097,526671.8938503491,531493.8036918206,536520.7188167848,541662.3371802771,546810.513635941,551957.918197762,557062.2564101206,557601.8105173204,558119.1374397031,558656.214812335,559208.7410474274,559793.4101111782,560365.8159291364,560971.6214941909,561602.0245426776,562208.9806938554,562785.3095109599
