,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,544641.8719818086,546549.9776305096,548419.9866018676,550430.2147775915,552645.2253081332,555105.0270283694,557824.928609626,560798.7548500636,564004.2857178326,567409.6964650782,570979.8190166004,574681.2242160584,578485.4954131112,582453.7059827915,586571.0378560418,590826.3622618292,595210.7521678625,599716.271947459,604335.153174562,609059.3555267506,613880.4530203758,618789.7715645216,623778.6977153172,628839.0724406067,633963.5813984724,639146.0586581253,644381.6494766625,649666.8136220805,654999.1921739046,660377.387027385,665800.7097831223,671268.9467913624,676782.1669960626
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,1049364.9626914735,1053041.3219944679,1056644.2801866494,1060517.399612712,1064785.0745057298,1069524.390142612,1074764.8418378779,1080494.5317908234,1086670.6485246012,1093231.8750948783,1100110.4529472382,1107241.9739133038,1114571.6874519219,1122217.2640236467,1130150.1535604727,1138348.9141883892,1146796.3461374391,1155477.1597851636,1164376.387655615,1173478.5384083888,1182767.3776471375,1192226.1929456613,1201838.388726809,1211588.2449313751,1221461.6689702128,1231446.7809052106,1241534.2270723055,1251717.1864839536,1261991.114193057,1272353.316462291,1282802.4669481507,1293338.1540102935,1303960.5104834812
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,5123642.839519158,5141593.078652332,5159184.928579461,5178095.871215711,5198933.275440571,5222073.5188167645,5247660.615545656,5275636.473272769,5305792.060131598,5337827.989222502,5371413.421757743,5406233.877587469,5442022.031016516,5479352.421346339,5518085.649648345,5558117.023553199,5599362.563243284,5641747.615411679,5685199.099668156,5729641.377795165,5774995.183520669,5821178.916537934,5868111.547068895,5915716.3201506445,5963924.427126484,6012677.862858062,6061930.957025135,6111650.405386347,6161814.016724648,6212408.638563588,6263427.794881346,6314869.475797496,6366734.329892755
ERCOT_LCRA,812250.6202489729,815096.2699802695,817885.1043042442,820883.0542720503,824186.4060153599,827854.8266339973,831911.1466858381,836346.1567953596,841126.7191603105,846205.3720034857,851529.6674828014,857049.7510895075,862723.2437061466,868641.2269944551,874781.6020553175,881127.7720172128,887666.4235675068,894385.7219244343,901274.0816605658,908319.5118563458,915509.4464370803,922830.9493137732,930271.1748432847,937817.955068522,945460.3817595732,953189.2593672792,960997.3477800422,968879.3672795946,976831.7998943721,984852.5605635132,992940.6226438838,1001095.6675093286,1009317.7979792871
ERCOT_North,5839313.26591396,5859770.7944302345,5879819.873936545,5901372.297020188,5925120.269845095,5951492.7423915565,5980653.8447644245,6012537.3702692175,6046905.089468534,6083415.797100907,6121692.442817083,6161376.619880208,6202163.6625423,6244708.361753838,6288851.847344023,6334474.80351349,6381481.52014378,6429786.916354144,6479307.703885522,6529957.67937422,6581646.504635402,6634281.181431579,6687769.361745373,6742023.569480738,6796965.384787879,6852528.700370783,6908661.466678922,6965325.727534544,7022496.192051422,7080157.870615214,7138303.382633373,7196930.437485381,7256039.774345707
ERCOT_RAYBURN,180846.9076272954,181480.4891122042,182101.42069514483,182768.9116977776,183504.4001451729,184321.1708662016,185224.3070650969,186211.75828225559,187276.14641427796,188406.90413696124,189592.3539830113,190821.39588858833,192084.59417934617,193402.22810956408,194769.37737820775,196182.34670599256,197638.1718952188,199134.21794182327,200667.90536027288,202236.5643825587,203837.39718287077,205467.5235520306,207124.08341855227,208804.3675971703,210505.94737980096,212226.77538526934,213965.239608905,215720.16452594005,217490.76686300704,219276.58238308405,221077.3825049532,222893.0962867727,224723.74662120323
ERCOT_South,2026519.6075656987,2033619.3435744802,2040577.3283379204,2048057.0448697435,2056298.7216522756,2065451.2247432403,2075571.515100295,2086636.6158495473,2098563.8500384167,2111234.803202551,2124518.6209261976,2138290.919014395,2152445.9639529563,2167210.9993644743,2182530.8897387413,2198364.226814905,2214677.7946268315,2231442.0660597347,2248628.13612387,2266206.08814945,2284144.5704869665,2302411.3083220436,2320974.2524976283,2339803.0446452354,2358870.469344833,2378153.5842185286,2397634.3255951502,2417299.52087461,2437140.3929157434,2457151.7396089896,2477330.9995374773,2497677.3777468726,2518191.1307658944
ERCOT_West,1406396.8310072003,1411324.0205524978,1416152.8352774896,1421343.7298476265,1427063.4219077798,1433415.2239307463,1440438.666602555,1448117.8040608976,1456395.258817951,1465188.8516898628,1474407.7702142464,1483965.6922371152,1493789.2391053692,1504036.117021054,1514668.0621516658,1525656.3373230738,1536977.8907822454,1548612.2308248272,1560539.2974988585,1572738.3287503095,1585187.566654732,1597864.6126148012,1610747.224638509,1623814.3341346255,1637047.0537060855,1650429.4614306723,1663949.0211899101,1677596.591249887,1691366.0803083167,1705253.8781211271,1719258.2070748382,1733378.5154741935,1747614.9813491385
