,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,2098696.1956012934,2091863.6867987495,2083030.4191931286,2072788.7602599538,2055238.7557460668,2031227.5224307177,2001441.1541793442,1966272.8984576985,1925824.6961681445,1880019.8393839612,1828773.0424260525,1772153.3439106145,1710484.9260085654,1644357.1228114115,1583409.0096823955,1528578.3829533379,1480593.2365457597,1439872.6772790079,1406493.0049194358,1380204.9645947348,1360484.9814092475,1346605.0306584085,1337709.8816084648,1332893.9308356035,1331271.3312459916,1332033.7276140524,1334490.6897694708,1338090.1422777714,1342419.3581625985,1347190.479929691,1352216.715836596,1357385.6710590145,1362634.9383326168,1367932.854217762
isoNE_ConnCentral,1158189.8258922966,1154419.2266998019,1149544.4855668754,1143892.507352247,1134207.3339026787,1120956.4564334909,1104518.5037982655,1085110.494169926,1062788.6848172517,1037510.7435816003,1009229.6045722389,977983.3675498854,943950.9362038304,907457.5413846683,873822.6185781615,843563.7015619717,817082.542221381,794610.4295133842,776189.4703485926,761682.1105360917,750799.4091998675,743139.5974666586,738230.706341286,735572.9680755874,734677.5176811354,735098.2549553707,736454.1580045936,738440.5576000345,740829.6855750161,743462.6844341751,746236.4709889481,749089.0188525433,751985.8878526483,754909.6041530203
isoNE_ConnNorwalk,438902.4942581233,437473.60466383025,435626.2943229233,433484.4456549108,429814.1951577065,424792.7012347612,418563.4474019199,411208.67390621844,402749.69975343207,393170.4829359383,382453.1875719366,370612.2517782503,357715.4721057608,343886.0965992571,331139.95500491007,319673.1696342793,309637.9866050399,301122.0541574459,294141.3289401222,288643.68402522133,284519.62365622696,281616.895277774,279756.64360675996,278749.47886759316,278410.1429462933,278569.58368300233,279083.41070597555,279836.1679116959,280741.5412830371,281739.33088611317,282790.4727716772,283871.46169450594,284969.2463592137,286077.2049580969
isoNE_ConnSW,785930.8639010388,783372.1898266064,780064.2610016029,776228.9103348411,769656.6917174081,760664.8379262715,749510.2810250192,736340.2864068669,721193.0294407079,704039.784135976,684848.6122599766,663645.3677592617,640551.4520897374,615787.5622025083,592963.3900783949,572430.1266533582,554460.394945849,539211.1442967418,526710.9478465472,516866.46331088146,509481.61959049554,504283.78213914146,500952.67962320644,499149.17687738134,498541.5371914172,498827.0434202086,499747.1396177561,501095.08165212424,502716.3093398227,504503.0242821985,506385.2757184778,508320.9734397276,510286.7468431561,512270.73843622906
isoNE_MaineBHE,133742.103835221,133306.6934582259,132743.78216320794,132091.11932646364,130972.72280441136,129442.57619910287,127544.40172111087,125303.2595690042,122725.64605738888,119806.6728753593,116540.90508375027,112932.74225682855,109002.8433187659,104788.7643395762,100904.76774600241,97410.61581075919,94352.70087917383,91757.73107025308,89630.56868436019,87955.32963542138,86698.6484424264,85814.13079835901,85247.27602902136,84940.37339600603,84836.97115834452,84885.5558436527,85042.12890477413,85271.50862734856,85547.39345603753,85851.43930322705,86171.74262581872,86501.1409196381,86835.65720181195,87173.27367908314
isoNE_MaineCentral,443457.01980628347,442013.30251279107,440146.8224878356,437982.7476884924,434274.4107145049,429200.8083559476,422906.913068344,415475.81851221266,406929.06492232095,397250.4438218773,386421.9342447392,374458.1241331987,361427.5135682541,347454.6295493052,334576.2202456346,322990.44314538495,312851.1242361151,304246.8212907309,297193.6565412493,291638.96213461115,287472.1060682615,284539.25585014716,282659.70020188874,281642.08403536456,281299.2267986399,281460.3220643578,281979.4811105801,282740.04973676364,283654.8182384683,284662.9619823805,285725.0116495935,286817.21807911387,287926.3945412418,289045.85051325674
isoNE_MaineSouth,321986.7059587751,320938.4470409878,319583.2271929948,318011.9287695461,315319.36747609545,311635.5098804029,307065.6180514491,301670.0249027779,295464.37043765595,288436.88595287706,280574.48672711034,271887.76482063567,262426.4569936202,252280.98021219342,242930.18316879755,234517.94469276306,227155.95525422078,220908.51516709372,215787.3305137035,211754.1600491062,208728.67573138277,206599.18236759832,205234.46852878414,204495.59449419865,204246.65160382492,204363.6201749318,204740.57285285948,205292.80897871315,205957.0070484774,206689.00331584289,207460.139770194,208253.17254397192,209058.52697386363,209871.34518351205
isoNE_MassCentral,599603.7678137126,597651.6996533889,595128.0087306446,592201.936201488,587187.8475240844,580327.7664909587,571817.7121674967,561770.0365285301,550213.8643941638,537127.2800807565,522485.9172152072,506309.50033624755,488690.6492578116,469797.7384890393,452384.68063441064,436719.4069053034,423009.9073382005,411375.9220024475,401839.2499690509,394328.67837695184,388694.6203155593,384729.07695358293,382187.70631747576,380811.7748057758,380348.19325946923,380566.01217762183,381267.9735996001,382296.34792579693,383533.21782705374,384896.34155798855,386332.3521601984,387809.1380968758,389308.8694263126,390822.4998092862
isoNE_MassSE,999214.6122879209,995961.5723060517,991755.9468876205,986879.7693438929,978524.0001798044,967091.9619276567,952910.3121652269,936166.280761635,916908.4030120065,895100.1573457498,870700.9382207426,843743.6157561862,814382.5369999772,782898.2910326066,753880.1580805707,727774.6343066156,704928.3264113988,685540.7762146838,669648.3109569805,657132.2573824279,647743.3351580917,641134.9229271344,636899.8350054944,634606.902662839,633834.3633962072,634197.3495172657,635367.1388810994,637080.881703938,639142.0736863387,641413.6623977852,643806.714033135,646267.716058739,648766.9556221316,651289.3573771854
isoNE_MassWest,731680.2284017483,729298.172527401,726218.5808872387,722647.9738774464,716529.41734788,708158.246373632,697773.6577080108,685512.751421128,671411.0677416654,655441.8635547971,637575.4052357656,617835.7621046432,596335.9556103458,573281.4486033721,552032.766003022,532916.8570055153,516187.5262157728,501990.88919542136,490353.54676004814,481188.5997851952,474313.51141772326,469474.46632064617,466373.30060539325,464694.2886698668,464128.5926721229,464394.39119497937,465250.97569483164,466505.8730158038,468015.1918367222,469678.5747844759,471430.8996059882,473232.981463126,475063.0629612205,476910.1050976769
isoNE_NewHampshire,803702.8187020648,801086.2863068946,797703.5565493115,793781.4785610682,787060.6448712716,777865.4617206537,766458.6710795397,752990.8683973016,737501.0922878862,719959.9671908615,700334.8326664604,678652.1272866661,655035.9977121929,629712.1314301078,606371.8450089337,585374.270731291,566998.1963359436,551404.1201993371,538621.2615755079,528554.1674666045,521002.3330924098,515686.9589256887,512280.5314593414,510436.2467939424,509814.8667835676,510106.82905579306,511047.7310376488,512426.1535710142,514084.0414619333,515911.1587076881,517835.97277763684,519815.4416930089,521825.6663804872,523854.52121858246
