,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,21315590.79244388,21052500.952762768,21091732.739103902,21058994.177688777,21037062.747422297,21044603.797542427,21074367.795641296,21115970.519437663,21166027.439307954,21233667.34236585,21326309.829359654,21441144.43568313,21574481.781521812,21700445.696618598,21722075.39376246,21755280.943084568,21792602.56398267,21835492.778357018,21882164.719399318,21934435.59003822,21991088.55020337,22053402.65363831,22124823.633499883,22190805.917492602,22269300.697341386,22357432.366957244,22456026.956277855,22561628.229427624,22675171.021865528,22796926.488889907,22925715.93176273,23056520.077017702,23193945.278921753,23339860.09336256
isoNE_ConnCentral,11763255.892127277,11618066.714078097,11639717.23018763,11621650.075529981,11609546.961484632,11613708.577417409,11630134.184824638,11653093.130255304,11680717.621799525,11718045.486456731,11769171.316915886,11832544.125702102,11906127.885793492,11975642.53264921,11987579.131772827,12005903.99912077,12026500.368285868,12050169.830317974,12075926.282053642,12104772.567996027,12136037.160845382,12170425.921238245,12209840.416963879,12246253.505323058,12289571.759578753,12338208.243173627,12392618.81030502,12450896.097136568,12513556.003453929,12580748.169452019,12651822.116567504,12724007.900549186,12799847.591401087,12880372.373352144
isoNE_ConnNorwalk,4457751.429195634,4402731.180389719,4410935.764223919,4404089.115197901,4399502.572626003,4401079.640194899,4407304.215734736,4416004.636157867,4426473.091302541,4440618.693808378,4459993.112412213,4484008.591759897,4511893.568055661,4538236.531195526,4542759.9720091075,4549704.282696489,4557509.391666652,4566479.066318763,4576239.617359102,4587171.0783054475,4599018.970142154,4612050.782694336,4626987.125681617,4640786.0686072055,4657201.76266244,4675632.829387869,4696252.017274077,4718336.5201570615,4742081.841138,4767544.687203365,4794478.555873576,4821833.761325436,4850573.635165219,4881088.950407849
isoNE_ConnSW,7982375.305762963,7883852.0295415,7898543.756622388,7886283.646793344,7878070.648660481,7880894.66103924,7892040.840647332,7907620.448940542,7926366.029344385,7951696.178394016,7986389.42746436,8029393.2988883,8079326.174177684,8126497.808080613,8134597.811596045,8147032.801529189,8161009.199740665,8177070.954322764,8194548.9099316755,8214123.5823421925,8235339.282841613,8258674.998248392,8285421.104960221,8310130.500045252,8339525.640831982,8372529.655125908,8409451.87899191,8448998.002918562,8491518.10903849,8537113.741023581,8585343.493529217,8634327.722450748,8685791.439724645,8740434.392053705
isoNE_MaineBHE,1358363.331980661,1341597.5948861875,1344097.6907330637,1342011.383963473,1340613.7754720189,1341094.3385522333,1342991.0874635973,1345642.2743373637,1348832.2156871387,1353142.6551671994,1359046.416340945,1366364.3987506817,1374861.4919410376,1382888.7038108045,1384267.0839724506,1386383.1501447011,1388761.5182514878,1391494.7521118205,1394468.981349074,1397800.0095480091,1401410.2920161725,1405381.3380920466,1409932.731535595,1414137.5371170484,1419139.7175274678,1424756.0210847144,1431039.0876048454,1437768.6640286883,1445004.3239435432,1452763.3470681908,1460970.6193154454,1469306.2810531636,1478063.8781084926,1487362.486599298
isoNE_MaineCentral,4504009.864809989,4448418.666574233,4456708.390017284,4449790.692778243,4445156.555294958,4446749.988217498,4453039.156665085,4461829.862032173,4472406.949155544,4486699.341686158,4506274.810148827,4530539.500006068,4558713.840884196,4585330.167015167,4589900.547928247,4596916.920271358,4604803.02346843,4613865.777136715,4623727.614179432,4634772.511751931,4646743.350089895,4659910.394781297,4675001.733369245,4688943.869006004,4705529.910003766,4724152.237351724,4744985.392165071,4767299.067663648,4791290.79569962,4817017.871712299,4844231.235246572,4871870.307807267,4900908.417568163,4931740.392626358
isoNE_MaineSouth,3270286.037211689,3229922.2003554106,3235941.229540929,3230918.4055752787,3227553.6360563417,3228710.6009818697,3233277.060731549,3239659.8444913807,3247339.690089452,3257717.156643511,3271930.576042414,3289548.7604645644,3310005.6769338786,3329331.3450209,3332649.821963316,3337744.292267396,3343470.259560427,3350050.5730299074,3357211.087538109,3365230.6024587983,3373922.427442626,3383482.797801063,3394440.3656902,3404563.516586924,3416606.362831865,3430127.7224501525,3445254.3268187316,3461455.9124307,3478875.9038515952,3497555.9023391423,3517315.0692732604,3537383.3363929503,3558467.420963908,3580854.0010467484
isoNE_MassCentral,6089927.917681672,6014762.3651462775,6025971.003613109,6016617.498890294,6010351.623796563,6012506.124326358,6021009.787430473,6032895.809805649,6047197.221235414,6066522.143448107,6092990.378525458,6125798.968340066,6163893.846065923,6199882.112618701,6206061.781658609,6215548.706220434,6226211.604718234,6238465.466994775,6251799.779869023,6266733.723642152,6282919.643473723,6300722.968836315,6321128.155978552,6339979.491476234,6362405.684390523,6387585.165477942,6415753.933957435,6445924.532922276,6478364.047653636,6513149.948029665,6549945.47630242,6587316.611059762,6626579.401465983,6668267.699515945
isoNE_MassSE,10148610.281945784,10023350.030983862,10042028.758405384,10026441.533813352,10015999.71491809,10019590.099980883,10033761.09904346,10053568.658429824,10077401.362698957,10109605.537677139,10153713.744914051,10208387.888258498,10271871.409410793,10331844.35111122,10342142.511221679,10357952.07439773,10375721.34897583,10396141.898180062,10418362.973136526,10443249.766112505,10470222.924850313,10499891.422289016,10533895.813611198,10565310.776127376,10602683.089079397,10644643.641669175,10691585.716729,10741863.758605005,10795922.853752611,10853892.10248508,10915210.312093819,10977487.745845567,11042917.544654442,11112389.350551896
isoNE_MassWest,7431373.998877005,7339651.512129511,7353329.109892759,7341915.281562593,7334269.203993011,7336898.282601838,7347275.072235694,7361779.263224968,7379230.888019707,7402812.566884044,7435111.036850971,7475146.469878053,7521632.616783073,7565548.123163447,7573089.005821763,7584665.64276575,7597677.288834524,7612630.344886848,7628901.845522982,7647125.332394494,7666876.571721155,7688601.487185094,7713501.384067414,7736505.157897781,7763871.2333538085,7794597.071752482,7828970.6565450225,7865787.020828563,7905372.081533614,7947820.373053024,7992720.959033226,8038323.942007441,8086235.261105488,8137106.361449128
isoNE_NewHampshire,8162877.71335986,8062126.567878796,8077150.513379424,8064613.170363918,8056214.45483745,8059102.325530798,8070500.54944622,8086432.453478306,8105601.920540577,8131504.850587483,8166982.604863946,8210958.906426869,8262020.894776304,8310259.202841198,8318542.368646058,8331258.546262744,8345550.987435127,8361975.940346198,8379849.118297638,8399866.425307842,8421561.868349088,8445425.265386032,8472776.171605578,8498044.31081529,8528104.152706694,8561854.474185163,8599611.606214007,8640051.971554583,8683533.568613226,8730160.23723014,8779480.590730041,8829572.48133321,8882199.92801295,8938078.500577318
