,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,21464861.471793197,21268695.174959086,21196075.161308262,21044700.65696221,20890606.290490877,20759215.52985728,20647601.35444735,20545177.067074228,20447461.942496207,20347194.057559937,20260188.892319884,20185034.45588447,20117254.649589583,20029390.984000396,19951810.12082164,19890192.90447163,19838166.202662006,19797530.609158706,19765764.32678588,19743441.5140501,19729259.480390053,19722956.658855703,19726360.889627792,19723565.392421898,19735239.273775615,19758465.190351993,19794222.558299195,19839011.135669272,19893845.128011197,19958987.798762802,20033127.797066208,20110873.595797755,20196880.076983947,20292905.61373495
isoNE_ConnCentral,11845632.6470329,11737376.00195372,11697299.805530995,11613762.030411117,11528723.267845824,11456213.753366776,11394618.176714908,11338094.146315249,11284168.92199776,11228834.927282218,11180820.118186785,11139345.271168623,11101940.199288175,11053451.616822409,11010637.718076177,10976633.542900197,10947922.004356919,10925496.780990498,10907966.189794049,10895647.08679569,10887820.567106962,10884342.281974128,10886220.946191218,10884678.218649726,10891120.585411001,10903938.076733546,10923671.194773184,10948388.290432353,10978649.064801022,11014598.802859388,11055513.820433944,11098418.740777096,11145882.414499583,11198875.220187206
isoNE_ConnNorwalk,4488968.559918668,4447944.100470785,4432757.002313744,4401099.896504995,4368873.983132137,4341396.098202711,4318054.110884748,4296634.014305312,4276198.749785405,4255229.623865821,4237034.144159308,4221317.019558234,4207142.1589445295,4188767.140176886,4172542.5744549767,4159656.502615735,4148776.1049478273,4140277.941477746,4133634.626168001,4128966.233377693,4126000.330089693,4124682.214538673,4125394.144821879,4124809.5196155584,4127250.890431668,4132108.1502571576,4139586.125398594,4148952.806656796,4160420.295881508,4174043.649626295,4189548.6237372975,4205807.682601027,4223794.306484037,4243876.225763647
isoNE_ConnSW,8038274.980152229,7964813.586615502,7937618.4593814025,7880930.933467629,7823224.859183543,7774020.951428905,7732223.084025617,7693866.694554704,7657273.817302264,7619724.9688340295,7587142.813863584,7558998.582565373,7533616.041810766,7500712.391083825,7471659.498650866,7448584.7572096605,7429101.522435204,7413884.090215086,7401988.08459001,7393628.519477678,7388317.556418958,7385957.242437407,7387232.076802301,7386185.204206512,7390556.9011089215,7399254.665329404,7412645.273813127,7429417.937421675,7449952.461219239,7474347.433491994,7502111.772627093,7531226.430999195,7563434.593477132,7599394.744933761
isoNE_MaineBHE,1367875.797262169,1355374.8486755434,1350747.0452676183,1341100.5110428517,1331280.6501195668,1322907.605565297,1315794.8492414206,1309267.7303064289,1303040.7088037569,1296651.0093767552,1291106.4937540914,1286317.1810072113,1281997.8260141343,1276398.601356844,1271454.6614570976,1267528.025403536,1264212.5571760668,1261623.001919277,1259598.6548773039,1258176.1050365693,1257272.3367720952,1256870.6813948813,1257087.6203622047,1256909.4737212737,1257653.4067666766,1259133.5080566758,1261412.1921401045,1264266.4016144508,1267760.7680276863,1271912.0681796686,1276636.7345569269,1281591.1851860841,1287072.0583879391,1293191.408741698
isoNE_MaineCentral,4535550.938142778,4494100.764667067,4478756.068803329,4446770.454728911,4414210.130529754,4386447.105436948,4362862.896488953,4341220.52189016,4320573.199030285,4299386.474849191,4281002.179225091,4265121.95679141,4250800.002539252,4232234.304763128,4215841.3754523685,4202821.583836695,4191828.279430273,4183241.929852472,4176529.676339599,4171812.83927178,4168816.1585731357,4167484.364833837,4168203.6828733347,4167612.9909654725,4170079.696077696,4174987.3600687087,4182542.934743699,4192006.8147867112,4203593.303044992,4217358.0273982715,4233023.897839634,4249451.678230246,4267624.950717609,4287915.26164596
isoNE_MaineSouth,3293187.4816611772,3263091.205758962,3251949.6794003025,3228725.461372613,3205083.955960395,3184925.688985642,3167801.5903410297,3152087.4250556645,3137095.750152373,3121712.4249947113,3108363.8962196745,3096833.5329985735,3086434.602174209,3072954.360338434,3061051.7292512273,3051598.2768818606,3043616.222893917,3037381.818445941,3032508.163724872,3029083.347424355,3026907.5078190006,3025940.5147171193,3026462.7994836927,3026033.907994429,3027824.9412133945,3031388.313742955,3036874.2898185817,3043745.8544224515,3052158.609258407,3062152.9447971224,3073527.67063097,3085455.606502857,3098650.9149168567,3113383.3694432345
isoNE_MassCentral,6132574.996353446,6076529.699780116,6055781.945105103,6012533.797351721,5968508.576870198,5930969.844348106,5899081.341258671,5869818.4166137045,5841900.913836423,5813254.079804653,5788396.444380081,5766924.597550114,5747559.704564993,5722456.793028001,5700291.708834433,5682687.486192254,5667823.302182509,5656213.591819001,5647137.870120882,5640760.175887372,5636708.326536501,5634907.591609848,5635880.190503259,5635081.508606813,5638416.7713567875,5645052.485053372,5655268.471813715,5668064.702064858,5683730.93735961,5702342.39284801,5723524.411675507,5745736.618448851,5770308.926858102,5797743.709349685
isoNE_MassSE,10219679.855667124,10126282.711932894,10091707.446138572,10019636.215920765,9946270.026487475,9883713.298067288,9830572.4407856,9781807.00021783,9735283.648946436,9687544.89762954,9646120.68738196,9610338.752282484,9578067.96768305,9536235.015048027,9499297.82886329,9469961.127784552,9445190.586537907,9425843.48956761,9410719.178773357,9400091.017956318,9393338.780402936,9390337.930928407,9391958.726324234,9390627.756333154,9396185.832273446,9407243.97173905,9424268.486590074,9445592.869349984,9471699.995532885,9502715.208041912,9538014.156891696,9575029.870885642,9615978.595590452,9661697.51368612
isoNE_MassWest,7483415.07323017,7415024.516667892,7389706.593909021,7336932.051244741,7283209.267789242,7237401.769804654,7198489.093673646,7162780.339764374,7128713.367698859,7093756.412468609,7063423.313610185,7037221.800817758,7013591.346703049,6982958.9440517,6955911.492491435,6934429.536681467,6916291.1757587,6902124.16082912,6891049.303595979,6883266.77616046,6878322.414204054,6876125.026173575,6877311.862245452,6876337.252371764,6880407.183118829,6888504.564712724,6900970.856499735,6916585.749493115,6935702.831863117,6958413.886618985,6984261.730154433,7011366.684121759,7041351.606155848,7074829.527738606
isoNE_NewHampshire,8220041.425760952,8144918.877756929,8117108.79748534,8059139.418173775,8000128.458446163,7949811.921496244,7907068.894862811,7867845.166989353,7830424.828963401,7792026.902709247,7758707.979898203,7729927.333834374,7703970.827368857,7670323.138940426,7640613.284534251,7617016.762767607,7597092.961037845,7581531.422828225,7569366.417366151,7560817.82059702,7555386.7627567295,7552973.075895549,7554276.7376036,7553206.192477173,7557676.744893881,7566571.188338575,7580264.593543563,7597416.530995696,7618415.394146191,7643362.000620523,7671754.164164681,7701527.181199615,7734463.654568589,7771236.959211687
