census_division,Scenario,Category,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East North Central,NREL High Electrification,Buildings Other,344.90658180345895,344.51564700990804,344.876163698552,345.5077382598512,346.24621852901856,346.9594855860627,347.8774071397663,348.90260953528644,350.0226163796309,351.3840484187049,352.9684563637224,354.7300502261649,356.66874983502277,358.90569918651556,361.5143169829874,364.43137910087626,367.6788016806386,371.1596510227008,374.715307487944,378.45526341422584,382.35848744619165,386.39102825023156,390.4910283436564,393.8833542673193,397.4148160967475,401.0885094907994,404.80832766252814,408.5400361387939,412.4000254905685,416.23845682672044,420.17145738808745,424.19420301639605,428.2871865389035
East North Central,NREL High Electrification,Buildings: Space Heating,11.973154608691365,12.263502626367123,12.556008365332758,12.848496388643188,13.14803512018754,13.454842877990835,13.779283588769143,14.12846642942081,14.5194458865956,14.96759885141961,15.48693588052298,16.092818390091885,16.79461658462542,17.62113934635624,18.552738449825434,19.60372791103373,20.748226849928173,21.986964625168667,23.279466642249247,24.6301187804012,26.002505354974353,27.396439231231387,28.78169570998116,29.855136023805734,30.87724692470534,31.843889052976227,32.73919899051601,33.54716198924796,34.274315032580915,34.89854826508539,35.411945391380556,35.82361320354542,36.13261940647184
East North Central,NREL High Electrification,Buildings: Water Heating,17.421676245299693,17.324931968200048,17.2124237094899,17.10337337731357,16.99813917507051,16.905427835525956,16.82958572850014,16.774274315847183,16.745109543118208,16.746995022289,16.782610453917673,16.852837656581535,16.961860151249617,17.11182706678554,17.296863476134156,17.50993338901589,17.74674853625454,17.9999132710829,18.260990654588834,18.522498998878106,18.77936151132351,19.027873068775612,19.264007713079263,19.333093509254915,19.386901238796636,19.42548067283509,19.44860510673052,19.457541049854505,19.454320148319038,19.438751132241062,19.412763405244377,19.37806903701557,19.336328586981395
East North Central,NREL High Electrification,Industry,200.14107684370066,204.1489148605174,207.70418811813795,212.68855412230184,217.0436994761456,221.36226452198503,223.76847720687158,224.01972286915432,224.30072307649056,225.14809672220613,225.15478656797512,225.51658575004296,225.8439883324732,226.33473958980866,227.3887535575998,229.40494768384036,231.9011792839341,234.16386165959292,236.3750854163923,239.39117147549686,242.79811288207017,245.9075474639231,249.23653190430971,252.65822494567857,256.87433948239527,261.59263529883015,266.23417071867664,270.8396002427449,275.4422433088354,279.9115532808229,284.53554448175856,289.48113712459605,294.6381601058839
East North Central,NREL High Electrification,Transportation: Heavy Duty,0.00014658328231877306,0.00022050548162628734,0.0003194617846085075,0.0004550525911239697,0.0006252845310238485,0.0008399129219596922,0.0011074283685143095,0.00141885480103719,0.0017912075786665367,0.0022975993764692256,0.002940268287847857,0.0037221093315764927,0.004641133388478596,0.0056914842523833435,0.006890186433267566,0.008366943698131846,0.010077976932407874,0.011913118735195979,0.013780670190530506,0.01571354322572404,0.017693762621433805,0.019542792804860657,0.02130986417359369,0.023047371552813573,0.02473064962554774,0.026378848815030588,0.027909917492965917,0.02932332469636094,0.030659634680974726,0.031851448403208214,0.03296958505050318,0.03406560948973877,0.035105797572445606
East North Central,NREL High Electrification,Transportation: Light Duty,0.1358739566218087,0.17961913733757962,0.24123006091505383,0.32519610085542705,0.4493370176086432,0.5938198090686996,0.7788111254260568,1.0019481847812788,1.329699079241099,1.7773112617871174,2.2604876566378747,2.7564773002886382,3.2617002222247864,3.799061396937115,4.383993809981317,4.985754481145563,5.570284062854207,6.1414303700056285,6.704897925686808,7.2428916867707445,7.7525823469826625,8.234747471634694,8.69175430976155,9.143921140245675,9.57268491199123,9.981138900270588,10.37414293482483,10.757886180546508,11.159069837567833,11.560824895509494,11.964835285736967,12.371354284322535,12.779977921920418
East North Central,NREL High Electrification,Transportation: Other,1.0434209389454114,1.0556433158345713,1.0689968312390838,1.0836126198811158,1.0982896325040712,1.113095173821098,1.1276480001745028,1.1409151066826408,1.15312879872276,1.1661088866425886,1.1799435157349256,1.1925866510070178,1.2035940846012678,1.213974073210984,1.2249437303876969,1.2371791335947786,1.24926169186837,1.2613946199728634,1.272889247031522,1.2848693302025251,1.2970131134126799,1.3082137743860525,1.3189120443648341,1.3294531279412451,1.3401683337579116,1.3506303888394822,1.3606760298739182,1.3706074710684337,1.3803973562953171,1.3898046962839192,1.3991929301780148,1.408822589114235,1.4183449966631505
East North Central,NREL Medium Electrification,Buildings Other,344.90658180345895,344.51178758795015,344.8663502830872,345.489035647821,346.214316290031,346.90808741838396,347.7973867123611,348.78109050491264,349.84244863555335,351.12447500377385,352.6074271710974,354.2482899097837,356.0526443249339,358.1415698635816,360.59255678687634,363.34458849028493,366.4208245064224,369.72537244305124,373.0996487229553,376.6531814447375,380.36606025553107,384.2070447815917,388.11435756602947,391.32310033463494,394.6679750018952,398.15142654238196,401.67850491725403,405.2116022814488,408.8674719269421,412.51151237184246,416.2477015166859,420.07320317437495,423.96819048252087
East North Central,NREL Medium Electrification,Buildings: Space Heating,11.973154608691365,12.260377349945973,12.545174970558909,12.822754030036862,13.096499030353554,13.361555091163796,13.621403510363322,13.874046334459848,14.124881499964781,14.374988251064872,14.622858886823131,14.867453562984387,15.104574395396988,15.347879599093094,15.581182110142938,15.822581563889305,16.06520792403646,16.33090711053705,16.614371884915354,16.941451695007657,17.306550180831877,17.72696437918344,18.197472509524744,18.55920226618553,18.97322592050725,19.443957945394686,19.967373496620887,20.536939193733364,21.15251374082813,21.803811240744665,22.48036712533524,23.17950362306387,23.890578095831312
East North Central,NREL Medium Electrification,Buildings: Water Heating,17.421676245299693,17.32447981750085,17.210854031003574,17.099635382334622,16.99066882584075,16.89194939000201,16.80686066502212,16.737768244137357,16.68863134642122,16.66233770431638,16.659412260230813,16.67860762377211,16.722665417649914,16.791956545483234,16.881307349727123,16.98569662123777,17.104418605382392,17.234745935733816,17.3735720699407,17.51837226156505,17.668641705483928,17.82448772427333,17.985291210834372,18.004211219885896,18.027909989745886,18.05672543778745,18.090213033443106,18.128362811045097,18.170383249432938,18.215020013139192,18.261281661241075,18.307723949943167,18.35287112517559
