,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,25381760.412243683,25305467.346105225,25639717.42984009,25932571.744871277,26265884.907424875,26659074.935664818,27104685.494637642,27592178.470781643,28117046.274834126,28750139.04291394,29492860.981222704,30335256.30885774,31268957.973579977,32264746.603000235,33068965.82532122,33898525.200725056,34747528.82099075,35612491.419095404,36476594.3224688,37328358.54063271,38159468.63425281,38970772.79477862,39763267.341442116,40521666.69055374,41211240.8393528,41872510.69443561,42505294.269406974,43106916.63900208,43681782.99964048,44235536.65182729,44773712.067744,45297827.23867005,45817304.94393213,46336248.73324778
isoNE_ConnCentral,14007218.736237356,13965115.523217347,14149575.306913888,14311190.35574691,14495133.088627765,14712119.563994838,14958034.916962178,15227063.56739158,15516717.949891593,15866097.533450589,16275977.24554001,16740862.873050556,17256136.961204205,17805674.460605517,18249492.161819924,18707294.120283477,19175826.610692713,19653166.248036053,20130031.452875447,20600087.41123864,21058745.151527435,21506472.758026417,21943820.061054155,22362351.534044582,22742901.02234658,23107830.45802736,23457039.409784958,23789051.68910137,24106298.35469051,24411893.727359354,24708892.069742832,24998131.10292669,25284810.896921374,25571196.043211296
isoNE_ConnNorwalk,5308113.664543101,5292158.4171409495,5362060.480986446,5423305.405140232,5493011.529695303,5575239.764765073,5668430.759350591,5770380.666922428,5880146.810701241,6012546.152535182,6167872.355511669,6344043.356929277,6539309.346546292,6747559.646957787,6915746.840200342,7089233.445723843,7266786.446177074,7447676.964082334,7628387.693144103,7806518.020275541,7980328.92909479,8149997.802752205,8315733.002513652,8474337.838538267,8618549.189622896,8756841.234646782,8889175.914607896,9014993.819633981,9135216.21298377,9251023.283897005,9363572.462234166,9473181.207073035,9581820.11394716,9690347.362430185
isoNE_ConnSW,9505096.035307059,9476525.403928619,9601697.14513601,9711366.779689124,9836187.657691564,9983431.541403545,10150306.143030483,10332865.094006604,10529420.368437177,10766504.300446643,11044642.744608648,11360107.407375006,11709764.950719787,12082673.149354447,12383841.422060763,12694499.20946936,13012438.580650883,13336354.354356142,13659948.185026366,13978921.359526148,14290159.868103405,14593981.34598333,14890758.900067406,15174768.304038573,15433003.682568049,15680639.519315751,15917607.663052795,16142906.39360231,16358185.39224496,16565557.99203511,16767096.77142025,16963370.195812453,17157906.95750748,17352243.77553181
isoNE_MaineBHE,1617485.2004257878,1612623.3270423114,1633923.8418569353,1652586.358276217,1673827.166588216,1698883.7048780632,1727280.8086480729,1758346.9231104914,1791794.7963645996,1832139.4441050978,1879470.3511712004,1933153.072669912,1992654.407477746,2056112.313654442,2107362.2139322283,2160226.9479300673,2214330.791342964,2269451.6410646886,2324517.705638256,2378797.47168899,2431761.027191883,2483462.424233727,2533965.154534026,2582295.1246888484,2626239.120777499,2668379.389486686,2708704.333500222,2747043.4897785923,2783677.585107406,2818966.246041335,2853262.163910703,2886662.0746545843,2919766.4569576825,2952836.814783061
isoNE_MaineCentral,5363196.375655427,5347075.559401719,5417703.00243694,5479583.469964033,5550012.940431471,5633094.464334876,5727252.509167889,5830260.358913086,5941165.554560375,6074938.814731148,6231876.849877673,6409875.991570852,6607168.271651084,6817579.601735556,6987512.086651132,7162798.976263827,7342194.458104829,7524962.091077781,7707548.069524336,7887526.869007687,8063141.4272368215,8234570.968080936,8402026.014987063,8562276.705813566,8707984.54937988,8847711.661782986,8981419.589079615,9108543.116357462,9230013.066896232,9347021.87685181,9460738.986824963,9571485.150191184,9681251.411508167,9790904.855746182
isoNE_MaineSouth,3894126.9554413394,3882421.901081921,3933703.3031513616,3978633.672978276,4029771.330485958,4090095.4318371518,4158462.009298355,4233254.281708072,4313780.684550411,4410911.205579414,4524861.281279075,4654103.473278453,4797354.089543091,4950130.228028619,5073515.355807761,5200788.227051981,5331044.278218121,5463748.791775152,5596321.409026644,5727000.997351515,5854511.783283613,5978983.898269038,6100570.199852512,6216925.539293039,6322721.561200118,6424175.074497666,6521258.158422289,6613560.419903989,6701757.714117617,6786715.848960563,6869283.935643242,6949694.867813035,7029394.309536394,7109011.836670489
isoNE_MassCentral,7251644.715811704,7229847.5590766985,7325343.805755724,7409013.157747328,7504241.723248101,7616577.288011396,7743889.554883414,7883167.753362693,8033124.051741463,8214000.545400663,8426198.42024374,8666873.279948205,8933634.632713217,9218134.416625662,9447902.249084005,9684909.83891995,9927472.707555132,10174595.103797384,10421471.882688675,10664823.462383926,10902274.097043239,11134066.117495652,11360484.17511981,11577161.133027244,11774174.525758151,11963101.297284354,12143889.453549512,12315774.76042066,12480015.795664633,12638224.86708132,12791983.189893696,12941724.45874159,13090140.789806185,13238404.579491112
isoNE_MassSE,12084562.759803642,12048238.709347185,12207379.21216334,12346810.689412905,12505505.112736063,12692707.635162463,12904868.205543574,13136969.500705665,13386865.402946271,13688288.517985515,14041907.405359684,14442981.997508947,14887528.639783062,15361635.635999255,15744534.123217281,16139497.363442939,16543718.243545968,16955537.38579255,17366947.21699193,17772482.45110405,18168184.007006116,18554455.71889394,18931771.94639002,19292855.03844035,19621169.621170428,19936008.187728625,20237284.092193693,20523723.770332277,20797424.589377265,21061073.39287373,21317305.209887166,21566842.774404,21814172.38549473,22061247.792753328
isoNE_MassWest,8848985.524723874,8822387.045070337,8938918.52691274,9041017.969680855,9157222.807435684,9294302.852785204,9449658.561844395,9619615.972963206,9802603.580009311,10023322.26340856,10282261.579446655,10575950.588375349,10901472.237833206,11248639.614102893,11529019.073267208,11818233.01215958,12114225.907220764,12415782.670256138,12717039.71309445,13013995.0508879,13303749.62537157,13586599.146288885,13862890.966003053,14127295.985719945,14367706.08974107,14598248.309056217,14818859.19672749,15028606.178553425,15229025.062875021,15422083.305206403,15609710.419632712,15792435.631969664,15973544.058635902,16154466.343190456
isoNE_NewHampshire,9720031.145859174,9690814.45769277,9818816.659732379,9930966.21189383,10058609.616792684,10209183.070275052,10379831.143607672,10566518.230497891,10767518.134365391,11009963.154884359,11294391.037577303,11616989.182416344,11974553.398398101,12355894.027867926,12663872.503832417,12981555.077275002,13306683.890166523,13637924.247692114,13968835.382207638,14295021.375417467,14613297.801654963,14923989.478709484,15227477.950406542,15517909.550683104,15781984.307313185,16035219.838766793,16277546.452737305,16507939.777531635,16728086.798043918,16940148.635322653,17146244.734241102,17346956.414702833,17545892.161976345,17744623.444329202
