,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,11313089.733996175,11391406.895576965,11452888.537357176,11541777.392557586,11640802.788419293,11731406.123331513,11801673.683429142,11847262.617190892,11888925.346228154,11944192.078768542,11994700.043410733,12053550.090174401,12118319.62773892,12198661.187664488,12297968.353395293,12420926.421954539,12562538.459414482,12706776.23281006,12851999.736417014,13010176.540576803,13180092.79037728,13347281.512974523,13512935.931758871,13667096.593723636,13825873.16155711,13990999.274800222,14152011.819833048,14309968.049900502,14467224.281211425,14619793.828776779,14772741.344547829,14930206.656247713,15090471.381810272
ERCOT_BEPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_CPS,21797002.02528077,21947896.199173942,22066353.26986912,22237615.993173253,22428408.853912756,22602974.876194388,22738359.83165505,22826196.320616074,22906468.16593478,23012950.931424867,23110264.9485046,23223651.708325025,23348443.58876312,23503238.183837306,23694573.932377737,23931478.025992118,24204322.84026446,24482226.676683053,24762029.725776438,25066789.981523607,25394168.701936256,25716292.278319217,26035459.70177637,26332482.030784067,26638397.85502025,26956547.38882718,27266771.284570683,27571106.55880967,27874093.140987292,28168049.859750405,28462734.812262103,28766124.230956428,29074907.29816491
ERCOT_FlatLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_Houston,106426321.93795641,107163079.76872097,107741459.78295457,108577669.3545827,109509237.02599803,110361575.32762435,111022607.64934918,111451479.21807334,111843415.56062788,112363329.67853034,112838476.34772785,113392099.99698724,114001410.43460357,114757212.51190361,115691430.89426583,116848141.8633331,118180337.45652391,119537234.29619826,120903404.25606228,122391430.59355694,123989894.13702327,125562698.84678,127121069.8063075,128571314.84335761,130064983.37439294,131618384.37284563,133133087.54913348,134619038.86646003,136098405.042612,137533681.89172286,138972514.42428428,140453847.4951847,141961515.66356882
ERCOT_LCRA,16871754.865144856,16988553.015163444,17080243.544736918,17212807.769935098,17360489.10577583,17495610.217032466,17600403.609183904,17668392.578870952,17730526.21060706,17812948.147102173,17888273.104140185,17976039.00948921,18072632.936189316,18192450.168830387,18340551.721629668,18523925.003394533,18735117.84621254,18950226.575325828,19166805.37131568,19402702.0474568,19656106.32353389,19905442.90710229,20152491.309596512,20382398.519711006,20619189.652266547,20865450.16729632,21105575.92019684,21341143.643584736,21575667.425157998,21803201.72983812,22031299.716683183,22266135.309896994,22505145.80365236
ERCOT_North,121291950.47347622,122131618.6372613,122790786.77127017,123743798.09497721,124805487.13774872,125776880.05244303,126530245.36816594,127019021.71715502,127465703.72762226,128058239.4489624,128599754.60440995,129230708.40441124,129925127.32330817,130786499.8339646,131851209.83898525,133169490.19498613,134687766.86722216,136234195.05602443,137791191.6344346,139487065.48917374,141308802.41869763,143101296.48864657,144877340.7021495,146530155.96443808,148232460.11430568,150002840.1625762,151729117.07692286,153422626.072679,155108630.11474827,156744386.43262208,158384195.09180704,160072440.76448116,161790700.02102757
ERCOT_RAYBURN,3756481.826596773,3782486.835052139,3802901.653235952,3832416.9648792357,3865298.08830993,3895382.688452724,3918714.8478108197,3933852.5339068924,3947686.534003665,3966037.7078460758,3982808.7452671467,4002349.749215676,4023856.3045864026,4050533.5092119356,4083508.1935899435,4124336.0983300833,4171358.004604463,4219251.77962165,4267472.863774719,4319995.05746243,4376415.303339283,4431929.880949429,4486934.996995569,4538123.64118236,4590844.984827636,4645674.678402001,4699138.4724221565,4751587.425060009,4803803.944943469,4854464.263759741,4905250.085929129,4957536.030408338,5010751.512931307
ERCOT_South,42094079.33450114,42385484.14877819,42614246.86237486,42944987.1473666,43313443.77305807,43650563.34493812,43912016.96361693,44081645.61853475,44236665.53463391,44442303.62986822,44630235.160569645,44849206.15749057,45090202.57109691,45389139.82669046,45758644.87005587,46216150.89311838,46743065.15612879,47279749.335173175,47820101.24838178,48408650.18591663,49040879.600470714,49662960.35102765,50279332.2185171,50852937.77522931,51443718.33120403,52058124.46378917,52657224.70994868,53244952.92886819,53830076.571683,54397761.862814896,54966853.50924058,55552755.10455884,56149072.84188571
ERCOT_West,29213129.524723247,29415363.347583603,29574123.792956952,29803656.281545877,30059363.765846297,30293323.455055587,30474771.263106626,30592492.898680143,30700076.125573643,30842788.1745428,30973211.935673993,31125176.96724948,31292427.553483482,31499888.861712217,31756323.943855103,32073831.36820948,32439507.844737876,32811964.605502404,33186966.759702194,33595417.46383132,34034182.25139066,34465903.90508084,34893663.61582969,35291743.671012186,35701743.109774865,36128138.60804351,36543911.87986814,36951793.008427665,37357866.57116543,37751837.98475384,38146785.403519355,38553398.86230916,38967241.08368165
ERCOT_WZ_Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_FarWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCOT_WZ_North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
