,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoNE_Boston,26062661.62430249,25864022.57133088,25798782.170341365,25662927.305713974,25519424.560804524,25394777.57057689,25286887.954984877,25185691.206728294,25086785.665105253,24979142.117998388,24878357.658914875,24782926.564644616,24688727.809365634,24569298.12152615,24466138.561979655,24386882.26068535,24326176.625598382,24284990.092212923,24258179.373121195,24241981.80092029,24233384.105465703,24231746.179340236,24239042.799089212,24239571.273505453,24255473.0128953,24283765.043102648,24325343.228252042,24376647.807948895,24438680.292358585,24511761.19704938,24594689.340031575,24682189.813579608,24778950.212519426,24886618.28664411
isoNE_ConnCentral,14382981.963853206,14273360.699632687,14237357.028009538,14162383.945988802,14083190.292571938,14014402.405972477,13954862.270835241,13899015.672128001,13844433.50236362,13785029.162972605,13729410.090825222,13676745.335112013,13624760.659957746,13558852.00216578,13501922.203293176,13458183.694599392,13424682.586111456,13401953.320183976,13387157.514034437,13378218.696035638,13373473.958125269,13372570.049604323,13376596.773803081,13376888.418536328,13385663.977768729,13401277.262630383,13424222.666124238,13452535.693207966,13486769.038876912,13527099.583363194,13572864.440460388,13621152.591187729,13674550.939093566,13733968.814003704
isoNE_ConnNorwalk,5450511.235445623,5408969.645963048,5395325.853793074,5366914.386203323,5336903.509543017,5310835.956255723,5288272.889963835,5267109.509902578,5246425.292241494,5223913.686505029,5202836.528902646,5182878.925990521,5163179.043399315,5138202.589927354,5116628.725121946,5100053.773303454,5087358.341391471,5078744.959297097,5073138.006033982,5069750.591097602,5067952.546202968,5067610.005027459,5069135.954621398,5069246.475019693,5072572.022135982,5078488.763516491,5087184.052147138,5097913.431674775,5110886.348950512,5126169.833724849,5143512.681572652,5161811.745615126,5182047.347380215,5204564.082477146
isoNE_ConnSW,9760083.526562944,9685696.122214628,9661264.5514049,9610388.902349288,9556649.234590208,9509970.769685384,9469567.69516421,9431671.001041463,9394632.33011076,9354321.404618833,9316579.106728686,9280841.565239811,9245565.51658161,9200840.854700653,9162209.116612997,9132528.797243102,9109795.429580092,9094371.678475685,9084331.458427764,9078265.705824008,9075045.995305479,9074432.616057212,9077165.092856327,9077362.998753987,9083317.966320224,9093912.915598247,9109483.334529005,9128696.145191045,9151926.398414077,9179294.122565238,9210349.492652774,9243117.133301046,9279352.47984123,9319672.590340657
isoNE_MaineBHE,1660876.5025092254,1648217.9743697355,1644060.4462331338,1635402.920932617,1626258.02466295,1618314.7355176646,1611439.3315399508,1604990.4391078376,1598687.556753854,1591827.8338056104,1585405.2150292601,1579323.7462841638,1573320.809920113,1565710.0000537233,1559136.0249574804,1554085.3156173124,1550216.771247622,1547592.106640998,1545883.5592179943,1544851.348177772,1544303.449019885,1544199.07007909,1544664.0565207482,1544697.7342299845,1545711.0929453121,1547514.0388169591,1550163.661934009,1553433.1120046864,1557386.2115473766,1562043.3858273008,1567328.0879832546,1572904.1677624148,1579070.3481506337,1585931.6341145106
isoNE_MaineCentral,5507071.617300669,5465098.947491403,5451313.572621799,5422607.277008303,5392284.975131098,5365946.916802302,5343149.711804857,5321766.717691652,5300867.8582843635,5278122.647852555,5256826.770935429,5236662.066415242,5216757.7565999245,5191522.120514674,5169724.382024988,5152977.4306336865,5140150.257230726,5131447.493395946,5125782.356339806,5122359.789933403,5120543.086586113,5120196.990834005,5121738.77532636,5121850.442603482,5125210.49918258,5131188.639051665,5139974.159373256,5150814.878512342,5163922.416766405,5179364.499458914,5196887.315396748,5215376.270259569,5235821.8584485855,5258572.251468635
isoNE_MaineSouth,3998592.35582357,3968116.7040950567,3958107.3745627166,3937264.214680151,3915247.6997475564,3896124.077245552,3879571.408972535,3864045.575508325,3848871.2641358557,3832356.348245074,3816893.7691161116,3802252.5152964666,3787800.329705591,3769477.1575086243,3753650.1851073056,3741490.5045238477,3732176.909008806,3725857.9781209338,3721744.617100494,3719259.5490242136,3717940.471187192,3717689.1768651037,3718808.6407315424,3718889.7204689644,3721329.4012078363,3725670.0283221575,3732049.0473074,3739920.311691361,3749437.47542348,3760649.7127254764,3773372.7355460627,3786797.255639355,3801642.45438093,3818161.133262129
isoNE_MassCentral,7446180.224626696,7389428.4542435575,7370789.076934457,7331974.936575725,7290975.773991041,7255363.7568044765,7224539.37157305,7195627.158517954,7167369.550037447,7136615.4673067555,7107821.046499114,7080556.097998723,7053643.232426747,7019521.814106429,6990048.820006699,6967405.058142239,6950061.276988035,6938294.161455607,6930634.258979542,6926006.564251046,6923550.176995049,6923082.216611697,6925166.882654817,6925317.869373063,6929861.04378436,6937944.161267959,6949823.172878445,6964481.044444997,6982203.910411425,7003083.343032345,7026776.161027695,7051775.307514381,7079420.042326915,7110181.13249981
isoNE_MassSE,12408748.05257718,12314173.599773448,12283111.856717508,12218429.714456705,12150106.324002441,12090760.386141494,12039392.836784126,11991211.842419181,11944121.719211673,11892871.326032747,11844886.62752381,11799450.730674457,11754601.565306278,11697739.648140602,11648624.13560854,11610889.253096651,11581986.566869723,11562377.160765832,11549612.253516011,11541900.39371436,11537806.927042896,11537027.090627389,11540501.099437607,11540752.71249148,11548323.72271794,11561793.900085071,11581589.776325168,11606016.506510241,11635550.921728885,11670345.623315195,11709828.71401283,11751488.746529475,11797557.541390836,11848819.612179244
isoNE_MassWest,9086371.934153887,9017119.286747176,8994374.159750199,8947010.316146538,8896980.149135375,8853523.769660112,8815909.60771328,8780628.817652728,8746146.823814543,8708618.45010414,8673481.398730945,8640210.720965084,8607369.680455197,8565732.238380687,8529767.14240872,8502135.573458988,8480971.427338745,8466612.335147263,8457265.163741624,8451618.113276504,8448620.650476921,8448049.611103,8450593.472580275,8450777.717580762,8456321.630193332,8466185.239403399,8480680.875346513,8498567.478785986,8520194.211829262,8545672.81761701,8574584.521333495,8605090.302306022,8638824.42301626,8676361.34771848
isoNE_NewHampshire,9980784.57197978,9904715.073634949,9879731.041034888,9827704.960335707,9772750.097970711,9725016.110746335,9683699.416914362,9644945.77930461,9607069.567038016,9565847.105966136,9527251.355892086,9490705.69501102,9454631.962521954,9408895.95892387,9369390.656080443,9339039.186971365,9315791.758337934,9300019.2358338,9289751.980120175,9283549.06496681,9280256.54836261,9279629.299003402,9282423.564257964,9282625.945326189,9288715.570302244,9299550.099126428,9315472.606000515,9335119.86862057,9358875.418697638,9386861.998754531,9418619.612078559,9452128.2148843,9489182.937492393,9530414.791268844
