census_division,Scenario,Category,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East North Central,NREL High Electrification,Buildings Other,335.1845186,332.5551078,332.1781728,332.525779,333.1347362,333.8467707,334.5344949,335.4195447,336.4080335,337.4879317,338.8006094,340.328278,342.0267873,343.89606,346.0529018,348.5681022,351.3807012,354.5118301,357.8680265,361.2963511,364.9023752,368.6658206,372.5539518,376.5071265,379.7779696,383.182966,386.7251005,390.311708,393.90978,397.631539,401.332512,405.1246676,409.0033544,412.9497638
East North Central,NREL High Electrification,Buildings: Space Heating,19.92135032,20.51885576,21.01643633,21.51771467,22.01896265,22.5322937,23.05808196,23.61408849,24.21249656,24.8825331,25.65055008,26.54055793,27.5788821,28.78158067,30.19802453,31.79454176,33.59566284,35.55703471,37.6799073,39.89491774,42.20958228,44.56149396,46.95033208,49.32429941,51.16389538,52.91552616,54.57209797,56.10642506,57.49106234,58.73721249,59.806985,60.68681341,61.39230438,61.9218602
East North Central,NREL High Electrification,Buildings: Water Heating,15.29799379,15.22655617,15.14200161,15.04366932,14.94835926,14.8563845,14.77535473,14.70906868,14.66072647,14.63523644,14.63688435,14.66801226,14.72939088,14.82467661,14.95574779,15.11746973,15.30369297,15.51066956,15.7319357,15.9601175,16.18867596,16.41317396,16.63037322,16.83675505,16.89713608,16.94416407,16.97788252,16.99809329,17.00590331,17.00308824,16.98948091,16.96676762,16.93644472,16.89996354
East North Central,NREL High Electrification,Industry,186.7044507,192.7531648,196.6130594,200.037095,204.8374705,209.0318521,213.1910037,215.5083946,215.7503659,216.0209934,216.8370875,216.8435304,217.1919743,217.5072913,217.9799272,218.9950338,220.9368031,223.34089,225.5200488,227.6496485,230.5544002,233.8355794,236.8302338,240.0363337,243.33172,247.3922029,251.9363298,256.4065298,260.8419567,265.2747,269.579032,274.0323354,278.7953688,283.7620279
East North Central,NREL High Electrification,Transportation: Heavy Duty,0.162047988,0.276272151,0.415596668,0.602104094,0.857658228,1.178502075,1.583021924,2.087220402,2.674179904,3.375970048,4.330389604,5.541656808,7.015228033,8.747354296,10.72699814,12.98624643,15.76955773,18.99441956,22.45319443,25.97305324,29.61602659,33.34823577,36.8331867,40.16366614,43.43842499,46.61097541,49.71741107,52.60308555,55.26699812,57.78560207,60.03186737,62.13927015,64.20499705,66.16548664
East North Central,NREL High Electrification,Transportation: Light Duty,1.293377878,1.678708854,2.219176093,2.98037276,4.017764606,5.551512951,7.33658308,9.622131896,12.37896747,16.42829629,21.95849908,27.92809408,34.05599546,40.29797305,46.93701547,54.16379568,61.5984873,68.82029057,75.87674485,82.83832894,89.4851869,95.78236294,101.7394638,107.3857366,112.9722116,118.2695442,123.3159515,128.1714762,132.9125848,137.8691679,142.8328106,147.8243177,152.8468184,157.8953217
East North Central,NREL High Electrification,Transportation: Other,1.073214485,1.091856571,1.104646311,1.118619697,1.133913951,1.149272271,1.164765086,1.179993455,1.193876421,1.206657073,1.220239697,1.23471653,1.24794656,1.259464959,1.270326787,1.281805656,1.294609027,1.307252458,1.319948597,1.331976805,1.344513004,1.357220502,1.368941098,1.380135982,1.391166383,1.402378989,1.413326693,1.423838653,1.434231112,1.444475444,1.454319473,1.464143509,1.474220177,1.484184615
East North Central,NREL Medium Electrification,Buildings Other,335.1845186,332.5526512,332.1719978,332.5138607,333.1142426,333.813545,334.4824665,335.3399127,336.288382,337.3117242,338.5478307,339.9776662,341.5597562,343.2994819,345.3135859,347.6767829,350.3302418,353.2962926,356.4824776,359.7358934,363.162145,366.7420352,370.4454426,374.2128025,377.3066139,380.5316812,383.8903618,387.2911066,390.6976548,394.2225778,397.7360953,401.3384609,405.02694,408.7824159
East North Central,NREL Medium Electrification,Buildings: Space Heating,19.92135032,20.51849753,21.0107136,21.49877372,21.97446333,22.44358248,22.89781132,23.34311578,23.77607195,24.20593032,24.6345404,25.05931843,25.47848242,25.88483842,26.30179263,26.70160514,27.11529345,27.53108432,27.98641529,28.4721913,29.03271077,29.65838317,30.37885058,31.18516439,31.80506377,32.51457965,33.32127715,34.21825886,35.19432847,36.24924384,37.36537794,38.52479755,39.72291375,40.94148816
East North Central,NREL Medium Electrification,Buildings: Water Heating,15.29799379,15.22655617,15.14160643,15.04229742,14.94509225,14.84985541,14.76357456,14.68920696,14.62882014,14.58587446,14.5628938,14.56033696,14.57711372,14.61562026,14.67618075,14.75427341,14.8455097,14.94927279,15.06317896,15.18451309,15.31106855,15.44240414,15.57861366,15.71915601,15.73569211,15.75640485,15.78158957,15.81085775,15.84420068,15.88092657,15.91993913,15.96037184,16.00096243,16.04042109
East North Central,NREL Medium Electrification,Industry,186.7008054,192.7154061,196.5269567,199.8868034,204.5999233,208.6789016,212.689371,214.8223873,214.8409905,214.84102,215.3343728,214.9633786,214.8678807,214.6618651,214.5384757,214.8745586,216.0492856,217.591153,218.8271221,219.9178937,221.6747539,223.6708042,225.2621636,226.957098,228.6503133,230.9918961,233.72735,236.3519976,238.9365808,241.5315599,244.017509,246.6999257,249.7127147,252.9619954
East North Central,NREL Medium Electrification,Transportation: Heavy Duty,0.050072361,0.085551677,0.129087536,0.188272526,0.268443886,0.368622395,0.495636346,0.653066753,0.834890985,1.052615058,1.350187801,1.727908144,2.188030007,2.730373178,3.3681002,4.106926165,5.029974243,6.098895011,7.240830738,8.407696424,9.616522904,10.86253516,12.02125106,13.15116662,14.25115007,15.32210272,16.366847,17.33268194,18.2261081,19.07669575,19.84030322,20.56509011,21.2791731,21.95842982
East North Central,NREL Medium Electrification,Transportation: Light Duty,1.290739398,1.664293083,2.175047043,2.891779671,3.867319357,5.271634372,6.946297643,8.992560933,11.48479637,14.88069308,19.21541488,24.58145807,30.03392832,35.61276058,41.3506779,47.37305322,53.51207456,59.43628365,65.02115981,70.32844106,75.19763857,79.61396326,83.59418208,87.16531258,90.46456222,93.37073465,95.91360678,98.14387817,100.1328229,102.1288588,104.0256388,105.8656123,107.6724006,109.459694
East North Central,NREL Medium Electrification,Transportation: Other,1.073214485,1.091856571,1.104646311,1.118619697,1.133913951,1.149272271,1.164765086,1.179993455,1.193876421,1.206657073,1.220239697,1.23471653,1.24794656,1.259464959,1.270326787,1.281805656,1.294609027,1.307252458,1.319948597,1.331976805,1.344513004,1.357220502,1.368941098,1.380135982,1.391166383,1.402378989,1.413326693,1.423838653,1.434231112,1.444475444,1.454319473,1.464143509,1.474220177,1.484184615
