Retail sales of electricity all sectors annual
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=1,0&geo=vvg&endsec=g&linechart=ELEC.SALES.US-ALL.A~ELEC.SALES.NEW-ALL.A~ELEC.SALES.MAT-ALL.A~ELEC.SALES.ENC-ALL.A~ELEC.SALES.WNC-ALL.A~ELEC.SALES.SAT-ALL.A~ELEC.SALES.WSC-ALL.A~ELEC.SALES.ESC-ALL.A~ELEC.SALES.MTN-ALL.A~ELEC.SALES.PCC-ALL.A~ELEC.SALES.PCN-ALL.A&columnchart=ELEC.SALES.US-ALL.A&map=ELEC.SALES.US-ALL.A&freq=A&start=2001&end=2018&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
14:13:01 GMT-0800 (Pacific Standard Time)
Data source: U.S. Energy Information Administration
Year,United States million kilowatthours,New England million kilowatthours,Middle Atlantic million kilowatthours,East North Central million kilowatthours,West North Central million kilowatthours,South Atlantic million kilowatthours,West South Central million kilowatthours,East South Central million kilowatthours,Mountain million kilowatthours,Pacific Contiguous million kilowatthours,Pacific Noncontiguous million kilowatthours
2018,3860118.79785,118634.344,374923.344,575621.93098,308520.01002,835991.284,632892.51499,320197.43195,283325.09499,394703.21498,15309.62797
2017,3723355.97399,115458.11898,361366.269,553784.31102,295636.89096,800716.93001,599664.38801,303944.78898,278014.35202,399259.92505,15510
2016,3762461.6298,117801.602,368490.092,569557.17702,295254.98699,816179.093,597819.45981,312587.31903,276122.00805,393081.30096,15568.59101
2015,3758992.38937,120170.38704,370747.30606,563526.56486,294805.73464,815536.60999,591815.38203,313207.80997,274961.54195,398550.49693,15670.556
2014,3764700.26701,119983.45901,367925.68902,571971.35709,301177.84894,805631.00593,588951.81106,318960.51198,272397.80404,402060.51603,15640.264
2013,3724867.82103,121356.74701,368791.28899,569761.64299,297547.04399,787043.51303,571237.39203,318341.95202,273160.70506,401856.15997,15771.376
2012,3694649.78562,120456.08001,362925.30899,574808.57391,293705.57481,780723.00505,556035.065,320000.18497,271377.09,398563.33497,16055.568
2011,3749846.18003,120995.461,369663.60904,577115.19604,294295.52502,801147.13,570208.82003,328604.59598,268696.58705,402838.06299,16281.19296
2010,3754841.36823,123330.89001,372766.96803,577302.10398,293912.6391,825431.79699,549577.50702,337640.774,263678.33506,394936.80706,16263.54702
2009,3596795.1339,119170.56401,359561.68799,546707.52503,277897.19399,783606.37301,521738.68597,312700.35698,261655.81601,397360.57498,16396.35598
2008,3733964.61911,123051.40901,374973.06802,586892.52302,290840.12607,803084.37201,528953.96809,335026.707,269750.64304,404675.57997,16716.22299
2007,3764560.71198,128241.015,381684.807,597844.177,289956.928,817490.43599,525643.60999,339102.67899,269011.32801,398673.823,16911.909
2006,3669918.84001,124500.809,368069.324,579379.58501,280451.215,795787.61803,521732.89901,330289.31099,256896.74799,396061.128,16750.20301
2005,3660968.51301,127862.289,380317.32399,592491.67402,276367.58901,798151.92901,511519.45702,328359.57101,245353.247,384093.952,16451.48101
2004,3547479.483,125248.95299,366176.36901,571151.08198,261030.09799,778025.91,494966.354,319084.87798,237631.80599,377644.029,16520.00399
2003,3493734.48598,123438.00899,360796.34299,565023.59501,260667.565,764055.77801,493991.704,312063.54001,231193.88701,366549.547,15954.51798
2002,3465466.01103,119727.733,361862.60601,564995.777,259591.28801,755377.543,492041.862,314018.79,226620.92399,355872.36101,15357.12702
2001,3394458.104,118482.744,352630.08301,557192.87101,252350.11099,720423.64102,484136.099,299751.34,222113.717,372138.855,15238.643
