,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,WECC_AZPublicService,SH,WECC_AZPublicService_capacity_SH0,,,,,,,,,,-679.5991341359954,-689.693355114038,-704.8379813109465,-724.6808326707715,-748.5632943167917,-775.731138230999,-805.424105014087,-836.9541081663967,-869.8112437728805,-903.5720070178639,-937.7976613744594,-972.1109825575414,-1006.1949238187888,-1045.7915660453941,-1090.4199845789797,-1139.7735440871454,-1193.6646679997393,-1251.9199469847356,-1314.430483504551,-1380.873257652825,-1450.7894216181376,-1523.5258169503688,-1598.2847427911227,-1669.6676614369512,-1737.112263819362,-1800.3322212337446,-1859.1599255787316,-1913.4281252649455,-1962.9925647813352,-2007.7737366795936,-2047.6161764162694,-2082.37493549694,-2112.0143753795246,,,,
1,WECC_CA_BANC,SH,WECC_CA_BANC_capacity_SH1,,,,,,,,,,-236.15876444689633,-239.2217372664305,-243.5408228985664,-249.0136410749678,-255.45600310427312,-262.6618499254381,-270.4222615249825,-278.5460374163465,-286.89213867800026,-295.3417356700537,-303.76790176590555,-312.05867987119433,-320.1153368563363,-329.9431864292223,-341.39982620873826,-354.4011523750584,-368.9043755269381,-384.8746290271529,-402.29888985804075,-421.0983009238213,-441.150875761953,-462.27202311873333,-484.22821315190794,-505.3354268048659,-525.4234844837803,-544.394531881491,-562.1760992966539,-578.6878965362213,-593.8523811405287,-607.6114387926378,-619.8869265042291,-630.6100222009451,-639.7534829015999,,,,
2,WECC_CA_IID,SH,WECC_CA_IID_capacity_SH2,,,,,,,,,,-54.57943611720018,-55.28732993483607,-56.285528154986764,-57.55036933392644,-59.03928501167346,-60.704652194497356,-62.49818668445171,-64.37569950228684,-66.30459467458753,-68.25740908875495,-70.20480831070878,-72.12091756466468,-73.98291830924272,-76.25426525327453,-78.9020473096736,-81.90682696540861,-85.25871501989374,-88.94965332883997,-92.97663209939807,-97.32142640635033,-101.95584355333406,-106.83722204284838,-111.91159001771231,-116.78974824267526,-121.4323659467981,-125.81682769626904,-129.92638477780517,-133.74248105832152,-137.2471954425178,-140.42709693766233,-143.26412565828355,-145.742375906282,-147.855551465827,,,,
3,WECC_CA_LDWP,SH,WECC_CA_LDWP_capacity_SH3,,,,,,,,,,-383.699304660489,-388.6758743160841,-395.6933151368854,-404.58528462925926,-415.0525219422807,-426.7602323092729,-439.3689726268229,-452.56808961930255,-466.12843008865946,-479.85692540030095,-493.5473513284022,-507.0178054169653,-520.1078708664827,-536.0756841138805,-554.6898766781139,-575.8138007525177,-599.3779341936187,-625.3256273805978,-653.635721146091,-684.1800923061488,-716.7605431738689,-751.0771588345622,-786.7505113288205,-821.0444881834527,-853.682589849641,-884.5058273959215,-913.3964555669788,-940.2240227519419,-964.8625417238509,-987.2175911596089,-1007.1622081224277,-1024.5845738443784,-1039.440425251158,,,,
4,WECC_CA_PGandE_BayArea,SH,WECC_CA_PGandE_BayArea_capacity_SH4,,,,,,,,,,-593.2139142716769,-600.9078827756161,-611.7571167640928,-625.504444330461,-641.6871966645111,-659.787768152666,-679.2813666735892,-699.6877102893716,-720.6525193233665,-741.8773022248764,-763.0432283920908,-783.8690696168072,-804.1068153438983,-828.7936700861279,-857.5719292539579,-890.2303300713445,-926.6613886248239,-966.7775224171126,-1010.5460185599094,-1057.7687936724615,-1108.1394264915064,-1161.1942369990447,-1216.3466149452001,-1269.3664249859805,-1319.8261881615433,-1367.4801014557931,-1412.1461261656505,-1453.6225790725957,-1491.7146790677095,-1526.2764471461194,-1557.1115937139036,-1584.0472426459128,-1607.0149615232037,,,,
5,WECC_CA_PGandE_North,SH,WECC_CA_PGandE_North_capacity_SH5,,,,,,,,,,-627.6048277820848,-635.7448455087493,-647.2230517090628,-661.7673652225909,-678.8882945320817,-698.0382264171558,-718.6619445199211,-740.2513230940382,-762.4315434946657,-784.8868094571458,-807.2798065319568,-829.3130026199185,-850.7240090312275,-876.8420565790515,-907.2887031501609,-941.840438245247,-980.3835466911224,-1022.8253684931344,-1069.1312942698528,-1119.091756977968,-1172.382570924037,-1228.513174759377,-1286.862950160662,-1342.9565244163111,-1396.3416359516764,-1446.7582315955929,-1494.013719154676,-1537.89472305128,-1578.1951699594465,-1614.7606179046888,-1647.3833976233166,-1675.880610690086,-1700.1798573930687,,,,
6,WECC_CA_PGandE_ZP26,SH,WECC_CA_PGandE_ZP26_capacity_SH6,,,,,,,,,,-87.56184805038998,-88.69752286319937,-90.29893334111856,-92.32811940453577,-94.71678842732989,-97.38853878945169,-100.26590810021716,-103.27800393270103,-106.37253253170388,-109.50543479615312,-112.6296494619113,-115.70366559836529,-118.69087539504315,-122.33479973966193,-126.58263933982045,-131.403210572462,-136.7806481824532,-142.70202448024654,-149.16251085193755,-156.1328690304029,-163.56786944255316,-171.39907020207508,-179.5398842004589,-187.3659186860984,-194.81407526088472,-201.84807196003595,-208.44103880482294,-214.56320617098459,-220.18582322606082,-225.2873426139701,-229.83879084103123,-233.8146503786804,-237.20482020109023,,,,
7,WECC_CA_SCE,SH,WECC_CA_SCE_capacity_SH7,,,,,,,,,,-1314.836222333068,-1331.8896127527605,-1355.9365298756168,-1386.4069618895571,-1422.2754208618626,-1462.394653511311,-1505.6014779338238,-1550.831367364768,-1597.2990742897412,-1644.3430034671678,-1691.2564789173332,-1737.41616894489,-1782.2723675271761,-1836.989848101465,-1900.775771963363,-1973.1618831537796,-2053.9099476405377,-2142.8258421283135,-2239.8370597364674,-2344.5045561374977,-2456.149160181609,-2573.7431426322314,-2695.986304039599,-2813.5027092783835,-2925.344867389317,-3030.967965276572,-3129.968521034352,-3221.899511430791,-3306.3292114991063,-3382.9340642918137,-3451.2790013421345,-3510.9808492519815,-3561.8879301509555,,,,
8,WECC_CA_SDGE,SH,WECC_CA_SDGE_capacity_SH8,,,,,,,,,,-266.55892348851967,-270.0161855527155,-274.8912568601612,-281.06857797278917,-288.3402500247536,-296.4736884595775,-305.2330794847094,-314.4026098272976,-323.8230849591146,-333.36037858185483,-342.8712251045584,-352.2292554609753,-361.3230268393338,-372.4159922369601,-385.3474181511157,-400.0223742762215,-416.3925630326424,-434.41862948343146,-454.0858741886732,-475.3052889652077,-497.9391843217671,-521.7792070092661,-546.5617654413434,-570.3860607722916,-593.0600065917819,-614.4731520391978,-634.5436985599905,-653.1810203945121,-670.2975932257159,-685.8278218181315,-699.6835040214235,-711.7869584584225,-722.1074352234261,,,,
9,WECC_CA_TIDC,SH,WECC_CA_TIDC_capacity_SH9,,,,,,,,,,-36.50366587623496,-36.977117440288204,-37.6447295832277,-38.49067712441102,-39.48648954544182,-40.60031576879286,-41.799862492181674,-43.0555753660456,-44.345653642573595,-45.65172951957589,-46.954183622861144,-48.23571045722735,-49.481048589622546,-51.00016450272769,-52.771046695287076,-54.78069502417652,-57.02249542190743,-59.49105846294459,-62.18437114604903,-65.09024432768807,-68.1898222474987,-71.45457216199108,-74.84839676453448,-78.11099291069249,-81.2160555042026,-84.14845895384875,-86.89700143203744,-89.4492722777161,-91.79328555402802,-93.9200583819634,-95.81751199941114,-97.47500840183594,-98.88833657176816,,,,
10,WECC_ElPasoElectric,SH,WECC_ElPasoElectric_capacity_SH10,,,,,,,,,,-168.7816658418562,-171.28861346211158,-175.04985315426651,-179.9779193323105,-185.90924187018314,-192.65650466503809,-200.03089369189874,-207.86151940747078,-216.0217447578232,-224.40639031483263,-232.90649378270692,-241.42836972242566,-249.89327807143795,-259.7272918319868,-270.81097108587886,-283.0681614950509,-296.4522775293091,-310.9202521591917,-326.4450401651329,-342.94641802247406,-360.3104287025942,-378.3748572088394,-396.9415907524187,-414.66987690895417,-431.4200635562887,-447.12103960361173,-461.7311787845898,-475.2089433743322,-487.51850683298744,-498.64012310895225,-508.5351818460551,-517.1676843987399,-524.5287797661762,,,,
