,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,WECC_AZPublicService,SH,WECC_AZPublicService_capacity_SH0,,,,,,,,,,-679.5991341359954,-691.5415323960251,-702.5891903023936,-713.2611029061416,-723.7360705909502,-734.0728623467339,-744.469574277851,-755.6867352841493,-767.9832331783488,-781.6630765058434,-797.3416770048583,-815.2350641234091,-836.4009776138342,-861.0805266621637,-889.3386085650222,-921.2014421126189,-956.584722000196,-994.692824313523,-1035.5656519114405,-1077.8523778669112,-1121.2493392475378,-1164.7511037250163,-1208.0077432875817,-1245.8277205464283,-1282.842436435864,-1318.194941324449,-1352.0030451232608,-1383.4183833747693,-1412.7532836027333,-1439.0022936244854,-1462.4386109544362,-1482.6215466664898,-1500.1092870754283,,,,
1,WECC_CA_BANC,SH,WECC_CA_BANC_capacity_SH1,,,,,,,,,,-236.15876444689633,-238.98298081287717,-241.6393309073701,-244.30485568700178,-246.94801420686613,-249.5867695038218,-252.43467617732935,-255.32383836960742,-258.4306600761719,-261.89676574882,-265.75958033712595,-270.1247897489134,-275.0513469967154,-280.58204950976796,-286.65525021123284,-293.3001439263024,-300.4503431692903,-307.9339023056819,-315.6138409536878,-323.5435050342082,-331.55492081149106,-339.35015064306003,-346.9523761233557,-352.53927890107883,-357.76408542549717,-362.6588023199943,-367.000431455925,-370.845410032822,-374.1383701144677,-376.8334344851897,-378.91241222031573,-380.38461578908596,-381.284489872171,,,,
2,WECC_CA_IID,SH,WECC_CA_IID_capacity_SH2,,,,,,,,,,-54.57943611720018,-55.23215013816494,-55.846068027796754,-56.46210630937168,-57.072975450394,-57.68282694795086,-58.341016114541816,-59.008739981047434,-59.726767860546666,-60.52783105029885,-61.42057895465384,-62.42943699465443,-63.56802999675579,-64.84624901691953,-66.24984659454438,-67.78557004260962,-69.43807632888667,-71.16762652690959,-72.9425626458573,-74.77521363862166,-76.62675853744699,-78.42833998460384,-80.1853155553481,-81.47652320526922,-82.6840455879007,-83.81527986023724,-84.81868818439618,-85.70731394893747,-86.46836088629594,-87.09122616084156,-87.57170560757793,-87.91195146218932,-88.11992434918464,,,,
3,WECC_CA_LDWP,SH,WECC_CA_LDWP_capacity_SH3,,,,,,,,,,-383.699304660489,-388.28795441217466,-392.6038631889626,-396.9346785491097,-401.22915429535055,-405.51647589860505,-410.14361651276823,-414.8377870925679,-419.88560029274635,-425.517160652531,-431.793274414545,-438.8856549151082,-446.89008614923586,-455.87610330389236,-465.74354519906575,-476.539846170518,-488.15714305189357,-500.31606691713426,-512.7940586866827,-525.6777922250628,-538.694351954654,-551.359663246602,-563.7113904310386,-572.7887190495162,-581.2777312405319,-589.2304298131518,-596.2844982253572,-602.5316329012401,-607.8818747038741,-612.2606845586904,-615.6385067337037,-618.0304716771977,-619.4925434354508,,,,
4,WECC_CA_PGandE_BayArea,SH,WECC_CA_PGandE_BayArea_capacity_SH4,,,,,,,,,,-593.2139142716769,-600.3081436522272,-606.9807049730857,-613.6763124463752,-620.3157374758953,-626.9441019246101,-634.0978396621385,-641.3552083101371,-649.1593220800061,-657.8659314585169,-667.5690452404745,-678.5341388623301,-690.9092980722662,-704.8020269494867,-720.057472449091,-736.7489698824711,-754.7097586369747,-773.5079235849485,-792.7993798111027,-812.7181284507398,-832.842231501628,-852.4232909294362,-871.5195372402782,-885.5534371600659,-898.6777772069895,-910.9729557282561,-921.8788173848137,-931.5371283826454,-939.8088084286877,-946.5786172406307,-951.8008605176319,-955.4989305159246,-957.7593498081274,,,,
5,WECC_CA_PGandE_North,SH,WECC_CA_PGandE_North_capacity_SH5,,,,,,,,,,-627.6048277820848,-635.1103371801463,-642.1697327841491,-649.2535106155061,-656.2778488887243,-663.2904853563296,-670.858953041839,-678.5370595240015,-686.7936080652537,-696.0049733891353,-706.2706143452348,-717.87139701165,-730.9639922422651,-745.6621365450941,-761.8019994430726,-779.4611677802875,-798.4632131839935,-818.3511807298614,-838.7610375642988,-859.8345533886238,-881.1253288166215,-901.8415782745736,-922.0449081170888,-936.8924076958591,-950.777616684957,-963.7855944358895,-975.3237112300353,-985.5419520106855,-994.2931734602677,-1001.4554543699351,-1006.980451362837,-1010.8929128351105,-1013.2843774087966,,,,
6,WECC_CA_PGandE_ZP26,SH,WECC_CA_PGandE_ZP26_capacity_SH6,,,,,,,,,,-87.56184805038998,-88.60899785606678,-89.59390698652984,-90.58221786406725,-91.56223588385791,-92.54062129714268,-93.59655488483484,-94.66778500185245,-95.81971790100606,-97.10486443768376,-98.53710086058446,-100.15561289895096,-101.98225887651576,-104.03290702499349,-106.28470012802173,-108.74846290706836,-111.39958051903106,-114.17429976145064,-117.0218316856119,-119.96195564389626,-122.9323911159902,-125.82267016884832,-128.64138796621438,-130.71287378737813,-132.65010324424497,-134.46494360373546,-136.07471265711732,-137.50033592668248,-138.72128434661673,-139.72054777631786,-140.49138146936156,-141.03723825977042,-141.37088938600377,,,,
7,WECC_CA_SCE,SH,WECC_CA_SCE_capacity_SH7,,,,,,,,,,-1314.836222333068,-1330.560313651019,-1345.3497936502781,-1360.1903545754442,-1374.9063892372337,-1389.597908539668,-1405.45389788193,-1421.539581220846,-1438.837104459879,-1458.1349751084897,-1479.6415601075967,-1503.9452757292881,-1531.374348437975,-1562.1670569624357,-1595.9801753808301,-1632.976248639383,-1672.785658142341,-1714.4510803321318,-1757.2098639976202,-1801.3590175910538,-1845.9633314763034,-1889.3640096936178,-1931.6901179591603,-1962.7957267643565,-1991.885330485298,-2019.1371290201673,-2043.3095592292602,-2064.7168405505327,-2083.0507067705103,-2098.0557321585957,-2109.630637023845,-2117.8272694181614,-2122.8374033539067,,,,
8,WECC_CA_SDGE,SH,WECC_CA_SDGE_capacity_SH8,,,,,,,,,,-266.55892348851967,-269.7466945457475,-272.74499030349773,-275.7536417818991,-278.7370478448275,-281.71548386837935,-284.9299948303752,-288.1910720364704,-291.697827551186,-295.61011680694344,-299.97018237853524,-304.8973148706671,-310.4580561777041,-316.7007129406973,-323.5557024004522,-331.0559775629387,-339.1266050384981,-347.57350503787455,-356.2420640187998,-365.1924949963652,-374.23520137320884,-383.03389269900066,-391.6147346799904,-397.9208262347664,-403.81820974219886,-409.3430119625781,-414.2435287457285,-418.58346231835924,-422.30031736081315,-425.34231099198104,-427.68891061249354,-429.3506274637247,-430.3663402085986,,,,
9,WECC_CA_TIDC,SH,WECC_CA_TIDC_capacity_SH9,,,,,,,,,,-36.50366587623496,-36.940212242944725,-37.3508110895587,-37.76282809078406,-38.17138788187642,-38.57926705551122,-39.019475293811844,-39.46606050345323,-39.94628990243014,-40.48205474546869,-41.07913990300505,-41.75388151685489,-42.51539210535711,-43.370286976907465,-44.30903718473829,-45.336155447852896,-46.44138008233065,-47.59813301047071,-48.785240823358315,-50.01094933679858,-51.249294419668836,-52.45422308647698,-53.629318575727446,-54.49290046631984,-55.300512210402395,-56.0571011538361,-56.7281979039725,-57.322526103482915,-57.831527388468906,-58.24811040004672,-58.569463320337064,-58.79702560159329,-58.93612144644393,,,,
