,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,WECC_AZPublicService,SH,WECC_AZPublicService_capacity_SH0,,,,,,,,,,-679.5991341359954,-691.4403179135152,-702.2435006801427,-712.4470300360825,-722.1178041360936,-731.1624098927208,-739.5734531596686,-747.8361630954694,-755.8608075815316,-763.5341712900896,-771.0010795390324,-777.9838275421497,-785.0609672437777,-792.1056520318506,-799.251932795949,-806.6804165156518,-814.7524811343874,-823.5679673346799,-833.9693512856167,-845.6651571991486,-859.0251776913174,-873.8787705844832,-890.3880479328635,-905.446593219069,-922.5191565322818,-941.3498915275613,-962.2648511423904,-984.8756140006711,-1009.3212402334281,-1035.0870869046446,-1062.1835703245158,-1090.1212680434926,-1118.9910214638878,,,,
1,WECC_CA_BANC,SH,WECC_CA_BANC_capacity_SH1,,,,,,,,,,-236.15876444689633,-238.96376981908756,-241.57413074604003,-244.15185203842753,-246.6449673654596,-249.04314175368074,-251.52173085214116,-253.86313025061824,-256.17995942154994,-258.5385274147623,-260.8956232971627,-263.27788553802117,-265.6668080380525,-268.06896706505626,-270.43988961469074,-272.8568371140741,-275.3022045067486,-277.77736511891237,-280.336578967175,-283.1496709847898,-286.2318344409888,-289.391762172223,-292.7622905090059,-294.9299521010016,-297.3209078769166,-300.0038136324477,-302.84615384256074,-305.92156656852944,-309.18642373233223,-312.60690138436115,-316.1345789257219,-319.72605262216354,-323.3456875135756,,,,
2,WECC_CA_IID,SH,WECC_CA_IID_capacity_SH2,,,,,,,,,,-54.57943611720018,-55.227710221608206,-55.83099940204205,-56.4267451281654,-57.00293728873692,-57.55718733372839,-58.130022289386496,-58.67115087800073,-59.206600959751846,-59.75169743929646,-60.296453694423775,-60.84702623020867,-61.39913804060358,-61.95430898869341,-62.50226077079085,-63.06084953183124,-63.62600650876644,-64.19804909557367,-64.78951750483914,-65.4396605407193,-66.15198957010922,-66.88229095928614,-67.66126495362212,-68.16224042095712,-68.71482214849213,-69.33487740511339,-69.99178008786816,-70.70254893358158,-71.45710091229347,-72.24761885871168,-73.06291212746554,-73.89294953742844,-74.72949537465836,,,,
3,WECC_CA_LDWP,SH,WECC_CA_LDWP_capacity_SH3,,,,,,,,,,-383.699304660489,-388.2567413213704,-392.4979291296247,-396.68608564295204,-400.7367784879162,-404.6332159009852,-408.66030723441816,-412.464499398246,-416.228771048234,-420.0608579119572,-423.89055296144375,-427.76113708935947,-431.64254248329706,-435.54545394416937,-439.39761389186083,-443.3245529452824,-447.2976672627042,-451.3191881579147,-455.47727467380463,-460.0478501238955,-465.0555997950259,-470.1896970879707,-475.6659680287973,-479.18787943249214,-483.0725883944533,-487.431643521109,-492.0497400155721,-497.046521427695,-502.35110297266095,-507.9085291379107,-513.6401284831933,-519.4753807265669,-525.3563879134584,,,,
4,WECC_CA_PGandE_BayArea,SH,WECC_CA_PGandE_BayArea_capacity_SH4,,,,,,,,,,-593.2139142716769,-600.2598870107697,-606.8169268342378,-613.2919782317161,-619.5545054995193,-625.5785479240071,-631.804586345289,-637.6860140589586,-643.5057231195395,-649.4302771144178,-655.3511332722962,-661.3352055214508,-667.3360078649688,-673.3700594168959,-679.325647173284,-685.3968463094087,-691.539434183453,-697.7568604925364,-704.1854225149614,-711.2517083285923,-718.9938823383486,-726.9313946413594,-735.3979205927017,-740.8429313710049,-746.8488411580199,-753.5881083988025,-760.7278635786789,-768.4530802372502,-776.6541677650134,-785.2461628213525,-794.1074363273353,-803.1289612089535,-812.2212249968244,,,,
5,WECC_CA_PGandE_North,SH,WECC_CA_PGandE_North_capacity_SH5,,,,,,,,,,-627.6048277820848,-635.0592829138475,-641.9964597907933,-648.8468950544095,-655.472485339519,-661.8457648891308,-668.4327509276336,-674.6551478379998,-680.8122480253617,-687.0802714148778,-693.3443825894279,-699.6753747374748,-706.0240668884029,-712.4079358334274,-718.7087921320832,-725.1319622509712,-731.6306597900519,-738.2085344387795,-745.0097851577955,-752.4857309918842,-760.6767488846755,-769.074429589899,-778.0317929183173,-783.7924721093715,-790.1465678021236,-797.2765365271857,-804.8302110318948,-813.003288490023,-821.6798248989962,-830.7699312635083,-840.144927194749,-849.6894648959782,-859.3088425124694,,,,
6,WECC_CA_PGandE_ZP26,SH,WECC_CA_PGandE_ZP26_capacity_SH6,,,,,,,,,,-87.56184805038998,-88.6018748931607,-89.56973237402877,-90.52548788303527,-91.44987358580161,-92.33905752894921,-93.25805726426306,-94.12619044083559,-94.98521358274168,-95.85971245100033,-96.73366549686051,-97.6169496080337,-98.50270317911888,-99.3933645280974,-100.27244416131178,-101.16858871128194,-102.07527065707475,-102.99299919418917,-103.94189259916129,-104.98491777070237,-106.12770799849783,-107.29933130242466,-108.54904011914432,-109.35275560007314,-110.23926305973147,-111.23401837465505,-112.28788805494547,-113.4281752783911,-114.63870382918479,-115.90693262064283,-117.21490848836407,-118.54653839768089,-119.88860978386053,,,,
7,WECC_CA_SCE,SH,WECC_CA_SCE_capacity_SH7,,,,,,,,,,-1314.836222333068,-1330.453354628936,-1344.9867855950004,-1359.3384923133526,-1373.2191473299595,-1386.5712097041412,-1400.3709885714143,-1413.4069508287405,-1426.3061160239577,-1439.4376660537612,-1452.5610199676025,-1465.8244899587044,-1479.125041571702,-1492.4992887985884,-1505.6996239879552,-1519.1562074313413,-1532.771021314412,-1546.5517117604652,-1560.8003765359315,-1576.4625319938446,-1593.6227680954057,-1611.2159641417707,-1629.981698947258,-1642.0503595603477,-1655.3622316288363,-1670.2995627786672,-1686.124560310321,-1703.24721108383,-1721.4246116548634,-1740.4684439898672,-1760.1091218319766,-1780.1049907919858,-1800.2576498643507,,,,
8,WECC_CA_SDGE,SH,WECC_CA_SDGE_capacity_SH8,,,,,,,,,,-266.55892348851967,-269.7250105661769,-272.67139707965055,-275.58094233562076,-278.3949905004765,-281.10187620408,-283.8995282133263,-286.54233041707454,-289.1573995260139,-291.81958039708013,-294.4800996559923,-297.16902487914825,-299.8654677208833,-302.57685099639303,-305.25297679670115,-307.98105222965324,-310.7412059815238,-313.5349881635437,-316.42364355589183,-319.5988582537066,-323.0777813198238,-326.6444790721265,-330.44888754769005,-332.8955870881583,-335.59432494457127,-338.6225948107796,-341.83082275171745,-345.3021260820727,-348.9872605845558,-352.8480482325468,-356.8298353580091,-360.8836309666667,-364.9692128942993,,,,
9,WECC_CA_TIDC,SH,WECC_CA_TIDC_capacity_SH9,,,,,,,,,,-36.50366587623496,-36.93724275036592,-37.34073293340877,-37.73917792442891,-38.12454515440255,-38.49523711997749,-38.87835899354667,-39.24027510335103,-39.59839333007059,-39.962963233593975,-40.327305589173754,-40.69553797332235,-41.06479985081229,-41.43610773222291,-41.8025873112171,-42.17618108473014,-42.55416779403518,-42.93675971768476,-43.33234396560209,-43.76717081325528,-44.243588723234346,-44.73202685664084,-45.253018065755874,-45.58807907724229,-45.95765524340012,-46.37235886664573,-46.811706682423655,-47.287081114718006,-47.791738459619935,-48.32045046249319,-48.86573262718663,-49.420875927183324,-49.98037217530914,,,,
