,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,isoNE_Boston,SH,isoNE_Boston_capacity_SH0,,,,,,,,,-1488.5039874719803,-1492.3932944759326,-1496.2323436317452,-1500.0492414177434,-1502.78348977166,-1504.5355311481371,-1505.3786269034088,-1505.3541487031166,-1504.4859536021286,-1502.791359022194,-1500.2862978364194,-1496.9870437732225,-1492.909879011979,-1488.0695842785003,-1482.7949525507124,-1477.0886303870118,-1470.9479768629744,-1464.3655283740586,-1457.3306846017526,-1449.8321184451447,-1441.8601662335864,-1433.4084981994206,-1424.4747438488853,-1415.0601666002235,-1405.785925117566,-1396.651228532079,-1387.656514603395,-1378.8031608376923,-1370.0934688534244,-1361.530788610404,-1353.119595031822,-1344.865415044311,-1336.7743268586746,-1328.8516130280045,,,,
1,isoNE_ConnCentral,SH,isoNE_ConnCentral_capacity_SH1,,,,,,,,,-821.4481818299723,-823.5945409891448,-825.7131647721781,-827.8195640649767,-829.3284907174415,-830.2953750626034,-830.7606472292254,-830.7471386506164,-830.2680151190823,-829.3328334545774,-827.9503863978367,-826.1296547945502,-823.8796241541667,-821.2084513915798,-818.2975847233807,-815.1484846835015,-811.7596938471836,-808.1270933377332,-804.2448332464901,-800.1066625815001,-795.7072483340838,-791.0430973485785,-786.11290144052,-780.9173578419133,-775.7992601626992,-770.758171952744,-765.7943347947748,-760.9085088815466,-756.1019643878858,-751.3765500279508,-746.7347353399829,-742.1795704225187,-737.7144096066546,-733.3421681305559,,,,
2,isoNE_ConnNorwalk,SH,isoNE_ConnNorwalk_capacity_SH2,,,,,,,,,-311.292370083816,-312.1057448583775,-312.90860915745856,-313.70684091778395,-314.2786570886859,-314.64506330402605,-314.82138078659585,-314.8162616353887,-314.63469510083024,-314.280302793145,-313.75641677047514,-313.0664403743853,-312.2137787137973,-311.2015228971046,-310.09843373800146,-308.9050647139673,-307.62086352576125,-306.24426930208745,-304.77306518743154,-303.20488233352796,-301.53769976699306,-299.7701937370056,-297.9018684997666,-295.93298827523296,-293.9934566138034,-292.08310812026514,-290.2020343437404,-288.3505233635134,-286.5290565194189,-284.73833439199836,-282.9792928265422,-281.2530876749023,-279.5609900795564,-277.90410478626694,,,,
3,isoNE_ConnSW,SH,isoNE_ConnSW_capacity_SH3,,,,,,,,,-557.4228548400355,-558.8793431207115,-560.3170105763013,-561.7463826696319,-562.7703184710203,-563.4264322027223,-563.7421591653388,-563.7329924392816,-563.4078661407805,-562.7732653896278,-561.8351568125087,-560.5996346814103,-559.0727964330791,-557.2601772319811,-555.2849052134447,-553.1479714746716,-550.8483870283003,-548.3833568641818,-545.7489113189116,-542.9408085597635,-539.9554296841836,-536.7904042872639,-533.4448446539486,-529.9192239157913,-526.4461568583637,-523.0253473129169,-519.6569592139962,-516.3415084174093,-513.0798568454217,-509.87325900872173,-506.72339070024094,-503.63232167272963,-500.60232812675326,-497.63538830076516,,,,
4,isoNE_MaineBHE,SH,isoNE_MaineBHE_capacity_SH4,,,,,,,,,-94.85682361690341,-95.1046746885639,-95.34932301446327,-95.59255971594172,-95.76680319531107,-95.8784542766765,-95.9321816338237,-95.93062172914954,-95.87529488404022,-95.76730467338314,-95.60766643992959,-95.39741724787231,-95.13759469995212,-94.82914071685786,-94.49300805234508,-94.12936536173817,-93.73804434874488,-93.3185693856036,-92.8702649534365,-92.3924092182261,-91.88438635017958,-91.34579297674357,-90.77647803516608,-90.1765220383933,-89.58550911810204,-89.00338887516263,-88.43018920636848,-87.86599789506566,-87.31096161483883,-86.76529384616889,-86.22927975926932,-85.70327156462065,-85.18765660399347,-84.68277151485145,,,,
5,isoNE_MaineCentral,SH,isoNE_MaineCentral_capacity_SH5,,,,,,,,,-314.52267538178563,-315.3444906100684,-316.15568629484386,-316.96220136864616,-317.53995132072566,-317.9101597620514,-318.0883069049431,-318.083134631903,-317.89968396719917,-317.5416141027888,-317.01229167384247,-316.31515533866656,-315.45364554126485,-314.4308854667046,-313.3163494650275,-312.11059675719247,-310.81306931270575,-309.42219006298825,-307.935719148042,-306.35126313787765,-304.66678008731253,-302.8809325088595,-300.9932195143473,-299.003908065564,-297.0442497322221,-295.1140774027897,-293.2134835764014,-291.34275932176274,-289.50239097360964,-287.6930863824627,-285.91579110495206,-284.17167298729504,-282.46201636271417,-280.78793744100517,,,,
6,isoNE_MaineSouth,SH,isoNE_MaineSouth_capacity_SH6,,,,,,,,,-228.3696405116357,-228.96634676825815,-229.55534235241402,-230.14093942342924,-230.56043397561646,-230.82923611701156,-230.95858577019942,-230.95483026947645,-230.82162981803302,-230.56164129379007,-230.17730915409146,-229.67113015107213,-229.04560233343207,-228.30299339347735,-227.49374749179063,-226.61827066933267,-225.67615774951943,-224.66626364930062,-223.58696204389108,-222.4365151039097,-221.21344020719982,-219.91676622652466,-218.54612947538226,-217.1017237902505,-215.6788487350015,-214.27738297275422,-212.89739366557924,-211.53909215358286,-210.20283155626166,-208.8891258320091,-207.59866153363873,-206.3322866147058,-205.09093360802694,-203.87541297481752,,,,
7,isoNE_MassCentral,SH,isoNE_MassCentral_capacity_SH7,,,,,,,,,-425.27003249187413,-426.38121911271134,-427.4780469163124,-428.5685460074344,-429.349728924039,-429.85029237524407,-430.0911673492151,-430.08417385432284,-429.8361279223575,-429.35197719240676,-428.6362737338774,-427.6936669995563,-426.52880885669464,-425.14592220277797,-423.6389441730661,-422.0086308971926,-420.2542278551667,-418.3736026728911,-416.3637268077247,-414.221364073125,-411.9437535295409,-409.52908674345827,-406.976686457733,-404.2869136347287,-401.6372351589824,-399.0274250769072,-396.4576084577369,-393.9281788590989,-391.4397938602556,-388.99341055472513,-386.5903074414214,-384.23206357978137,-381.92041553277534,-379.6568725415905,,,,
8,isoNE_MassSE,SH,isoNE_MassSE_capacity_SH8,,,,,,,,,-708.6947304941893,-710.5464765440313,-712.3742942252276,-714.1915653716528,-715.4933740443821,-716.327542109478,-716.7289501836866,-716.7172958168155,-716.3039376408956,-715.4971206896269,-714.3044307963742,-712.7336160798344,-710.792428682307,-708.4879058859112,-705.9765899994626,-703.2597410813854,-700.3361017556576,-697.2021185099916,-693.8527444046857,-690.2825864701575,-686.4870437160679,-682.4631024635676,-678.2096340919396,-673.7272401298728,-669.3116617213442,-664.9625223241482,-660.6800303609338,-656.4648416790343,-652.3180521067999,-648.2412566005671,-644.2365857253271,-640.3066709176186,-636.454406087033,-632.6823063209146,,,,
9,isoNE_MassWest,SH,isoNE_MassWest_capacity_SH9,,,,,,,,,-518.9454956906582,-520.3014466105392,-521.6398758548755,-522.9705823428841,-523.9238386857002,-524.5346626997698,-524.8285959027148,-524.8200619304238,-524.5173782017738,-523.9265821866604,-523.0532286520184,-521.9029911990822,-520.4815463753908,-518.7940472683041,-516.955122818252,-514.965695709735,-512.8248452224561,-510.5299692780925,-508.07737222813375,-505.4631050418437,-502.6837986195104,-499.7372461787258,-496.62262128095114,-493.3403643987762,-490.10703356198997,-486.922353045554,-483.7864754680647,-480.69988107722924,-477.66337229920094,-474.67811704926254,-471.7456754449908,-468.8679743698236,-466.0471329044923,-463.28499273511653,,,,
