,ID,Date,Hour,Data,Primary Key,ISO NEW ENGLAND_SH,MISO_SH,PJM INTERCONNECTION _SH,NEW YORK INDEPENDENT SYSTEM OPERATOR_SH,DUKE ENERGY CAROLINAS_SH,FLORIDA POWER LIGHT COMPANY_SH,ISO NEW ENGLAND_WH,PJM INTERCONNECTION _WH,NEW YORK INDEPENDENT SYSTEM OPERATOR_WH,EASTERN_WH,CENTRAL_WH,EASTERN_HDV,CENTRAL_HDV,EASTERN_LDVU,CENTRAL_LDVU,EASTERN_LDVM_CHARGING,EASTERN_LDVM,EASTERN_LDVM_DISCHARGING,CENTRAL_LDVM_DISCHARGING,ERCOT_AEN_SH,ERCOT_CPS_SH,ERCOT_Houston_SH,ERCOT_LCRA_SH,ERCOT_North_SH,ERCOT_RAYBURN_SH,ERCOT_South_SH,ERCOT_West_SH,CA_SH,OR_SH,WA_SH,NV_SH,ID_SH,MT_SH,WY_SH,UT_SH,CO_SH,AZ_SH,NM_SH,WECC_EV_Flat,WECC_EV_LDVUse,WECC_EV_LDVChar,WECC_WH
0,ElecLoadShapes,39814,1,,,0.515302761,0.661662396,0.631304806,0.512058615,0.632751261,0.641652937,0.255306429,0.251110545,0.25585543,0.186092383,0.211041677,1,0.463478738,1,0.004404759,0.326974034,1,-0.020039516,-0.018282435,0.279607552,0.279607552,0.257329038,0.279607552,0.379102396,0.416474463,0.279607552,0.598752639,0.426581621,0.316472689,0.289157845,0.560453968,0.386700155,0.451798643,0.469213325,0.472962851,0.461016998,0.660478467,0.661964184,1,-0.018282435,0.777819094,0.211041677
1,ElecLoadShapes,39814,2,,,0.509775797,0.634466783,0.658658997,0.508935195,0.660423195,0.667463524,0.203155299,0.198059022,0.203861008,0.157327314,0.186092383,1,0.454959814,1,0.004404759,0.247127148,1,-0.006102595,-0.020039516,0.523074274,0.523074274,0.393785528,0.523074274,0.509415062,0.49574524,0.523074274,0.775779302,0.541746851,0.35897669,0.369978621,0.431919579,0.354322321,0.345177055,0.317551797,0.496191879,0.273207266,0.439383351,0.433986269,1,-0.020039516,0.67495297,0.186092383
2,ElecLoadShapes,39814,3,,,0.496165608,0.661662396,0.658658997,0.501656447,0.660423195,0.667463524,0.178982962,0.17259429,0.179839625,0.170829285,0.157327314,1,0.455452368,1,0.005964197,0.182760423,1,-0.074353111,-0.006102595,0.53406583,0.53406583,0.39657428,0.53406583,0.525516334,0.495788628,0.53406583,0.767713724,0.56766273,0.360335381,0.367141472,0.453662689,0.362347027,0.35171382,0.317130506,0.492343718,0.272055189,0.473426077,0.446390684,1,-0.006102595,0.571641435,0.157327314
3,ElecLoadShapes,39814,4,,,0.480063915,0.661662396,0.631304806,0.493081983,0.632751261,0.641652937,0.17992588,0.172240613,0.180977745,0.291466461,0.170829285,1,0.459726159,1,0.014187455,0.167060525,1,-0.287155577,-0.074353111,0.552857773,0.552857773,0.397609586,0.552857773,0.545204365,0.498679477,0.552857773,0.774877415,0.582604669,0.355102491,0.362753834,0.47277225,0.363848047,0.359829864,0.32075813,0.499158875,0.275833099,0.493056741,0.458675356,1,-0.074353111,0.481007356,0.170829285
4,ElecLoadShapes,39814,5,,,0.463141433,0.634466783,0.686273557,0.484771326,0.688315294,0.693570694,0.227142531,0.215035509,0.228780337,0.69713905,0.291466461,1,0.470336234,1,0.046042864,0.135162295,1,-0.600342159,-0.287155577,0.569298658,0.569298658,0.398308668,0.569298658,0.568452109,0.5027416,0.569298658,0.779386545,0.60249236,0.348941295,0.359148614,0.493801015,0.36583805,0.370842645,0.325090047,0.508230349,0.280024284,0.52093294,0.464875746,1,-0.287155577,0.407104043,0.291466461
5,ElecLoadShapes,39814,6,,,0.447860528,0.689088771,0.714117106,0.480943934,0.716387733,0.719965956,0.37970213,0.365394137,0.381646749,0.935064325,0.69713905,1,0.460093588,1,0.171214269,0.119722139,1,-0.86644781,-0.600342159,0.585072006,0.585072006,0.398445713,0.585072006,0.588330615,0.506230608,0.585072006,0.785113637,0.620280381,0.343156143,0.356715067,0.50848028,0.367640185,0.380274142,0.327763803,0.518174542,0.283225095,0.547117025,0.475077347,1,-0.600342159,0.340190211,0.69713905
6,ElecLoadShapes,39814,7,,,0.429663963,0.716717938,0.525160497,0.475494347,0.525094777,0.541625661,0.803115496,0.798966556,0.803571636,0.677643378,0.935064325,1,0.452051629,1,0.280876808,0.115896201,1,-0.724173519,-0.86644781,0.596103526,0.596103526,0.41144645,0.596103526,0.585091349,0.52576698,0.596103526,0.779395426,0.631941839,0.332842736,0.358204008,0.52361663,0.366325507,0.388796661,0.337458728,0.517666564,0.280826735,0.556768579,0.473159954,1,-0.86644781,0.285632642,0.935064325
7,ElecLoadShapes,39814,8,,,0.408687727,0.528617008,0.425888449,0.471390031,0.424269312,0.447533545,0.92489112,0.921939988,0.925162215,0.623682457,0.677643378,1,0.456222217,1,0.370396588,0.18655673,1,-0.483880258,-0.724173519,0.607196751,0.607196751,0.420958431,0.607196751,0.584036211,0.546326497,0.607196751,0.768483102,0.643139239,0.323378705,0.359806026,0.539092743,0.363246728,0.398084441,0.346985102,0.515314206,0.276811363,0.572579259,0.473070468,1,-0.724173519,0.264734588,0.677643378
8,ElecLoadShapes,39814,9,,,0.394888125,0.429086184,0.294070583,0.464971207,0.290792623,0.320059611,0.884357212,0.875908949,0.885401615,0.560061757,0.623682457,1,0.460094788,1,0.37546176,0.17262284,1,-0.403296842,-0.483880258,0.615643278,0.615643278,0.434699833,0.615643278,0.584682561,0.567054983,0.615643278,0.762665796,0.655219086,0.313389411,0.36443118,0.555285703,0.361801094,0.407704337,0.357341134,0.514457178,0.272829519,0.582752257,0.47153095,1,-0.483880258,0.235987339,0.623682457
9,ElecLoadShapes,39814,10,,,0.382064727,0.296172441,0.219376287,0.458190924,0.215687563,0.245481869,0.740766933,0.72308873,0.743128862,0.571250781,0.560061757,1,0.467332632,1,0.323715083,0.197733248,1,-0.422378211,-0.403296842,0.590702707,0.590702707,0.391859318,0.590702707,0.570509674,0.553898193,0.590702707,0.70567611,0.528428152,0.289228356,0.347915239,0.49285082,0.341104392,0.383968433,0.330792898,0.472910933,0.243143184,0.468126003,0.408382513,1,-0.403296842,0.233372517,0.560061757
10,ElecLoadShapes,39814,11,,,0.368538722,0.220627457,0.170536062,0.45155639,0.166910913,0.195257814,0.752139923,0.735134963,0.75440547,0.536301223,0.571250781,1,0.469232402,1,0.333116938,0.280720187,1,-0.47032743,-0.422378211,0.565821371,0.565821371,0.355017091,0.565821371,0.561051392,0.543973028,0.565821371,0.653145011,0.412763211,0.265951776,0.333805806,0.439962698,0.321558385,0.361166184,0.303923286,0.435296622,0.213866864,0.365168913,0.344689417,1,-0.422378211,0.252891939,0.571250781
11,ElecLoadShapes,39814,12,,,0.374812004,0.17123275,0.141309143,0.444174159,0.137880862,0.16444882,0.744623625,0.725083468,0.747246702,0.500700048,0.536301223,1,0.466501543,1,0.381077766,0.30831971,1,-0.461573189,-0.47032743,0.540620821,0.540620821,0.316860819,0.540620821,0.55216142,0.531141142,0.540620821,0.603683519,0.308900099,0.242742667,0.320270417,0.388522728,0.303296835,0.34000468,0.280222244,0.394392905,0.18722636,0.268873472,0.286536718,1,-0.47032743,0.31339728,0.536301223
12,ElecLoadShapes,39814,13,,,0.380651418,0.141704127,0.127660143,0.435079368,0.124370344,0.149822483,0.692044317,0.669354611,0.695113212,0.404701034,0.500700048,1,0.47260678,1,0.491006046,0.347045033,1,-0.590098146,-0.461573189,0.511169133,0.511169133,0.293043924,0.511169133,0.546614754,0.531902775,0.511169133,0.555744506,0.240539887,0.231236587,0.310704928,0.324391168,0.28629883,0.325047234,0.269022723,0.373705028,0.173177619,0.192072215,0.248028712,1,-0.461573189,0.350843032,0.500700048
13,ElecLoadShapes,39814,14,,,0.386754714,0.127927479,0.127660143,0.427383775,0.124370344,0.149822483,0.564638232,0.537457912,0.568358868,0.379023807,0.404701034,1,0.478332888,1,0.632508668,0.391199155,1,-0.691723171,-0.590098146,0.481004554,0.481004554,0.270252822,0.481004554,0.541268976,0.537706474,0.481004554,0.50888966,0.178025592,0.220066687,0.301455277,0.263287426,0.270297712,0.312292791,0.258249613,0.356121154,0.160072949,0.120088482,0.213799101,1,-0.590098146,0.387736151,0.404701034
